====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1200 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 14000.E+01 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
140001.E-02  3571.61E-06  3607.79E-06
280001.E-02  3369.84E-06  3477.09E-06
420001.E-02  3169.67E-06  3373.60E-06
560001.E-02  2769.41E-06  3097.26E-06
700001.E-02  2489.98E-06  2972.68E-06
840001.E-02  2748.93E-06  2978.78E-06
980001.E-02  2831.71E-06  3118.57E-06
112000.E-01  2862.73E-06  3191.05E-06
126000.E-01  2965.12E-06  3319.65E-06
140000.E-01  2924.26E-06  3291.40E-06
154000.E-01  3057.71E-06  3432.85E-06
168000.E-01  2917.39E-06  3302.23E-06
182000.E-01  2737.72E-06  3111.11E-06
196000.E-01  2645.64E-06  3028.98E-06
210000.E-01  2737.70E-06  3144.79E-06
224000.E-01  2777.25E-06  3174.44E-06
238000.E-01  3066.66E-06  3447.62E-06
252000.E-01  3166.48E-06  3558.46E-06
266000.E-01  3094.82E-06  3510.08E-06
280000.E-01  2974.46E-06  3400.27E-06
294000.E-01  2906.27E-06  3339.40E-06
308000.E-01  2749.36E-06  3159.92E-06
322000.E-01  2957.77E-06  3372.12E-06
336000.E-01  2996.95E-06  3430.60E-06
350000.E-01  3034.31E-06  3495.37E-06
364000.E-01  3070.69E-06  3493.47E-06
378000.E-01  3087.48E-06  3537.82E-06
392000.E-01  3220.59E-06  3668.53E-06
406000.E-01  3611.72E-06  4046.07E-06
420000.E-01  3719.01E-06  4171.42E-06
434000.E-01  3747.29E-06  4220.16E-06
448000.E-01  3836.31E-06  4328.75E-06
462000.E-01  3570.42E-06  4062.17E-06
476000.E-01  3645.66E-06  4112.07E-06
490000.E-01  3583.51E-06  4063.63E-06
504000.E-01  3636.88E-06  4136.59E-06
518000.E-01  3930.71E-06  4460.91E-06
532000.E-01  4143.21E-06  4661.35E-06
546000.E-01  4237.37E-06  4758.38E-06
560000.E-01  4194.96E-06  4745.66E-06
574000.E-01  4179.96E-06  4745.61E-06
588000.E-01  4402.57E-06  4952.53E-06
602000.E-01  4461.59E-06  5024.05E-06
616000.E-01  4717.55E-06  5264.45E-06
630000.E-01  4496.23E-06  5068.78E-06
644000.E-01  4707.57E-06  5287.54E-06
658000.E-01  4671.26E-06  5266.26E-06
672000.E-01  5069.69E-06  5681.95E-06
686000.E-01  5256.82E-06  5849.83E-06
700000.E-01  5436.59E-06  6076.74E-06
714000.E-01  5086.94E-06  5746.79E-06
728000.E-01  5242.06E-06  5909.59E-06
742000.E-01  5014.52E-06  5669.77E-06
756000.E-01  4856.99E-06  5562.85E-06
770000.E-01  4983.91E-06  5702.78E-06
784000.E-01  5040.91E-06  5765.66E-06
798000.E-01  5426.55E-06  6165.68E-06
812000.E-01  5263.15E-06  6045.97E-06
826000.E-01  5724.10E-06  6512.18E-06
840000.E-01  5547.22E-06  6343.50E-06
854000.E-01  6170.08E-06  6952.85E-06
868000.E-01  6055.08E-06  6892.92E-06
882000.E-01  6164.74E-06  7043.05E-06
896000.E-01  6133.09E-06  7063.88E-06
910000.E-01  6586.99E-06  7537.64E-06
924000.E-01  6435.76E-06  7441.19E-06
938000.E-01  6393.82E-06  7395.98E-06
952000.E-01  6972.83E-06  8040.91E-06
966000.E-01  7763.46E-06  8895.09E-06
980000.E-01  7672.11E-06  8882.17E-06
994000.E-01  8484.87E-06  9782.37E-06
100800.E+00  8874.26E-06  1021.69E-05
102200.E+00  9376.05E-06  1078.57E-05
103600.E+00  1052.93E-05  1202.55E-05
105000.E+00  1021.80E-05  1187.69E-05
106400.E+00  1113.82E-05  1297.77E-05
107800.E+00  1285.08E-05  1496.35E-05
109200.E+00  1372.23E-05  1603.23E-05
110600.E+00  1500.02E-05  1770.25E-05
112000.E+00  1783.59E-05  2111.60E-05
113400.E+00  2258.38E-05  2678.15E-05
114800.E+00  2588.39E-05  3144.09E-05
116200.E+00  3198.40E-05  3972.48E-05
117600.E+00  4024.77E-05  5069.76E-05
119000.E+00  4344.59E-05  5628.33E-05
120400.E+00  4262.42E-05  5639.28E-05
121800.E+00  3575.15E-05  4815.77E-05
123200.E+00  2534.94E-05  3446.17E-05
124600.E+00  1468.83E-05  2023.33E-05
126000.E+00  6408.90E-06  9062.51E-06
127400.E+00  2519.56E-06  3518.94E-06
128800.E+00  7270.15E-07  1026.56E-06
130200.E+00  1868.69E-07  2614.34E-07
131600.E+00  4534.69E-08  6717.52E-08
133000.E+00  6960.87E-09  8550.92E-09
134400.E+00  0000.00E+00  0000.00E+00
135800.E+00  0000.00E+00  0000.00E+00
137200.E+00  0000.00E+00  0000.00E+00
138600.E+00  0000.00E+00  0000.00E+00
140000.E+00  0000.00E+00  0000.00E+00
