====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 1200 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+05 A ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
 Total Target Vacancies     = 19 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
140001.E-02  1657.14E-09  1247.65E-09  
280001.E-02  5014.29E-09  6300.46E-09  
420001.E-02  9800.00E-09  1861.22E-08  
560001.E-02  1284.29E-08  2366.54E-08  
700001.E-02  1948.57E-08  3803.45E-08  
840001.E-02  8285.71E-09  3264.93E-08  
980001.E-02  1104.29E-08  1642.42E-08  
112000.E-01  1312.86E-08  2316.51E-08  
126000.E-01  1405.71E-08  3961.08E-08  
140000.E-01  1542.86E-08  4092.07E-08  
154000.E-01  1485.71E-08  2407.90E-08  
168000.E-01  1547.14E-08  3306.01E-08  
182000.E-01  1608.57E-08  2281.75E-08  
196000.E-01  1530.00E-08  3665.12E-08  
210000.E-01  1605.71E-08  2580.51E-08  
224000.E-01  1574.29E-08  3528.61E-08  
238000.E-01  1500.00E-08  2901.77E-08  
252000.E-01  1720.00E-08  4502.48E-08  
266000.E-01  1655.71E-08  4659.97E-08  
280000.E-01  1747.14E-08  2427.06E-08  
294000.E-01  1727.14E-08  3694.33E-08  
308000.E-01  1697.14E-08  3976.69E-08  
322000.E-01  1731.43E-08  4590.47E-08  
336000.E-01  1762.86E-08  5466.56E-08  
350000.E-01  1771.43E-08  4491.54E-08  
364000.E-01  1778.57E-08  2968.94E-08  
378000.E-01  1844.29E-08  3587.51E-08  
392000.E-01  1892.86E-08  4280.72E-08  
406000.E-01  1918.57E-08  5944.21E-08  
420000.E-01  1812.86E-08  2364.51E-08  
434000.E-01  1945.71E-08  5130.85E-08  
448000.E-01  2031.43E-08  4874.30E-08  
462000.E-01  1962.86E-08  4197.61E-08  
476000.E-01  1958.57E-08  4037.78E-08  
490000.E-01  2068.57E-08  5574.59E-08  
504000.E-01  2198.57E-08  5045.91E-08  
518000.E-01  2138.57E-08  2797.30E-08  
532000.E-01  2181.43E-08  4386.16E-08  
546000.E-01  2128.57E-08  3424.12E-08  
560000.E-01  2108.57E-08  5127.10E-08  
574000.E-01  2175.71E-08  5802.94E-08  
588000.E-01  2267.14E-08  4053.36E-08  
602000.E-01  2307.14E-08  3486.76E-08  
616000.E-01  2274.29E-08  3574.12E-08  
630000.E-01  2421.43E-08  6534.67E-08  
644000.E-01  2532.86E-08  4604.19E-08  
658000.E-01  2442.86E-08  4968.42E-08  
672000.E-01  2485.71E-08  3816.62E-08  
686000.E-01  2554.29E-08  4755.45E-08  
700000.E-01  2615.71E-08  5421.04E-08  
714000.E-01  2550.00E-08  5601.72E-08  
728000.E-01  2730.00E-08  4288.44E-08  
742000.E-01  2754.29E-08  7440.69E-08  
756000.E-01  2730.00E-08  5289.10E-08  
770000.E-01  2885.71E-08  6986.93E-08  
784000.E-01  2954.29E-08  7948.88E-08  
798000.E-01  2997.14E-08  4847.57E-08  
812000.E-01  3262.86E-08  7055.07E-08  
826000.E-01  3180.00E-08  6437.06E-08  
840000.E-01  3358.57E-08  6258.54E-08  
854000.E-01  3390.00E-08  5658.96E-08  
868000.E-01  3612.86E-08  7635.20E-08  
882000.E-01  3647.14E-08  6674.45E-08  
896000.E-01  3758.57E-08  6830.47E-08  
910000.E-01  3934.29E-08  7348.40E-08  
924000.E-01  4060.00E-08  7272.33E-08  
938000.E-01  4347.14E-08  6754.24E-08  
952000.E-01  4525.71E-08  9181.15E-08  
966000.E-01  4770.00E-08  6654.55E-08  
980000.E-01  4885.71E-08  9145.26E-08  
994000.E-01  5221.43E-08  1022.43E-07  
100800.E+00  5428.57E-08  9571.70E-08  
102200.E+00  5888.57E-08  1020.86E-07  
103600.E+00  6164.29E-08  1172.80E-07  
105000.E+00  6950.00E-08  1219.39E-07  
