====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
 Total Ions calculated =20000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 5.846E22 atoms/cm3 = 10.47 g/cm3
  Layer # 1- Ag = 100  Atomic Percent = 100  Mass Percent
Layer  2 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 2- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 2-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 2- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 2- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 2-  O = 53.8 Atomic Percent = 16.8 Mass Percent
Layer  3 : None
Layer Width = 40000.E-02 AAA ;
  Layer # 3- Density = 8.142E22 atoms/cm3 = 6.54 g/cm3
  Layer # 3- La = 20   Atomic Percent = 57.4 Mass Percent
  Layer # 3- Mn = 20   Atomic Percent = 22.7 Mass Percent
  Layer # 3-  O = 60   Atomic Percent = 19.8 Mass Percent
Layer  4 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 4- Density = 10.69E22 atoms/cm3 = 3.58 g/cm3
  Layer # 4- Mg = 50   Atomic Percent = 60.3 Mass Percent
  Layer # 4-  O = 50   Atomic Percent = 39.6 Mass Percent
Layer  5 : None
Layer Width = 10000.E-02 AAA ;
  Layer # 5- Density = 6.680E22 atoms/cm3 = 5.01 g/cm3
  Layer # 5-  Y = 40   Atomic Percent = 78.7 Mass Percent
  Layer # 5-  O = 60   Atomic Percent = 21.2 Mass Percent
Layer  6 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 6- Density = 11.66E22 atoms/cm3 = 3.95 g/cm3
  Layer # 6- Al = 40   Atomic Percent = 52.9 Mass Percent
  Layer # 6-  O = 60   Atomic Percent = 47.0 Mass Percent
Layer  7 : None
Layer Width = 80000.E+00 AAA ;
  Layer # 7- Density = 7.709E22 atoms/cm3 = 8.89 g/cm3
  Layer # 7- Ni = 55.2 Atomic Percent = 46.7 Mass Percent
  Layer # 7- Mo = 17.0 Atomic Percent = 23.6 Mass Percent
  Layer # 7- Cr = 16.0 Atomic Percent = 12.0 Mass Percent
  Layer # 7- Fe = 7.03 Atomic Percent = 5.65 Mass Percent
  Layer # 7-  W = 4.52 Atomic Percent = 11.9 Mass Percent
====================================================================
 Ion Average Range = 750070.E-01 A   Straggling = 388854.E-02 A
 Ion Lateral Range = 565690.E-02 A   Straggling = 779519.E-02 A
 Ion Radial  Range = 890531.E-02 A   Straggling = 650542.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1215010.E-03 44657236.E-03 44657236.E-03 67197110.E-03 00000000.E+00 
2430010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3645010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4860010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6075010.E-03 34276768.E-03 35833439.E-03 52183414.E-03 24410810.E-04 
7290010.E-03 25587012.E-03 25587012.E-03 44405271.E-03 00000000.E+00 
8505010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9720010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1093501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1215001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1336501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1458001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1579501.E-02 13085945.E-03 17911264.E-03 49455874.E-03 17610078.E-04 
1701001.E-02 33477755.E-03 36349686.E-03 45043817.E-03 13846135.E-03 
1822501.E-02 58895287.E-03 58895287.E-03 59044017.E-03 00000000.E+00 
1944001.E-02 40803707.E-03 42753002.E-03 52824225.E-03 64653581.E-04 
2065501.E-02 38205145.E-03 38205145.E-03 60834579.E-03 00000000.E+00 
2187001.E-02 18951130.E-03 18951130.E-03 48554047.E-03 00000000.E+00 
2308501.E-02 58541322.E-03 59216047.E-03 64588459.E-03 48222713.E-04 
2430001.E-02 48027136.E-03 48047218.E-03 54283259.E-03 16264779.E-04 
2551501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2673001.E-02 45827772.E-03 46728511.E-03 62246090.E-03 73918447.E-05 
2794501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2916001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3037501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3159001.E-02 50943942.E-03 50943942.E-03 59827729.E-03 00000000.E+00 
3280501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3402001.E-02 48148503.E-03 48148503.E-03 57114446.E-03 00000000.E+00 
3523501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3645001.E-02 34613974.E-03 34613974.E-03 41223504.E-03 00000000.E+00 
3766501.E-02 41776635.E-03 42069807.E-03 52733411.E-03 14946263.E-03 
3888001.E-02 56535148.E-04 56867609.E-04 18323036.E-03 12147623.E-03 
4009501.E-02 26162082.E-03 32063855.E-03 63666896.E-03 52619310.E-04 
4131001.E-02 18545301.E-03 18545301.E-03 18554797.E-03 00000000.E+00 
4252501.E-02 48352391.E-03 49566217.E-03 61180709.E-03 51449346.E-04 
4374001.E-02 24586936.E-03 31117976.E-03 31263735.E-03 15538664.E-03 
4495501.E-02 26261598.E-03 29916097.E-03 42941277.E-03 22130870.E-03 
4617001.E-02 31016130.E-03 37400987.E-03 47158804.E-03 12683415.E-03 
4738501.E-02 50695893.E-03 51900550.E-03 59600492.E-03 29576666.E-04 
