====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1600 keV
 Total Ions calculated =20000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 5.846E22 atoms/cm3 = 10.47 g/cm3
  Layer # 1- Ag = 100  Atomic Percent = 100  Mass Percent
Layer  2 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 2- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 2-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 2- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 2- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 2-  O = 53.8 Atomic Percent = 16.8 Mass Percent
Layer  3 : None
Layer Width = 40000.E-02 AAA ;
  Layer # 3- Density = 8.142E22 atoms/cm3 = 6.54 g/cm3
  Layer # 3- La = 20   Atomic Percent = 57.4 Mass Percent
  Layer # 3- Mn = 20   Atomic Percent = 22.7 Mass Percent
  Layer # 3-  O = 60   Atomic Percent = 19.8 Mass Percent
Layer  4 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 4- Density = 10.69E22 atoms/cm3 = 3.58 g/cm3
  Layer # 4- Mg = 50   Atomic Percent = 60.3 Mass Percent
  Layer # 4-  O = 50   Atomic Percent = 39.6 Mass Percent
Layer  5 : None
Layer Width = 10000.E-02 AAA ;
  Layer # 5- Density = 6.680E22 atoms/cm3 = 5.01 g/cm3
  Layer # 5-  Y = 40   Atomic Percent = 78.7 Mass Percent
  Layer # 5-  O = 60   Atomic Percent = 21.2 Mass Percent
Layer  6 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 6- Density = 11.66E22 atoms/cm3 = 3.95 g/cm3
  Layer # 6- Al = 40   Atomic Percent = 52.9 Mass Percent
  Layer # 6-  O = 60   Atomic Percent = 47.0 Mass Percent
Layer  7 : None
Layer Width = 36000.E+01 AAA ;
  Layer # 7- Density = 7.709E22 atoms/cm3 = 8.89 g/cm3
  Layer # 7- Ni = 55.2 Atomic Percent = 46.7 Mass Percent
  Layer # 7- Mo = 17.0 Atomic Percent = 23.6 Mass Percent
  Layer # 7- Cr = 16.0 Atomic Percent = 12.0 Mass Percent
  Layer # 7- Fe = 7.03 Atomic Percent = 5.65 Mass Percent
  Layer # 7-  W = 4.52 Atomic Percent = 11.9 Mass Percent
====================================================================
 Ion Average Range = 143080.E+00 A   Straggling = 660806.E-02 A
 Ion Lateral Range = 922471.E-02 A   Straggling = 127849.E-01 A
 Ion Radial  Range = 144938.E-01 A   Straggling = 108135.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
4015010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8030010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1204501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1606001.E-02 44829545.E-04 44829545.E-04 75980583.E-03 00000000.E+00 
2007501.E-02 64736155.E-03 64814023.E-03 10046644.E-02 15831454.E-03 
2409001.E-02 79928697.E-03 85160880.E-03 14342391.E-02 91721678.E-04 
2810501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3212001.E-02 74703168.E-03 87451890.E-03 10930001.E-02 46442422.E-03 
3613501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4015001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4416501.E-02 59720230.E-03 73672847.E-03 87442681.E-03 50277719.E-03 
4818001.E-02 87235928.E-03 98619194.E-03 95399350.E-03 54152656.E-03 
5219501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5621001.E-02 82396124.E-03 95242498.E-03 86883914.E-03 44638083.E-03 
6022501.E-02 10879710.E-03 10879710.E-03 44279640.E-03 00000000.E+00 
6424001.E-02 62001936.E-04 62001936.E-04 85513128.E-03 00000000.E+00 
6825501.E-02 36750911.E-03 36750911.E-03 46784353.E-03 00000000.E+00 
7227001.E-02 44795849.E-03 46383583.E-03 92530008.E-03 33293188.E-03 
7628501.E-02 50676193.E-03 59187594.E-03 63618889.E-03 29118097.E-03 
8030001.E-02 36501598.E-03 51247825.E-03 68052991.E-03 27136822.E-03 
8431501.E-02 45837688.E-03 61977458.E-03 70599606.E-03 50300406.E-03 
8833001.E-02 38149611.E-03 52416893.E-03 57760233.E-03 34189826.E-03 
9234501.E-02 73939690.E-03 76959439.E-03 79023459.E-03 20618964.E-03 
9636001.E-02 38905194.E-03 46666391.E-03 60225287.E-03 28373314.E-03 
1003750.E-01 56073413.E-03 62140813.E-03 76273480.E-03 18077305.E-03 
1043900.E-01 49317105.E-03 54370445.E-03 65199673.E-03 19109099.E-03 
1084050.E-01 30096244.E-03 38597771.E-03 58854888.E-03 22983472.E-03 
1124200.E-01 41490595.E-03 48504739.E-03 62723517.E-03 25344537.E-03 
1164350.E-01 36475114.E-03 41670815.E-03 54767819.E-03 20905460.E-03 
1204500.E-01 25329734.E-03 32289401.E-03 47057727.E-03 20881884.E-03 
1244650.E-01 29244239.E-03 34474606.E-03 47178030.E-03 18232908.E-03 
1284800.E-01 24734688.E-03 29890057.E-03 38993620.E-03 17278559.E-03 
1324950.E-01 21716649.E-03 25939742.E-03 35158172.E-03 14167247.E-03 
1365100.E-01 17934462.E-03 22141124.E-03 27692783.E-03 13123896.E-03 
1405250.E-01 11430046.E-03 14318959.E-03 17898491.E-03 95858000.E-04 
1445400.E-01 85490121.E-04 10811218.E-03 13517510.E-03 74049783.E-04 
1485550.E-01 72296400.E-04 92301545.E-04 11342695.E-03 62462882.E-04 
1525700.E-01 64671872.E-04 80536234.E-04 10002315.E-03 53053568.E-04 
1565850.E-01 59421548.E-04 74005756.E-04 86255502.E-04 43661778.E-04 
