depth_A                  	phonons_eV-Aion          	ionizations_eV-Aion      	frenkelpairs_vac-Aion    	implantedIons_-cm        
3.0415000000e+04         	1.1754740000e-03         	3.2171951600e+00         	8.8940300000e-06         	0.0000000000e+00         
6.0830000000e+04         	9.8219400000e-04         	3.2025676820e+00         	8.3894400000e-06         	0.0000000000e+00         
9.1245000000e+04         	1.2354530000e-03         	3.6219495380e+00         	9.5153000000e-06         	0.0000000000e+00         
1.2166000000e+05         	1.1349540000e-03         	3.6824002490e+00         	7.8124200000e-06         	0.0000000000e+00         
1.5207500000e+05         	1.1964650000e-03         	3.7400853500e+00         	8.4606000000e-06         	0.0000000000e+00         
1.8249000000e+05         	1.3548570000e-03         	3.7940247170e+00         	1.1218350000e-05         	0.0000000000e+00         
2.1290500000e+05         	1.3469750000e-03         	3.8530322960e+00         	1.0776930000e-05         	0.0000000000e+00         
2.4332000000e+05         	1.3924060000e-03         	3.9303251300e+00         	1.1074580000e-05         	0.0000000000e+00         
2.7373500000e+05         	1.4960490000e-03         	3.9891621240e+00         	1.3485420000e-05         	0.0000000000e+00         
3.0415000000e+05         	1.2928700000e-03         	4.0669837050e+00         	8.8858400000e-06         	0.0000000000e+00         
3.3456500000e+05         	1.7012070000e-03         	4.1420151990e+00         	1.5992120000e-05         	0.0000000000e+00         
3.6498000000e+05         	1.4966050000e-03         	4.2239680080e+00         	1.1148250000e-05         	3.2879000000e-01         
3.9539500000e+05         	1.5425000000e-03         	4.3182604260e+00         	1.1789880000e-05         	1.6439000000e-01         
4.2581000000e+05         	1.9407130000e-03         	4.4159788700e+00         	1.8579300000e-05         	0.0000000000e+00         
4.5622500000e+05         	1.6082120000e-03         	4.5213847690e+00         	1.2073290000e-05         	1.6439000000e-01         
4.8664000000e+05         	1.7814980000e-03         	4.6353957350e+00         	1.4531080000e-05         	3.2879000000e-01         
5.1705500000e+05         	1.8417750000e-03         	4.7509890810e+00         	1.5554530000e-05         	1.6439000000e-01         
5.4747000000e+05         	1.8043380000e-03         	4.8779976710e+00         	1.3264870000e-05         	0.0000000000e+00         
5.7788500000e+05         	1.9065640000e-03         	5.0420613290e+00         	1.4371760000e-05         	3.2879000000e-01         
6.0830000000e+05         	2.0219430000e-03         	5.2067769530e+00         	1.6306290000e-05         	1.4795000000e+00         
6.3871500000e+05         	2.2982580000e-03         	5.3989356450e+00         	2.0013470000e-05         	1.1507000000e+00         
6.6913000000e+05         	2.3464660000e-03         	5.5988635040e+00         	2.0089560000e-05         	1.4795000000e+00         
6.9954500000e+05         	2.4130030000e-03         	5.8034499060e+00         	1.8626050000e-05         	1.6439000000e+00         
7.2996000000e+05         	2.6140550000e-03         	6.0747127220e+00         	2.1489630000e-05         	1.4795000000e+00         
7.6037500000e+05         	2.9123290000e-03         	6.3876520060e+00         	2.4159000000e-05         	1.9727000000e+00         
7.9079000000e+05         	3.0130170000e-03         	6.7605232820e+00         	2.3068770000e-05         	3.6166000000e+00         
8.2120500000e+05         	3.2576100000e-03         	7.1976237310e+00         	2.5685170000e-05         	3.6166000000e+00         
8.5162000000e+05         	3.7659500000e-03         	7.7840433070e+00         	2.9876790000e-05         	4.7674000000e+00         
8.8203500000e+05         	4.5977100000e-03         	8.5687424400e+00         	3.8559000000e-05         	8.7128000000e+00         
9.1245000000e+05         	5.5312900000e-03         	9.7268348500e+00         	4.1990300000e-05         	2.4988000000e+01         
9.4286500000e+05         	8.2909700000e-03         	1.1669964130e+01         	6.3183300000e-05         	1.2001000000e+02         
