# Ic = 10.89 A, n = 2.09 , Tavg = 22.26 K, f29-pristine-22k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-06_04:15:24.766000      17431.08        2.99156900e+00        6.01995055e-08  22.1442  22.0376
0202-02-06_04:15:25.168000      17431.48        3.18069000e+00        6.65832955e-08  22.1442  22.0376
0202-02-06_04:15:25.586000      17431.90        3.56803600e+00        5.58610055e-08  22.1866  21.9273
0202-02-06_04:15:25.977000      17432.29        3.77200300e+00        6.85666155e-08  22.1866  21.9273
0202-02-06_04:15:26.380000      17432.70        4.16262300e+00        7.89790055e-08  22.1866  21.9273
0202-02-06_04:15:26.780000      17433.10        4.36957000e+00        8.78419455e-08  22.1327  21.9759
0202-02-06_04:15:27.176000      17433.49        4.75798500e+00        8.15821055e-08  22.1327  21.9759
0202-02-06_04:15:27.586000      17433.90        4.95881000e+00        8.22638755e-08  22.1541  22.0498
0202-02-06_04:15:27.996000      17434.31        5.35122400e+00        8.25117855e-08  22.1541  22.0498
0202-02-06_04:15:28.402000      17434.72        5.55366600e+00        7.81732855e-08  22.1541  22.0498
0202-02-06_04:15:28.805000      17435.12        5.94075900e+00        7.84212055e-08  22.1993  21.9136
0202-02-06_04:15:29.207000      17435.53        6.14301100e+00        7.76154855e-08  22.1993  21.9136
0202-02-06_04:15:29.610000      17435.93        6.53457600e+00        6.26786455e-08  22.2058  22.0588
0202-02-06_04:15:30.004000      17436.32        6.73727400e+00        6.57772255e-08  22.2058  22.0588
0202-02-06_04:15:30.395000      17436.71        7.12731600e+00        6.97430455e-08  22.2058  22.0588
0202-02-06_04:15:30.797000      17437.12        7.33293600e+00        7.52591455e-08  22.1741  21.9473
0202-02-06_04:15:31.203000      17437.52        7.72124300e+00        5.26989455e-08  22.1741  21.9473
0202-02-06_04:15:31.610000      17437.93        7.90527600e+00        6.42889355e-08  22.1782  21.9859
0202-02-06_04:15:32.016000      17438.33        8.31480700e+00        7.23461455e-08  22.1782  21.9859
0202-02-06_04:15:32.418000      17438.73        8.70791300e+00        6.52186155e-08  22.1782  21.9859
0202-02-06_04:15:32.824000      17439.14        8.91131300e+00        6.75118255e-08  22.1791  22.0457
0202-02-06_04:15:33.234000      17439.55        9.30005700e+00        6.54665255e-08  22.1791  22.0457
0202-02-06_04:15:33.640000      17439.96        9.48557900e+00        5.85249255e-08  22.1689  21.9151
0202-02-06_04:15:34.043000      17440.36        9.89899400e+00        6.15618755e-08  22.1689  21.9151
0202-02-06_04:15:34.445000      17440.76        1.00851400e+01        6.55285055e-08  22.1689  21.9151
0202-02-06_04:15:34.867000      17441.18        1.04936800e+01        5.43723655e-08  22.2140  22.0501
0202-02-06_04:15:35.270000      17441.59        1.06786900e+01        6.57144455e-08  22.2140  22.0501
0202-02-06_04:15:35.676000      17441.99        1.10875500e+01        6.93711755e-08  22.1947  21.9497
0202-02-06_04:15:36.080000      17442.40        1.12740200e+01        6.88776555e-08  22.1947  21.9497
0202-02-06_04:15:36.496000      17442.81        1.16629300e+01        6.24334155e-08  22.1947  21.9497
0202-02-06_04:15:36.910000      17443.23        1.18666800e+01        5.73511755e-08  22.1905  21.9815
0202-02-06_04:15:37.310000      17443.63        1.22535000e+01        5.97063655e-08  22.1905  21.9815
0202-02-06_04:15:37.707000      17444.02        1.24554400e+01        5.09673855e-08  22.1862  22.0480
0202-02-06_04:15:38.110000      17444.43        1.28440700e+01        5.76610755e-08  22.1862  22.0480
0202-02-06_04:15:38.530000      17444.85        1.30492000e+01        5.22689355e-08  22.1862  22.0480
0202-02-06_04:15:38.930000      17445.25        1.34391500e+01        4.78064855e-08  22.1842  21.9140
0202-02-06_04:15:39.320000      17445.64        1.36462400e+01        5.32605955e-08  22.1842  21.9140
0202-02-06_04:15:39.720000      17446.04        1.40357500e+01        4.69387855e-08  22.1693  22.0708
0202-02-06_04:15:40.120000      17446.44        1.42411600e+01        4.44596455e-08  22.1693  22.0708
0202-02-06_04:15:40.543000      17446.86        1.46333400e+01        4.21664355e-08  22.1693  22.0708
0202-02-06_04:15:40.945000      17447.26        1.48374600e+01        4.58851455e-08  22.2216  21.9673
0202-02-06_04:15:41.350000      17447.67        1.52247500e+01        3.88815755e-08  22.2216  21.9673
0202-02-06_04:15:41.758000      17448.08        1.54310300e+01        2.30157855e-08  22.1826  22.0002
0202-02-06_04:15:42.160000      17448.48        1.58226500e+01        2.20252155e-08  22.1826  22.0002
0202-02-06_04:15:42.580000      17448.90        1.60030300e+01        2.33887455e-08  22.2158  22.0555
0202-02-06_04:15:42.980000      17449.30        1.64170200e+01        1.45877855e-08  22.2158  22.0555
0202-02-06_04:15:43.383000      17449.70        1.68063700e+01        2.22731255e-08  22.2158  22.0555
