# Ic =  nan A, n =  nan , Tavg = 22.23 K, f29-pristine-22k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-06_04:21:06.420000      17772.74        3.19460600e+00        5.89416600e-08  22.2344  21.9454
0202-02-06_04:21:06.816000      17773.13        3.37930600e+00        6.30942300e-08  22.2349  22.1024
0202-02-06_04:21:07.220000      17773.54        3.76535300e+00        5.46031600e-08  22.2349  22.1024
0202-02-06_04:21:07.630000      17773.95        3.97612200e+00        4.32610700e-08  22.2269  22.0429
0202-02-06_04:21:08.027000      17774.34        4.36564900e+00        5.07604800e-08  22.2269  22.0429
0202-02-06_04:21:08.418000      17774.74        4.57013100e+00        5.47271100e-08  22.2269  22.0429
0202-02-06_04:21:08.824000      17775.14        4.95719100e+00        5.88177000e-08  22.2026  22.0577
0202-02-06_04:21:09.220000      17775.54        5.16571200e+00        6.45199900e-08  22.2026  22.0577
0202-02-06_04:21:09.625000      17775.94        5.55589300e+00        6.86123800e-08  22.2123  22.0791
0202-02-06_04:21:10.020000      17776.34        5.76260600e+00        6.62577100e-08  22.2123  22.0791
0202-02-06_04:21:10.426000      17776.74        6.15135500e+00        7.45628400e-08  22.2123  22.0791
0202-02-06_04:21:10.824000      17777.14        6.35393300e+00        8.32398400e-08  22.2368  21.9563
0202-02-06_04:21:11.227000      17777.54        6.74582600e+00        8.85700000e-08  22.2368  21.9563
0202-02-06_04:21:11.637000      17777.95        6.94860000e+00        1.04932350e-07  22.2180  22.0101
0202-02-06_04:21:12.027000      17778.35        7.33961300e+00        1.23092080e-07  22.2180  22.0101
0202-02-06_04:21:12.438000      17778.75        7.54623700e+00        1.22844160e-07  22.2180  22.0101
0202-02-06_04:21:12.836000      17779.15        7.93613700e+00        1.32078970e-07  22.2286  22.0809
0202-02-06_04:21:13.234000      17779.55        8.12048500e+00        1.31831060e-07  22.2286  22.0809
0202-02-06_04:21:13.637000      17779.95        8.53121400e+00        1.38648700e-07  22.2258  21.9311
0202-02-06_04:21:14.047000      17780.37        8.91958100e+00        1.43235120e-07  22.2258  21.9311
0202-02-06_04:21:14.440000      17780.76        9.12501700e+00        1.66725000e-07  22.2258  21.9311
0202-02-06_04:21:14.836000      17781.15        9.51533300e+00        1.63873990e-07  22.2471  22.1080
0202-02-06_04:21:15.227000      17781.54        9.70022100e+00        1.84513410e-07  22.2471  22.1080
0202-02-06_04:21:15.630000      17781.95        1.01079400e+01        1.90650120e-07  22.2133  21.9495
0202-02-06_04:21:16.027000      17782.34        1.02936400e+01        1.86931410e-07  22.2133  21.9495
0202-02-06_04:21:16.418000      17782.74        1.07048600e+01        2.00194820e-07  22.2133  21.9495
0202-02-06_04:21:16.830000      17783.15        1.08901400e+01        2.03603640e-07  22.2230  22.0863
0202-02-06_04:21:17.227000      17783.54        1.13012500e+01        2.18168610e-07  22.2230  22.0863
0202-02-06_04:21:17.630000      17783.95        1.14779400e+01        2.24552400e-07  22.2145  22.0248
0202-02-06_04:21:18.030000      17784.35        1.18770400e+01        2.29076840e-07  22.2145  22.0248
0202-02-06_04:21:18.430000      17784.75        1.20775100e+01        2.26473740e-07  22.2145  22.0248
0202-02-06_04:21:18.836000      17785.15        1.24688200e+01        2.28333100e-07  22.2355  21.9598
0202-02-06_04:21:19.240000      17785.56        1.26737900e+01        2.36762180e-07  22.2355  21.9598
0202-02-06_04:21:19.650000      17785.96        1.30661600e+01        2.49777690e-07  22.2111  22.0712
0202-02-06_04:21:20.050000      17786.37        1.32709800e+01        2.63412970e-07  22.2111  22.0712
0202-02-06_04:21:20.453000      17786.77        1.36638700e+01        2.56161480e-07  22.2111  22.0712
0202-02-06_04:21:20.850000      17787.17        1.38658600e+01        2.50831320e-07  22.2320  21.9679
0202-02-06_04:21:21.246000      17787.56        1.42586100e+01        2.68557930e-07  22.2320  21.9679
0202-02-06_04:21:21.645000      17787.96        1.44616600e+01        2.71781140e-07  22.1952  21.9903
0202-02-06_04:21:22.050000      17788.37        1.48512000e+01        2.75066000e-07  22.1952  21.9903
0202-02-06_04:21:22.453000      17788.77        1.50597600e+01        2.88577330e-07  22.1952  21.9903
0202-02-06_04:21:22.850000      17789.17        1.54473100e+01        2.80458140e-07  22.2112  22.0470
0202-02-06_04:21:23.254000      17789.57        1.56471000e+01        2.83804980e-07  22.2112  22.0470
0202-02-06_04:21:23.656000      17789.97        1.60399300e+01        2.93163740e-07  22.2070  21.9121
0202-02-06_04:21:24.055000      17790.37        1.62272600e+01        3.06861010e-07  22.2070  21.9121
0202-02-06_04:21:24.457000      17790.77        1.66329100e+01        3.09526090e-07  22.2070  21.9121
0202-02-06_04:21:24.870000      17791.19        1.70231400e+01        3.05559460e-07  22.2047  22.0830
0202-02-06_04:21:25.273000      17791.59        1.72322400e+01        2.98245990e-07  22.2047  22.0830
0202-02-06_04:21:25.676000      17791.99        1.76197300e+01        3.07542770e-07  22.2028  21.9229
0202-02-06_04:21:26.080000      17792.40        1.78231800e+01        3.05683410e-07  22.2028  21.9229
0202-02-06_04:21:26.527000      17792.85        1.82187500e+01        3.06427160e-07  22.2028  21.9229
0202-02-06_04:21:26.934000      17793.25        1.84037600e+01        3.35931130e-07  22.2094  22.0285
0202-02-06_04:21:27.336000      17793.66        1.88091500e+01        3.39777080e-07  22.2094  22.0285
0202-02-06_04:21:27.740000      17794.05        1.89969700e+01        3.38723440e-07  22.1966  22.0248
