# Ic =  nan A, n =  nan , Tavg = 22.23 K, f29-pristine-22k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-06_04:22:43.547000      17869.86        3.21988400e+00        4.35617295e-08  22.1886  22.0845
0202-02-06_04:22:43.957000      17870.27        3.40565000e+00        4.43054695e-08  22.2265  21.9278
0202-02-06_04:22:44.355000      17870.67        3.79889700e+00        4.32518295e-08  22.2265  21.9278
0202-02-06_04:22:44.754000      17871.07        4.00124700e+00        5.31683995e-08  22.2705  22.1063
0202-02-06_04:22:45.156000      17871.47        4.39096900e+00        5.01934295e-08  22.2705  22.1063
0202-02-06_04:22:45.574000      17871.89        4.59467200e+00        4.61028495e-08  22.2541  21.9538
0202-02-06_04:22:45.970000      17872.29        4.98712100e+00        4.43674495e-08  22.2541  21.9538
0202-02-06_04:22:46.375000      17872.69        5.18999700e+00        4.10206095e-08  22.2541  21.9538
0202-02-06_04:22:46.770000      17873.09        5.58063200e+00        5.69490895e-08  22.2389  22.0206
0202-02-06_04:22:47.176000      17873.49        5.78340000e+00        6.25271595e-08  22.2389  22.0206
0202-02-06_04:22:47.605000      17873.92        6.17415000e+00        6.68036795e-08  22.2423  22.0550
0202-02-06_04:22:48.004000      17874.32        6.38044900e+00        7.07083295e-08  22.2423  22.0550
0202-02-06_04:22:48.402000      17874.72        6.77004500e+00        7.83936695e-08  22.2423  22.0550
0202-02-06_04:22:48.800000      17875.12        6.97702700e+00        9.68640495e-08  22.2370  21.9639
0202-02-06_04:22:49.203000      17875.52        7.36489600e+00        9.91584195e-08  22.2370  21.9639
0202-02-06_04:22:49.617000      17875.93        7.57351800e+00        9.47579495e-08  22.2201  22.0766
0202-02-06_04:22:50.010000      17876.33        7.96514200e+00        1.06657830e-07  22.2201  22.0766
0202-02-06_04:22:50.414000      17876.73        8.14879800e+00        1.36779390e-07  22.2201  22.0766
0202-02-06_04:22:50.824000      17877.14        8.55615600e+00        1.38638750e-07  22.2307  21.9934
