====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 150 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 5.846E22 atoms/cm3 = 10.47 g/cm3
  Layer # 1- Ag = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =050000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  2014.08E-02  8196.83E-07
400010.E-03  2022.63E-02  1471.03E-06
600010.E-03  2029.66E-02  2459.56E-06
800010.E-03  2036.96E-02  3873.52E-06
100001.E-02  2051.26E-02  5109.65E-06
120001.E-02  2067.26E-02  5469.52E-06
140001.E-02  2076.36E-02  3319.03E-06
160001.E-02  2084.61E-02  4786.36E-06
180001.E-02  2094.16E-02  5250.44E-06
200001.E-02  2105.58E-02  5384.30E-06
220001.E-02  2108.64E-02  5753.99E-06
240001.E-02  2121.97E-02  5595.52E-06
260001.E-02  2137.18E-02  6207.45E-06
280001.E-02  2141.81E-02  6491.93E-06
300001.E-02  2150.79E-02  6110.00E-06
320001.E-02  2159.91E-02  6804.23E-06
340001.E-02  2166.29E-02  7683.36E-06
360001.E-02  2176.26E-02  7638.17E-06
380001.E-02  2178.76E-02  7775.79E-06
400001.E-02  2171.96E-02  8677.09E-06
420001.E-02  2166.20E-02  9152.95E-06
440001.E-02  2165.74E-02  1010.19E-05
460001.E-02  2165.12E-02  1032.09E-05
480001.E-02  2144.35E-02  1132.75E-05
500001.E-02  2123.62E-02  1176.01E-05
520001.E-02  2102.54E-02  1220.47E-05
540001.E-02  2078.61E-02  1386.87E-05
560001.E-02  2045.51E-02  1516.34E-05
580001.E-02  1995.51E-02  1649.64E-05
600001.E-02  1935.51E-02  1775.25E-05
620001.E-02  1845.72E-02  1913.79E-05
640001.E-02  1734.02E-02  2000.88E-05
660001.E-02  1605.27E-02  2090.81E-05
680001.E-02  1452.87E-02  2104.32E-05
700001.E-02  1254.61E-02  2046.42E-05
720001.E-02  1059.47E-02  1944.77E-05
740001.E-02  8475.48E-03  1679.04E-05
760001.E-02  6368.96E-03  1426.60E-05
780001.E-02  4480.47E-03  1090.67E-05
800001.E-02  2905.52E-03  7761.29E-06
820001.E-02  1737.35E-03  4906.75E-06
840001.E-02  9836.22E-04  2875.70E-06
860001.E-02  5003.72E-04  1564.76E-06
880001.E-02  2265.38E-04  7674.23E-07
900001.E-02  9129.01E-05  3204.38E-07
920001.E-02  3343.28E-05  1051.55E-07
940001.E-02  1337.07E-05  5338.74E-08
960001.E-02  3842.70E-06  1448.24E-08
980001.E-02  1983.78E-06  5434.00E-09
100000.E-01  2666.73E-07  1223.59E-09
102000.E-01  0000.00E+00  0000.00E+00
104000.E-01  0000.00E+00  0000.00E+00
106000.E-01  0000.00E+00  0000.00E+00
108000.E-01  0000.00E+00  0000.00E+00
110000.E-01  0000.00E+00  0000.00E+00
112000.E-01  0000.00E+00  0000.00E+00
114000.E-01  0000.00E+00  0000.00E+00
116000.E-01  0000.00E+00  0000.00E+00
118000.E-01  0000.00E+00  0000.00E+00
120000.E-01  0000.00E+00  0000.00E+00
122000.E-01  0000.00E+00  0000.00E+00
124000.E-01  0000.00E+00  0000.00E+00
126000.E-01  0000.00E+00  0000.00E+00
128000.E-01  0000.00E+00  0000.00E+00
130000.E-01  0000.00E+00  0000.00E+00
132000.E-01  0000.00E+00  0000.00E+00
134000.E-01  0000.00E+00  0000.00E+00
136000.E-01  0000.00E+00  0000.00E+00
138000.E-01  0000.00E+00  0000.00E+00
140000.E-01  0000.00E+00  0000.00E+00
142000.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
146000.E-01  0000.00E+00  0000.00E+00
148000.E-01  0000.00E+00  0000.00E+00
150000.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
154000.E-01  0000.00E+00  0000.00E+00
156000.E-01  0000.00E+00  0000.00E+00
158000.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
162000.E-01  0000.00E+00  0000.00E+00
164000.E-01  0000.00E+00  0000.00E+00
166000.E-01  0000.00E+00  0000.00E+00
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
