====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 150 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 5.846E22 atoms/cm3 = 10.47 g/cm3
  Layer # 1- Ag = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =50000.00
 Total Target Vacancies     = 5 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  1400.00E-08  2810.41E-08  
400010.E-03  3600.00E-08  4252.15E-08  
600010.E-03  6630.00E-08  7074.89E-08  
800010.E-03  9480.00E-08  1171.53E-07  
100001.E-02  1276.00E-07  1524.39E-07  
120001.E-02  1391.00E-07  1652.90E-07  
140001.E-02  8690.00E-08  9839.33E-08  
160001.E-02  1151.00E-07  1483.24E-07  
180001.E-02  1324.00E-07  1619.84E-07  
200001.E-02  1448.00E-07  1574.92E-07  
220001.E-02  1543.00E-07  1689.43E-07  
240001.E-02  1597.00E-07  1593.79E-07  
260001.E-02  1738.00E-07  1801.43E-07  
280001.E-02  1891.00E-07  1865.46E-07  
300001.E-02  1901.00E-07  1646.91E-07  
320001.E-02  2061.00E-07  1913.54E-07  
340001.E-02  2171.00E-07  2238.26E-07  
360001.E-02  2386.00E-07  2085.94E-07  
380001.E-02  2478.00E-07  2081.28E-07  
400001.E-02  2772.00E-07  2344.08E-07  
420001.E-02  2937.00E-07  2477.17E-07  
440001.E-02  3216.00E-07  2762.88E-07  
460001.E-02  3530.00E-07  2617.25E-07  
480001.E-02  3931.00E-07  2863.29E-07  
500001.E-02  4217.00E-07  2819.91E-07  
520001.E-02  4616.00E-07  2750.01E-07  
540001.E-02  5284.00E-07  3086.93E-07  
560001.E-02  6011.00E-07  3237.82E-07  
580001.E-02  6688.00E-07  3319.21E-07  
600001.E-02  7389.00E-07  3391.03E-07  
620001.E-02  8162.00E-07  3425.89E-07  
640001.E-02  8878.00E-07  3174.20E-07  
660001.E-02  9593.00E-07  2961.10E-07  
680001.E-02  9798.00E-07  2568.29E-07  
700001.E-02  9651.00E-07  2199.68E-07  
720001.E-02  9177.00E-07  1827.96E-07  
740001.E-02  7967.00E-07  1162.12E-07  
760001.E-02  6535.00E-07  8923.96E-08  
780001.E-02  4993.00E-07  5396.38E-08  
800001.E-02  3470.00E-07  3067.52E-08  
820001.E-02  2127.00E-07  1369.07E-08  
840001.E-02  1166.00E-07  5694.90E-09  
860001.E-02  5880.00E-08  2503.05E-09  
880001.E-02  2960.00E-08  8185.29E-10  
900001.E-02  1180.00E-08  2307.77E-10  
920001.E-02  3000.00E-09  3038.05E-11  
940001.E-02  1500.00E-09  9704.75E-11  
960001.E-02  6000.00E-10  0000.00E+00  
980001.E-02  1000.00E-10  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  
102000.E-01  0000.00E+00  0000.00E+00  
