====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 150 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 5.846E22 atoms/cm3 = 10.47 g/cm3
  Layer # 1- Ag = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =50000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
200010.E-03  2449.84E-05  2495.86E-05
400010.E-03  2402.84E-05  2536.22E-05
600010.E-03  2421.64E-05  2647.45E-05
800010.E-03  2416.39E-05  2795.86E-05
100001.E-02  2330.95E-05  2821.18E-05
120001.E-02  2320.38E-05  2880.42E-05
140001.E-02  2608.79E-05  2964.47E-05
160001.E-02  2589.22E-05  3039.67E-05
180001.E-02  2691.24E-05  3201.75E-05
200001.E-02  2664.61E-05  3259.36E-05
220001.E-02  2760.39E-05  3399.99E-05
240001.E-02  2892.51E-05  3561.36E-05
260001.E-02  2997.35E-05  3672.44E-05
280001.E-02  3075.13E-05  3815.35E-05
300001.E-02  3194.22E-05  3977.73E-05
320001.E-02  3369.14E-05  4162.01E-05
340001.E-02  3614.56E-05  4498.69E-05
360001.E-02  3776.87E-05  4747.19E-05
380001.E-02  3949.50E-05  4952.58E-05
400001.E-02  4172.74E-05  5245.63E-05
420001.E-02  4287.28E-05  5449.09E-05
440001.E-02  4510.99E-05  5768.74E-05
460001.E-02  4800.81E-05  6125.25E-05
480001.E-02  5025.27E-05  6544.32E-05
500001.E-02  5317.98E-05  7027.35E-05
520001.E-02  5707.46E-05  7569.32E-05
540001.E-02  5838.34E-05  7909.63E-05
560001.E-02  6351.93E-05  8681.01E-05
580001.E-02  6851.57E-05  9411.53E-05
600001.E-02  7024.13E-05  9908.96E-05
620001.E-02  7021.92E-05  1021.76E-04
640001.E-02  7133.81E-05  1053.27E-04
660001.E-02  7193.09E-05  1085.01E-04
680001.E-02  6799.97E-05  1060.40E-04
700001.E-02  6216.55E-05  9984.73E-05
720001.E-02  5484.92E-05  9133.76E-05
740001.E-02  4322.62E-05  7530.76E-05
760001.E-02  3288.65E-05  5912.96E-05
780001.E-02  2160.39E-05  4073.73E-05
800001.E-02  1425.04E-05  2730.37E-05
820001.E-02  8000.84E-06  1605.43E-05
840001.E-02  4293.98E-06  8950.58E-06
860001.E-02  1905.59E-06  4093.49E-06
880001.E-02  8573.23E-07  1754.32E-06
900001.E-02  2787.30E-07  7584.30E-07
920001.E-02  8237.82E-08  2305.78E-07
940001.E-02  3129.35E-08  7419.35E-08
960001.E-02  9125.34E-09  2472.53E-08
980001.E-02  3628.06E-09  1142.81E-08
100000.E-01  0000.00E+00  0000.00E+00
102000.E-01  0000.00E+00  0000.00E+00
104000.E-01  0000.00E+00  0000.00E+00
106000.E-01  0000.00E+00  0000.00E+00
108000.E-01  0000.00E+00  0000.00E+00
110000.E-01  0000.00E+00  0000.00E+00
112000.E-01  0000.00E+00  0000.00E+00
114000.E-01  0000.00E+00  0000.00E+00
116000.E-01  0000.00E+00  0000.00E+00
118000.E-01  0000.00E+00  0000.00E+00
120000.E-01  0000.00E+00  0000.00E+00
122000.E-01  0000.00E+00  0000.00E+00
124000.E-01  0000.00E+00  0000.00E+00
126000.E-01  0000.00E+00  0000.00E+00
128000.E-01  0000.00E+00  0000.00E+00
130000.E-01  0000.00E+00  0000.00E+00
132000.E-01  0000.00E+00  0000.00E+00
134000.E-01  0000.00E+00  0000.00E+00
136000.E-01  0000.00E+00  0000.00E+00
138000.E-01  0000.00E+00  0000.00E+00
140000.E-01  0000.00E+00  0000.00E+00
142000.E-01  0000.00E+00  0000.00E+00
144000.E-01  0000.00E+00  0000.00E+00
146000.E-01  0000.00E+00  0000.00E+00
148000.E-01  0000.00E+00  0000.00E+00
150000.E-01  0000.00E+00  0000.00E+00
152000.E-01  0000.00E+00  0000.00E+00
154000.E-01  0000.00E+00  0000.00E+00
156000.E-01  0000.00E+00  0000.00E+00
158000.E-01  0000.00E+00  0000.00E+00
160000.E-01  0000.00E+00  0000.00E+00
162000.E-01  0000.00E+00  0000.00E+00
164000.E-01  0000.00E+00  0000.00E+00
166000.E-01  0000.00E+00  0000.00E+00
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
