====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 150 keV
 Total Ions calculated =50000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 5.846E22 atoms/cm3 = 10.47 g/cm3
  Layer # 1- Ag = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 685183.E-02 A   Straggling = 117736.E-02 A
 Ion Lateral Range = 129212.E-02 A   Straggling = 162899.E-02 A
 Ion Radial  Range = 202417.E-02 A   Straggling = 108544.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
2000100.E-04 16660851.E-04 19221589.E-04 41901393.E-04 16757674.E-04 
4000100.E-04 21739505.E-04 25905913.E-04 44001686.E-04 16517567.E-04 
6000100.E-04 24027391.E-04 28530647.E-04 36068019.E-04 16520415.E-04 
8000100.E-04 29939506.E-04 36981930.E-04 43080655.E-04 18020825.E-04 
1000010.E-03 21567919.E-04 26730062.E-04 36995761.E-04 15508186.E-04 
1200010.E-03 20263278.E-04 26213710.E-04 38991911.E-04 16335977.E-04 
1400010.E-03 27267124.E-04 32228407.E-04 39331923.E-04 17557090.E-04 
1600010.E-03 30390761.E-04 35680626.E-04 45156077.E-04 19779471.E-04 
1800010.E-03 24507593.E-04 30102883.E-04 40224273.E-04 15695266.E-04 
2000010.E-03 26667348.E-04 31091470.E-04 40257115.E-04 14258573.E-04 
2200010.E-03 25129929.E-04 29906258.E-04 36063630.E-04 18125651.E-04 
2400010.E-03 26448375.E-04 32011234.E-04 38777842.E-04 16986717.E-04 
2600010.E-03 27164099.E-04 32290818.E-04 39085072.E-04 15054848.E-04 
2800010.E-03 23709768.E-04 28688532.E-04 40224737.E-04 15034967.E-04 
3000010.E-03 23544225.E-04 28979629.E-04 37128599.E-04 15517839.E-04 
3200010.E-03 24843091.E-04 29064376.E-04 37278478.E-04 15001368.E-04 
3400010.E-03 23391673.E-04 28004449.E-04 38189878.E-04 15175670.E-04 
3600010.E-03 22610591.E-04 27141576.E-04 36865731.E-04 13712926.E-04 
3800010.E-03 21778584.E-04 26412229.E-04 36514856.E-04 15525944.E-04 
4000010.E-03 21204154.E-04 25965059.E-04 34608215.E-04 14906934.E-04 
4200010.E-03 21524537.E-04 26638918.E-04 33901724.E-04 14425614.E-04 
4400010.E-03 20199438.E-04 24265095.E-04 33454308.E-04 13551754.E-04 
4600010.E-03 20436531.E-04 24346223.E-04 32118784.E-04 12490189.E-04 
