====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 800 keV
 Total Ions calculated =50000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 5.846E22 atoms/cm3 = 10.47 g/cm3
  Layer # 1- Ag = 100  Atomic Percent = 100  Mass Percent
Layer  2 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 2- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 2-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 2- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 2- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 2-  O = 53.8 Atomic Percent = 16.8 Mass Percent
Layer  3 : None
Layer Width = 40000.E-02 AAA ;
  Layer # 3- Density = 8.142E22 atoms/cm3 = 6.54 g/cm3
  Layer # 3- La = 20   Atomic Percent = 57.4 Mass Percent
  Layer # 3- Mn = 20   Atomic Percent = 22.7 Mass Percent
  Layer # 3-  O = 60   Atomic Percent = 19.8 Mass Percent
Layer  4 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 4- Density = 10.69E22 atoms/cm3 = 3.58 g/cm3
  Layer # 4- Mg = 50   Atomic Percent = 60.3 Mass Percent
  Layer # 4-  O = 50   Atomic Percent = 39.6 Mass Percent
Layer  5 : None
Layer Width = 10000.E-02 AAA ;
  Layer # 5- Density = 6.680E22 atoms/cm3 = 5.01 g/cm3
  Layer # 5-  Y = 40   Atomic Percent = 78.7 Mass Percent
  Layer # 5-  O = 60   Atomic Percent = 21.2 Mass Percent
Layer  6 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 6- Density = 11.66E22 atoms/cm3 = 3.95 g/cm3
  Layer # 6- Al = 40   Atomic Percent = 52.9 Mass Percent
  Layer # 6-  O = 60   Atomic Percent = 47.0 Mass Percent
Layer  7 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 7- Density = 7.709E22 atoms/cm3 = 8.89 g/cm3
  Layer # 7- Ni = 55.2 Atomic Percent = 46.7 Mass Percent
  Layer # 7- Mo = 17.0 Atomic Percent = 23.6 Mass Percent
  Layer # 7- Cr = 16.0 Atomic Percent = 12.0 Mass Percent
  Layer # 7- Fe = 7.03 Atomic Percent = 5.65 Mass Percent
  Layer # 7-  W = 4.52 Atomic Percent = 11.9 Mass Percent
====================================================================
 Ion Average Range = 560114.E-01 A   Straggling = 326535.E-02 A
 Ion Lateral Range = 470413.E-02 A   Straggling = 644094.E-02 A
 Ion Radial  Range = 739139.E-02 A   Straggling = 528660.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
6150100.E-04 32427959.E-03 32427959.E-03 32453229.E-03 00000000.E+00 
1230010.E-03 23354215.E-03 23354215.E-03 51841856.E-03 00000000.E+00 
1845010.E-03 73113076.E-04 73113076.E-04 35629915.E-03 00000000.E+00 
2460010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3075010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3690010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4305010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4920010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5535010.E-03 16218532.E-03 18904281.E-03 33804340.E-03 84380213.E-04 
6150010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6765010.E-03 12438487.E-03 12438487.E-03 13483860.E-03 00000000.E+00 
7380010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7995010.E-03 17400747.E-03 22927633.E-03 38591300.E-03 31816221.E-04 
8610010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9225010.E-03 23626982.E-03 26557407.E-03 32614460.E-03 53387691.E-04 
9840010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1045501.E-02 84364816.E-04 84364816.E-04 33891791.E-03 00000000.E+00 
1107001.E-02 35253259.E-03 35924259.E-03 42372786.E-03 51753107.E-04 
1168501.E-02 35602879.E-05 35602879.E-05 30135107.E-03 00000000.E+00 
1230001.E-02 29867881.E-03 29867881.E-03 32690346.E-03 00000000.E+00 
1291501.E-02 84859089.E-04 87288351.E-04 29579880.E-03 63678969.E-04 
1353001.E-02 32422941.E-03 33449747.E-03 37980149.E-03 38945462.E-04 
1414501.E-02 25976904.E-03 26507341.E-03 28583659.E-03 30816235.E-04 
1476001.E-02 26347055.E-03 28552569.E-03 28797767.E-03 85702078.E-04 
1537501.E-02 23280138.E-03 27508693.E-03 35221983.E-03 87707491.E-04 
1599001.E-02 23351849.E-03 24472439.E-03 25703925.E-03 55319619.E-04 
1660501.E-02 25850979.E-03 27784358.E-03 28843903.E-03 84180861.E-04 
1722001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1783501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1845001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1906501.E-02 97311914.E-04 97311914.E-04 40889427.E-03 00000000.E+00 
1968001.E-02 29150983.E-03 29254883.E-03 35079356.E-03 33591488.E-04 
2029501.E-02 33596356.E-03 33644367.E-03 36243885.E-03 22727565.E-04 
2091001.E-02 15654061.E-03 20683867.E-03 30319984.E-03 13692705.E-03 
2152501.E-02 21592030.E-03 23809555.E-03 30184221.E-03 80238196.E-04 
2214001.E-02 34397059.E-03 35754220.E-03 36190881.E-03 10869906.E-03 
2275501.E-02 31270002.E-03 33738265.E-03 42468011.E-03 17500159.E-04 
2337001.E-02 33799624.E-03 34818820.E-03 38696169.E-03 48812786.E-04 
2398501.E-02 26625362.E-03 28857973.E-03 34866788.E-03 45293773.E-04 
