====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 2400 keV
 Total Ions calculated =50000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 5.846E22 atoms/cm3 = 10.47 g/cm3
  Layer # 1- Ag = 100  Atomic Percent = 100  Mass Percent
Layer  2 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 2- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 2-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 2- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 2- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 2-  O = 53.8 Atomic Percent = 16.8 Mass Percent
Layer  3 : None
Layer Width = 40000.E-02 AAA ;
  Layer # 3- Density = 8.142E22 atoms/cm3 = 6.54 g/cm3
  Layer # 3- La = 20   Atomic Percent = 57.4 Mass Percent
  Layer # 3- Mn = 20   Atomic Percent = 22.7 Mass Percent
  Layer # 3-  O = 60   Atomic Percent = 19.8 Mass Percent
Layer  4 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 4- Density = 10.69E22 atoms/cm3 = 3.58 g/cm3
  Layer # 4- Mg = 50   Atomic Percent = 60.3 Mass Percent
  Layer # 4-  O = 50   Atomic Percent = 39.6 Mass Percent
Layer  5 : None
Layer Width = 10000.E-02 AAA ;
  Layer # 5- Density = 6.680E22 atoms/cm3 = 5.01 g/cm3
  Layer # 5-  Y = 40   Atomic Percent = 78.7 Mass Percent
  Layer # 5-  O = 60   Atomic Percent = 21.2 Mass Percent
Layer  6 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 6- Density = 11.66E22 atoms/cm3 = 3.95 g/cm3
  Layer # 6- Al = 40   Atomic Percent = 52.9 Mass Percent
  Layer # 6-  O = 60   Atomic Percent = 47.0 Mass Percent
Layer  7 : None
Layer Width = 24000.E+01 AAA ;
  Layer # 7- Density = 7.709E22 atoms/cm3 = 8.89 g/cm3
  Layer # 7- Ni = 55.2 Atomic Percent = 46.7 Mass Percent
  Layer # 7- Mo = 17.0 Atomic Percent = 23.6 Mass Percent
  Layer # 7- Cr = 16.0 Atomic Percent = 12.0 Mass Percent
  Layer # 7- Fe = 7.03 Atomic Percent = 5.65 Mass Percent
  Layer # 7-  W = 4.52 Atomic Percent = 11.9 Mass Percent
====================================================================
 Ion Average Range = 259218.E+00 A   Straggling = 103952.E-01 A
 Ion Lateral Range = 151366.E-01 A   Straggling = 210069.E-01 A
 Ion Radial  Range = 238269.E-01 A   Straggling = 177586.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
2815010.E-03 20043807.E-02 20043807.E-02 25031320.E-02 00000000.E+00 
5630010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8445010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1126001.E-02 11995866.E-02 11995866.E-02 23504119.E-02 00000000.E+00 
1407501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1689001.E-02 18021212.E-02 18454353.E-02 18871756.E-02 31796848.E-03 
1970501.E-02 72621249.E-03 72649974.E-03 18043698.E-02 14107723.E-03 
2252001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2533501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2815001.E-02 14133223.E-02 15910987.E-02 14246099.E-02 72385313.E-03 
3096501.E-02 77071518.E-03 77071518.E-03 94203423.E-03 00000000.E+00 
3378001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3659501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3941001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4222501.E-02 47103218.E-03 47103218.E-03 13097166.E-02 00000000.E+00 
4504001.E-02 25855270.E-02 25855270.E-02 26405804.E-02 00000000.E+00 
4785501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5067001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5348501.E-02 54353430.E-03 54353430.E-03 64506406.E-03 00000000.E+00 
5630001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5911501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6193001.E-02 10089857.E-02 11862779.E-02 15934195.E-02 75866486.E-03 
6474501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6756001.E-02 19978291.E-03 19978291.E-03 41532718.E-03 00000000.E+00 
7037501.E-02 69758066.E-03 69758066.E-03 16203925.E-02 00000000.E+00 
7319001.E-02 14377995.E-02 17780531.E-02 15010899.E-02 11083443.E-02 
7600501.E-02 83088711.E-03 83088711.E-03 11554578.E-02 00000000.E+00 
7882001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8163501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8445001.E-02 18068274.E-02 18068274.E-02 18688589.E-02 00000000.E+00 
8726501.E-02 67644892.E-03 70004291.E-03 22036841.E-02 31433110.E-03 
9008001.E-02 78379102.E-03 84848612.E-03 15611263.E-02 34064735.E-03 
9289501.E-02 22049668.E-02 22049668.E-02 23159450.E-02 00000000.E+00 
9571001.E-02 10499172.E-02 11143203.E-02 16139057.E-02 43721216.E-03 
9852501.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1013400.E-01 61319080.E-03 61319080.E-03 61325885.E-03 00000000.E+00 
1041550.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1069700.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1097850.E-01 90979836.E-03 97842346.E-03 14871562.E-02 93647629.E-03 
