====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 2400 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 5.846E22 atoms/cm3 = 10.47 g/cm3
  Layer # 1- Ag = 100  Atomic Percent = 100  Mass Percent
Layer  2 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 2- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 2-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 2- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 2- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 2-  O = 53.8 Atomic Percent = 16.8 Mass Percent
Layer  3 : None
Layer Width = 40000.E-02 AAA ;
  Layer # 3- Density = 8.142E22 atoms/cm3 = 6.54 g/cm3
  Layer # 3- La = 20   Atomic Percent = 57.4 Mass Percent
  Layer # 3- Mn = 20   Atomic Percent = 22.7 Mass Percent
  Layer # 3-  O = 60   Atomic Percent = 19.8 Mass Percent
Layer  4 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 4- Density = 10.69E22 atoms/cm3 = 3.58 g/cm3
  Layer # 4- Mg = 50   Atomic Percent = 60.3 Mass Percent
  Layer # 4-  O = 50   Atomic Percent = 39.6 Mass Percent
Layer  5 : None
Layer Width = 10000.E-02 AAA ;
  Layer # 5- Density = 6.680E22 atoms/cm3 = 5.01 g/cm3
  Layer # 5-  Y = 40   Atomic Percent = 78.7 Mass Percent
  Layer # 5-  O = 60   Atomic Percent = 21.2 Mass Percent
Layer  6 : None
Layer Width = 50000.E-02 AAA ;
  Layer # 6- Density = 11.66E22 atoms/cm3 = 3.95 g/cm3
  Layer # 6- Al = 40   Atomic Percent = 52.9 Mass Percent
  Layer # 6-  O = 60   Atomic Percent = 47.0 Mass Percent
Layer  7 : None
Layer Width = 24000.E+01 AAA ;
  Layer # 7- Density = 7.709E22 atoms/cm3 = 8.89 g/cm3
  Layer # 7- Ni = 55.2 Atomic Percent = 46.7 Mass Percent
  Layer # 7- Mo = 17.0 Atomic Percent = 23.6 Mass Percent
  Layer # 7- Cr = 16.0 Atomic Percent = 12.0 Mass Percent
  Layer # 7- Fe = 7.03 Atomic Percent = 5.65 Mass Percent
  Layer # 7-  W = 4.52 Atomic Percent = 11.9 Mass Percent
====================================================================
 Total Ions calculated =50000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
281501.E-02  2898.31E-06  2948.74E-06
563001.E-02  2192.32E-06  2342.78E-06
844501.E-02  1985.01E-06  2286.48E-06
112600.E-01  2012.39E-06  2262.32E-06
140750.E-01  2041.45E-06  2287.78E-06
168900.E-01  1906.10E-06  2307.60E-06
197050.E-01  2206.25E-06  2772.89E-06
225200.E-01  2318.18E-06  2455.58E-06
253350.E-01  1832.61E-06  1894.26E-06
281500.E-01  1722.71E-06  1826.56E-06
309650.E-01  1717.69E-06  1871.78E-06
337800.E-01  1614.15E-06  1846.08E-06
365950.E-01  1728.36E-06  2007.03E-06
394100.E-01  1308.41E-06  1689.82E-06
422250.E-01  1692.22E-06  1901.82E-06
450400.E-01  2344.76E-06  2423.98E-06
478550.E-01  2023.42E-06  2195.37E-06
506700.E-01  2093.07E-06  2355.68E-06
534850.E-01  2256.08E-06  2552.86E-06
563000.E-01  2510.96E-06  2817.03E-06
591150.E-01  2566.07E-06  2862.29E-06
619300.E-01  2482.18E-06  2784.95E-06
647450.E-01  2353.74E-06  2654.75E-06
675600.E-01  2549.42E-06  2856.92E-06
703750.E-01  2655.65E-06  2983.21E-06
731900.E-01  2958.03E-06  3285.13E-06
760050.E-01  2822.64E-06  3138.60E-06
788200.E-01  2783.12E-06  3123.55E-06
816350.E-01  2546.45E-06  2882.41E-06
844500.E-01  2426.88E-06  2760.02E-06
872650.E-01  2247.08E-06  2607.78E-06
900800.E-01  2333.80E-06  2667.45E-06
928950.E-01  2309.12E-06  2673.09E-06
957100.E-01  2326.85E-06  2686.85E-06
985250.E-01  2460.90E-06  2810.59E-06
101340.E+00  2770.63E-06  3115.31E-06
104155.E+00  3032.30E-06  3412.94E-06
106970.E+00  3011.28E-06  3391.88E-06
109785.E+00  2876.76E-06  3254.04E-06
112600.E+00  2858.50E-06  3247.01E-06
115415.E+00  3004.50E-06  3383.49E-06
118230.E+00  3474.51E-06  3856.69E-06
121045.E+00  4078.11E-06  4471.97E-06
123860.E+00  3812.55E-06  4211.84E-06
126675.E+00  3371.96E-06  3798.12E-06
129490.E+00  3086.67E-06  3515.15E-06
132305.E+00  2898.60E-06  3302.10E-06
135120.E+00  2872.82E-06  3294.31E-06
137935.E+00  2983.63E-06  3411.22E-06
140750.E+00  3136.86E-06  3572.73E-06
143565.E+00  3268.30E-06  3724.47E-06
146380.E+00  3406.18E-06  3842.66E-06
149195.E+00  3283.45E-06  3745.16E-06
152010.E+00  3431.84E-06  3900.20E-06
154825.E+00  3978.83E-06  4441.71E-06
157640.E+00  3984.91E-06  4490.30E-06
160455.E+00  4276.78E-06  4778.32E-06
163270.E+00  4636.74E-06  5145.99E-06
166085.E+00  4149.33E-06  4665.37E-06
168900.E+00  4065.34E-06  4583.42E-06
171715.E+00  4070.59E-06  4596.87E-06
