====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2400 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 40000.E+01 A ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =050000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
400001.E-02  4442.79E-03  6895.17E-08
800001.E-02  4454.25E-03  1509.74E-07
120000.E-01  4477.84E-03  6791.38E-07
160000.E-01  4502.89E-03  3358.83E-07
200000.E-01  4511.85E-03  7080.81E-07
240000.E-01  4532.93E-03  5616.80E-07
280000.E-01  4559.56E-03  3188.68E-07
320000.E-01  4583.12E-03  3200.56E-07
360000.E-01  4609.06E-03  5730.30E-07
400000.E-01  4632.62E-03  3573.34E-07
440000.E-01  4656.80E-03  3469.03E-07
480000.E-01  4678.63E-03  5824.40E-07
520000.E-01  4706.28E-03  4010.66E-07
560000.E-01  4726.68E-03  2975.52E-07
600000.E-01  4755.42E-03  2807.82E-07
640000.E-01  4786.92E-03  3122.34E-07
680000.E-01  4813.44E-03  4648.59E-07
720000.E-01  4839.60E-03  4987.11E-07
760000.E-01  4867.72E-03  5172.66E-07
800000.E-01  4898.82E-03  3567.18E-07
840000.E-01  4929.95E-03  4113.43E-07
880000.E-01  4960.48E-03  4776.28E-07
920000.E-01  4989.86E-03  5588.44E-07
960000.E-01  5024.27E-03  6930.96E-07
100000.E+00  5058.93E-03  4627.40E-07
104000.E+00  5097.29E-03  4075.21E-07
108000.E+00  5135.86E-03  4343.46E-07
112000.E+00  5171.30E-03  4362.29E-07
116000.E+00  5202.59E-03  4100.88E-07
120000.E+00  5236.92E-03  4361.15E-07
124000.E+00  5276.45E-03  4345.15E-07
128000.E+00  5310.60E-03  4968.88E-07
132000.E+00  5349.11E-03  7626.66E-07
136000.E+00  5392.16E-03  4998.50E-07
140000.E+00  5441.57E-03  7799.83E-07
144000.E+00  5492.31E-03  5680.43E-07
148000.E+00  5527.35E-03  4981.77E-07
152000.E+00  5565.65E-03  4917.87E-07
156000.E+00  5612.69E-03  5141.91E-07
160000.E+00  5658.13E-03  6125.75E-07
164000.E+00  5704.20E-03  4907.58E-07
168000.E+00  5758.71E-03  6130.73E-07
172000.E+00  5812.63E-03  4956.87E-07
176000.E+00  5860.84E-03  4198.63E-07
180000.E+00  5918.66E-03  5060.21E-07
184000.E+00  5978.39E-03  6244.85E-07
188000.E+00  6030.74E-03  6314.22E-07
192000.E+00  6094.18E-03  7211.60E-07
196000.E+00  6162.56E-03  7895.35E-07
200000.E+00  6225.04E-03  6373.12E-07
204000.E+00  6287.09E-03  6425.90E-07
208000.E+00  6354.66E-03  4849.49E-07
212000.E+00  6421.47E-03  6987.85E-07
216000.E+00  6505.22E-03  6329.83E-07
220000.E+00  6586.63E-03  5842.92E-07
224000.E+00  6653.78E-03  1009.47E-06
228000.E+00  6739.14E-03  5659.35E-07
232000.E+00  6835.84E-03  6564.71E-07
236000.E+00  6924.26E-03  6391.63E-07
240000.E+00  7018.76E-03  7106.17E-07
244000.E+00  7113.37E-03  7563.85E-07
248000.E+00  7207.64E-03  7474.31E-07
252000.E+00  7323.23E-03  9116.66E-07
256000.E+00  7439.30E-03  7092.21E-07
260000.E+00  7538.61E-03  8741.44E-07
264000.E+00  7673.74E-03  9693.65E-07
268000.E+00  7814.28E-03  7978.07E-07
272000.E+00  7977.93E-03  9119.55E-07
276000.E+00  8147.85E-03  9739.54E-07
280000.E+00  8342.64E-03  1000.16E-06
284000.E+00  8553.15E-03  1123.15E-06
288000.E+00  8787.50E-03  1499.72E-06
292000.E+00  9025.39E-03  1051.66E-06
296000.E+00  9306.83E-03  1100.76E-06
300000.E+00  9609.03E-03  1247.07E-06
304000.E+00  9968.81E-03  1366.63E-06
308000.E+00  1034.28E-02  1478.24E-06
312000.E+00  1078.63E-02  1577.06E-06
316000.E+00  1132.74E-02  1509.50E-06
320000.E+00  1194.93E-02  1924.76E-06
324000.E+00  1269.12E-02  1988.68E-06
328000.E+00  1353.71E-02  2355.99E-06
332000.E+00  1438.47E-02  3297.41E-06
336000.E+00  1485.83E-02  3907.78E-06
340000.E+00  1426.57E-02  5024.71E-06
344000.E+00  1210.58E-02  5975.17E-06
348000.E+00  8652.37E-03  5489.22E-06
352000.E+00  5005.57E-03  3986.33E-06
356000.E+00  2269.84E-03  2169.40E-06
360000.E+00  7930.95E-04  9097.60E-07
364000.E+00  2189.39E-04  2749.42E-07
368000.E+00  4223.16E-05  7482.61E-08
372000.E+00  5431.42E-06  1022.74E-08
376000.E+00  8835.02E-07  9599.56E-10
380000.E+00  3613.46E-07  3458.42E-10
384000.E+00  0000.00E+00  0000.00E+00
388000.E+00  0000.00E+00  0000.00E+00
392000.E+00  0000.00E+00  0000.00E+00
396000.E+00  0000.00E+00  0000.00E+00
400000.E+00  0000.00E+00  0000.00E+00
