====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 2400 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 A ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
 Total Target Vacancies     = 27 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400001.E-02  1385.00E-09  1652.12E-09  
800001.E-02  4195.00E-09  9081.53E-09  
120000.E-01  8140.00E-09  2184.75E-08  
160000.E-01  5320.00E-09  1280.64E-08  
200000.E-01  5905.00E-09  1006.76E-08  
240000.E-01  7320.00E-09  1769.24E-08  
280000.E-01  7560.00E-09  1639.55E-08  
320000.E-01  7635.00E-09  1400.20E-08  
360000.E-01  7950.00E-09  1434.25E-08  
400000.E-01  7650.00E-09  1108.33E-08  
440000.E-01  7660.00E-09  1575.80E-08  
480000.E-01  7635.00E-09  2064.72E-08  
520000.E-01  8285.00E-09  1826.11E-08  
560000.E-01  7800.00E-09  1885.54E-08  
600000.E-01  8395.00E-09  1617.29E-08  
640000.E-01  8440.00E-09  2614.45E-08  
680000.E-01  8120.00E-09  1519.42E-08  
720000.E-01  8585.00E-09  1358.81E-08  
760000.E-01  8065.00E-09  1540.10E-08  
800000.E-01  8185.00E-09  1631.30E-08  
840000.E-01  8745.00E-09  2879.90E-08  
880000.E-01  8320.00E-09  2176.83E-08  
920000.E-01  8855.00E-09  2213.14E-08  
960000.E-01  9160.00E-09  1942.15E-08  
100000.E+00  8540.00E-09  2138.11E-08  
104000.E+00  8820.00E-09  2221.56E-08  
108000.E+00  9060.00E-09  2481.06E-08  
112000.E+00  9395.00E-09  2789.81E-08  
116000.E+00  9205.00E-09  2094.24E-08  
120000.E+00  9365.00E-09  1941.60E-08  
124000.E+00  9415.00E-09  1750.08E-08  
128000.E+00  9135.00E-09  1481.70E-08  
132000.E+00  9675.00E-09  2249.56E-08  
136000.E+00  9990.00E-09  2667.92E-08  
140000.E+00  1039.00E-08  1704.70E-08  
144000.E+00  1020.50E-08  2026.54E-08  
148000.E+00  1037.50E-08  1964.31E-08  
152000.E+00  1043.00E-08  2344.93E-08  
156000.E+00  1027.00E-08  2472.05E-08  
160000.E+00  1057.50E-08  3252.58E-08  
164000.E+00  1102.50E-08  2154.74E-08  
168000.E+00  1075.50E-08  2200.44E-08  
172000.E+00  1089.50E-08  2202.43E-08  
176000.E+00  1126.00E-08  2929.55E-08  
180000.E+00  1155.50E-08  2591.58E-08  
184000.E+00  1142.50E-08  2039.20E-08  
188000.E+00  1205.50E-08  2193.09E-08  
192000.E+00  1247.00E-08  3985.33E-08  
196000.E+00  1265.50E-08  2962.91E-08  
200000.E+00  1225.50E-08  2019.63E-08  
204000.E+00  1274.00E-08  3235.47E-08  
208000.E+00  1338.00E-08  2309.42E-08  
212000.E+00  1335.00E-08  2338.40E-08  
216000.E+00  1319.00E-08  3039.09E-08  
220000.E+00  1369.00E-08  3739.38E-08  
224000.E+00  1379.00E-08  2362.68E-08  
228000.E+00  1491.50E-08  2822.49E-08  
232000.E+00  1430.50E-08  2754.11E-08  
236000.E+00  1464.00E-08  2383.12E-08  
240000.E+00  1563.00E-08  2762.72E-08  
244000.E+00  1627.50E-08  2761.64E-08  
248000.E+00  1675.00E-08  3393.04E-08  
252000.E+00  1708.00E-08  3979.73E-08  
256000.E+00  1781.00E-08  4616.86E-08  
260000.E+00  1846.00E-08  4222.18E-08  
264000.E+00  1877.00E-08  3205.01E-08  
268000.E+00  1910.00E-08  4972.09E-08  
272000.E+00  2024.50E-08  4409.17E-08  
276000.E+00  2143.50E-08  4570.38E-08  
280000.E+00  2197.50E-08  4415.01E-08  
284000.E+00  2324.50E-08  4313.93E-08  
288000.E+00  2412.50E-08  5494.82E-08  
292000.E+00  2570.50E-08  4668.96E-08  
296000.E+00  2715.50E-08  5151.01E-08  
300000.E+00  2916.50E-08  4581.77E-08  
