====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 2400 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 40000.E+01 AAA ;
  Layer # 1- Density = 7.403E22 atoms/cm3 = 6.3 g/cm3
  Layer # 1-  Y = 7.69 Atomic Percent = 13.3 Mass Percent
  Layer # 1- Ba = 15.3 Atomic Percent = 41.2 Mass Percent
  Layer # 1- Cu = 23.0 Atomic Percent = 28.6 Mass Percent
  Layer # 1-  O = 53.8 Atomic Percent = 16.8 Mass Percent
====================================================================
 Total Ions calculated =50000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
400001.E-02  1797.97E-06  1832.15E-06
800001.E-02  1672.94E-06  1774.67E-06
120000.E-01  1436.04E-06  1635.64E-06
160000.E-01  1705.30E-06  1829.42E-06
200000.E-01  2122.68E-06  2273.39E-06
240000.E-01  2067.19E-06  2246.45E-06
280000.E-01  2016.93E-06  2203.45E-06
320000.E-01  1676.49E-06  1858.83E-06
360000.E-01  1627.88E-06  1818.10E-06
400000.E-01  1605.13E-06  1796.21E-06
440000.E-01  1730.05E-06  1919.71E-06
480000.E-01  1732.25E-06  1928.76E-06
520000.E-01  1651.13E-06  1842.34E-06
560000.E-01  1646.47E-06  1845.99E-06
600000.E-01  1890.51E-06  2087.74E-06
640000.E-01  2076.79E-06  2281.85E-06
680000.E-01  2050.43E-06  2258.06E-06
720000.E-01  1861.52E-06  2060.95E-06
760000.E-01  1722.03E-06  1927.64E-06
800000.E-01  1762.66E-06  1964.54E-06
840000.E-01  1864.96E-06  2071.56E-06
880000.E-01  1930.15E-06  2151.65E-06
920000.E-01  1739.46E-06  1947.00E-06
960000.E-01  1672.13E-06  1890.16E-06
100000.E+00  2039.36E-06  2262.98E-06
104000.E+00  2528.56E-06  2742.11E-06
108000.E+00  2427.48E-06  2656.96E-06
112000.E+00  1992.78E-06  2215.76E-06
116000.E+00  1973.02E-06  2200.48E-06
120000.E+00  1847.45E-06  2079.48E-06
124000.E+00  1768.60E-06  1997.43E-06
128000.E+00  1650.66E-06  1887.41E-06
132000.E+00  1654.69E-06  1908.73E-06
136000.E+00  1866.83E-06  2098.15E-06
140000.E+00  1964.27E-06  2211.74E-06
144000.E+00  1904.36E-06  2157.56E-06
148000.E+00  2061.26E-06  2306.00E-06
152000.E+00  2186.48E-06  2438.91E-06
156000.E+00  2253.67E-06  2512.12E-06
160000.E+00  2214.71E-06  2470.88E-06
164000.E+00  2273.35E-06  2537.51E-06
168000.E+00  2220.80E-06  2493.55E-06
172000.E+00  1922.89E-06  2199.02E-06
176000.E+00  2067.11E-06  2338.03E-06
180000.E+00  2206.83E-06  2496.72E-06
184000.E+00  2149.85E-06  2438.44E-06
188000.E+00  2470.40E-06  2769.92E-06
192000.E+00  2690.56E-06  2990.07E-06
196000.E+00  2435.82E-06  2748.91E-06
200000.E+00  2299.11E-06  2600.69E-06
204000.E+00  2635.72E-06  2954.10E-06
208000.E+00  2514.91E-06  2839.12E-06
212000.E+00  2377.72E-06  2708.40E-06
216000.E+00  2840.52E-06  3172.03E-06
220000.E+00  2898.22E-06  3224.49E-06
224000.E+00  2958.34E-06  3300.52E-06
228000.E+00  3174.14E-06  3535.20E-06
232000.E+00  3211.86E-06  3583.02E-06
236000.E+00  2937.81E-06  3314.56E-06
240000.E+00  2726.79E-06  3125.26E-06
244000.E+00  2542.25E-06  2934.22E-06
248000.E+00  2718.87E-06  3110.46E-06
252000.E+00  3189.25E-06  3607.90E-06
256000.E+00  3359.73E-06  3793.97E-06
260000.E+00  2947.06E-06  3391.28E-06
264000.E+00  3260.92E-06  3706.55E-06
268000.E+00  3859.06E-06  4331.97E-06
272000.E+00  3758.12E-06  4271.17E-06
276000.E+00  3558.34E-06  4087.23E-06
280000.E+00  3849.12E-06  4388.04E-06
284000.E+00  4371.54E-06  4931.75E-06
288000.E+00  5107.18E-06  5676.31E-06
292000.E+00  4505.72E-06  5123.91E-06
296000.E+00  4697.21E-06  5343.94E-06
300000.E+00  5206.77E-06  5892.93E-06
304000.E+00  5238.44E-06  5992.01E-06
308000.E+00  5841.72E-06  6655.50E-06
312000.E+00  6344.54E-06  7259.80E-06
316000.E+00  6762.16E-06  7757.73E-06
320000.E+00  8164.29E-06  9313.74E-06
324000.E+00  8125.53E-06  9474.14E-06
328000.E+00  9658.91E-06  1138.99E-05
332000.E+00  1329.59E-05  1571.36E-05
336000.E+00  1697.96E-05  2058.40E-05
340000.E+00  2140.95E-05  2660.07E-05
344000.E+00  2431.25E-05  3091.23E-05
348000.E+00  2205.95E-05  2859.55E-05
352000.E+00  1570.56E-05  2069.37E-05
356000.E+00  9086.39E-06  1203.02E-05
360000.E+00  3815.49E-06  5120.16E-06
364000.E+00  1121.53E-06  1530.18E-06
368000.E+00  2884.43E-07  3927.13E-07
372000.E+00  4957.80E-08  6489.25E-08
376000.E+00  2601.61E-09  4114.54E-09
380000.E+00  0000.00E+00  0000.00E+00
384000.E+00  0000.00E+00  0000.00E+00
388000.E+00  0000.00E+00  0000.00E+00
392000.E+00  0000.00E+00  0000.00E+00
396000.E+00  0000.00E+00  0000.00E+00
400000.E+00  0000.00E+00  0000.00E+00
