# Ic = 2.00 A, n = 25.28 , Tavg = 77.31 K, f23-step2-773K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-31_15:41:40.070000      5032.45        1.96259400e-02       -2.60309138e-07  77.3481  76.7803
0202-10-31_15:41:40.277000      5032.66        5.05119800e-02       -3.96041768e-07  77.2577  76.7656
0202-10-31_15:41:40.477000      5032.86        9.70984100e-02       -2.95017028e-07  77.2577  76.7656
0202-10-31_15:41:40.668000      5033.05        1.49600500e-01       -3.30778548e-07  77.2577  76.7656
0202-10-31_15:41:40.870000      5033.25        1.99303600e-01       -2.70969418e-07  77.2577  76.7656
0202-10-31_15:41:41.090000      5033.47        2.47455800e-01       -3.30158758e-07  77.2577  76.7656
0202-10-31_15:41:41.280000      5033.66        2.98687500e-01       -3.10759528e-07  77.2859  76.7704
0202-10-31_15:41:41.480000      5033.86        3.47602500e-01       -3.05925218e-07  77.2859  76.7704
0202-10-31_15:41:41.676000      5034.05        3.96158400e-01       -3.01276838e-07  77.2859  76.7704
0202-10-31_15:41:41.867000      5034.25        4.44785100e-01       -2.69791828e-07  77.2859  76.7704
0202-10-31_15:41:42.090000      5034.47        4.96227600e-01       -2.22750248e-07  77.2859  76.7704
0202-10-31_15:41:42.280000      5034.66        5.44603900e-01       -2.50702488e-07  77.2673  76.7695
0202-10-31_15:41:42.484000      5034.87        5.93458000e-01       -3.08900178e-07  77.2673  76.7695
0202-10-31_15:41:42.680000      5035.06        6.44930200e-01       -3.96661548e-07  77.2673  76.7695
0202-10-31_15:41:42.870000      5035.25        6.94415100e-01       -3.38835728e-07  77.2673  76.7695
0202-10-31_15:41:43.086000      5035.47        7.41095100e-01       -3.25510378e-07  77.2673  76.7695
0202-10-31_15:41:43.280000      5035.66        7.93221700e-01       -2.14569268e-07  77.3141  76.7737
0202-10-31_15:41:43.473000      5035.85        8.42953900e-01       -2.65453628e-07  77.3141  76.7737
0202-10-31_15:41:43.668000      5036.05        8.88336800e-01       -3.39146018e-07  77.3141  76.7737
0202-10-31_15:41:43.870000      5036.25        9.42003900e-01       -4.41100408e-07  77.3141  76.7737
0202-10-31_15:41:44.066000      5036.45        9.91715900e-01       -3.56375998e-07  77.3141  76.7737
0202-10-31_15:41:44.258000      5036.64        1.03655600e+00       -3.52409388e-07  77.2712  76.7684
0202-10-31_15:41:44.465000      5036.84        1.09073800e+00       -2.53553918e-07  77.2712  76.7684
0202-10-31_15:41:44.656000      5037.04        1.14050600e+00       -3.59536898e-07  77.2712  76.7684
0202-10-31_15:41:44.850000      5037.23        1.18536100e+00       -3.18259318e-07  77.2712  76.7684
0202-10-31_15:41:45.066000      5037.45        1.23963200e+00       -3.13239068e-07  77.2712  76.7684
0202-10-31_15:41:45.258000      5037.64        1.28802300e+00       -3.20614488e-07  77.3238  76.7689
0202-10-31_15:41:45.453000      5037.83        1.33665600e+00       -3.57553588e-07  77.3238  76.7689
0202-10-31_15:41:45.650000      5038.03        1.38879900e+00       -2.98612178e-07  77.3238  76.7689
0202-10-31_15:41:45.844000      5038.22        1.43828800e+00       -3.03198578e-07  77.3238  76.7689
0202-10-31_15:41:46.066000      5038.45        1.48285500e+00       -3.22225928e-07  77.3238  76.7689
0202-10-31_15:41:46.270000      5038.65        1.53776700e+00       -2.94149738e-07  77.2922  76.7726
0202-10-31_15:41:46.465000      5038.84        1.58721000e+00       -2.56404918e-07  77.2922  76.7726
0202-10-31_15:41:46.656000      5039.04        1.63230900e+00       -2.10540938e-07  77.2922  76.7726
0202-10-31_15:41:46.863000      5039.24        1.68600000e+00       -3.21172298e-07  77.2922  76.7726
0202-10-31_15:41:47.070000      5039.45        1.73692700e+00       -3.74783568e-07  77.2922  76.7726
0202-10-31_15:41:47.273000      5039.65        1.78336200e+00       -3.99512938e-07  77.3125  76.7747
0202-10-31_15:41:47.470000      5039.85        1.83541600e+00       -3.85939678e-07  77.3125  76.7747
0202-10-31_15:41:47.660000      5040.04        1.88298200e+00       -3.65486818e-07  77.3125  76.7747
0202-10-31_15:41:47.863000      5040.24        1.93238000e+00       -2.67746958e-07  77.3125  76.7747
0202-10-31_15:41:48.094000      5040.47        1.98676100e+00       -1.57859338e-07  77.3125  76.7747
0202-10-31_15:41:48.285000      5040.67        2.03218000e+00       -5.27440485e-08  77.3130  76.7761
0202-10-31_15:41:48.480000      5040.86        2.08064200e+00        6.25356915e-08  77.3130  76.7761
0202-10-31_15:41:48.684000      5041.06        2.13312500e+00        1.38131108e-06  77.3130  76.7761
0202-10-31_15:41:48.883000      5041.26        2.18269600e+00        1.46851462e-06  77.3130  76.7761
0202-10-31_15:41:49.080000      5041.46        2.22993700e+00        3.14087739e-06  77.3130  76.7761
0202-10-31_15:41:49.277000      5041.66        2.28194000e+00        6.75483569e-06  77.3121  76.7714
0202-10-31_15:41:49.484000      5041.86        2.33164600e+00        9.79363478e-06  77.3121  76.7714
0202-10-31_15:41:49.688000      5042.07        2.37907100e+00        1.66986438e-05  77.3121  76.7714
0202-10-31_15:41:49.900000      5042.28        2.43179400e+00        2.27638459e-05  77.3121  76.7714
