# Ic = 7.19 A, n = 26.49 , Tavg = 20.06 K, f23-step9-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-31_22:02:46.220000      4801.40       -4.38128600e-01        4.09739665e-08  20.0402  19.3446
0202-10-31_22:02:46.640000      4801.82       -4.38435800e-01        2.81444265e-08  20.0402  19.3446
0202-10-31_22:02:47.047000      4802.23       -4.38692500e-01        3.50240365e-08  20.0402  19.3446
0202-10-31_22:02:47.450000      4802.63       -4.38811100e-01        4.06020965e-08  20.0205  19.2644
0202-10-31_22:02:47.850000      4803.04       -4.39299400e-01        4.41348665e-08  20.0205  19.2644
0202-10-31_22:02:48.260000      4803.44       -4.40227000e-01        5.13863065e-08  20.0205  19.2644
0202-10-31_22:02:48.652000      4803.84       -4.41971100e-01        4.75433165e-08  20.0212  19.4772
0202-10-31_22:02:49.047000      4804.23       -3.30512000e-01        4.94025765e-08  20.0212  19.4772
0202-10-31_22:02:49.453000      4804.64       -1.46642800e-01        4.86588365e-08  20.0485  19.2137
0202-10-31_22:02:49.855000      4805.04        2.62979200e-01        5.95050665e-08  20.0485  19.2137
0202-10-31_22:02:50.254000      4805.44        4.46986600e-01        4.95885165e-08  20.0566  19.4421
0202-10-31_22:02:50.650000      4805.83        8.62285900e-01        5.14478665e-08  20.0566  19.4421
0202-10-31_22:02:51.040000      4806.22        1.03989800e+00        4.23990165e-08  20.0566  19.4421
0202-10-31_22:02:51.438000      4806.62        1.44915200e+00        5.54144965e-08  20.0549  19.3463
0202-10-31_22:02:51.840000      4807.02        1.63354900e+00        5.11379765e-08  20.0549  19.3463
0202-10-31_22:02:52.260000      4807.44        2.02309300e+00        5.48566865e-08  20.0549  19.3463
0202-10-31_22:02:52.664000      4807.85        2.22835500e+00        5.50426165e-08  20.0425  19.2718
0202-10-31_22:02:53.074000      4808.26        2.61614800e+00        5.86373765e-08  20.0425  19.2718
0202-10-31_22:02:53.477000      4808.66        2.82342800e+00        6.04347465e-08  20.0306  19.4784
0202-10-31_22:02:53.883000      4809.06        3.21796300e+00        5.62821865e-08  20.0306  19.4784
0202-10-31_22:02:54.297000      4809.48        3.42248800e+00        6.45875165e-08  20.0306  19.4784
0202-10-31_22:02:54.700000      4809.88        3.80738200e+00        5.60967865e-08  20.0431  19.2161
0202-10-31_22:02:55.100000      4810.28        4.01308400e+00        5.54770065e-08  20.0431  19.2161
0202-10-31_22:02:55.508000      4810.69        4.39959700e+00        6.66951065e-08  20.0450  19.4434
0202-10-31_22:02:55.902000      4811.08        4.60772400e+00        6.37821165e-08  20.0450  19.4434
0202-10-31_22:02:56.300000      4811.48        4.99516700e+00        5.55389865e-08  20.0132  19.3359
0202-10-31_22:02:56.700000      4811.88        5.20244700e+00        4.55604565e-08  20.0132  19.3359
0202-10-31_22:02:57.100000      4812.29        5.59062000e+00        4.71099165e-08  20.0132  19.3359
0202-10-31_22:02:57.504000      4812.69        5.77406000e+00        5.11385165e-08  20.0136  19.2726
0202-10-31_22:02:57.906000      4813.09        6.18659200e+00        3.97344765e-08  20.0136  19.2726
0202-10-31_22:02:58.310000      4813.49        6.36971900e+00        3.70693965e-08  20.0396  19.4746
0202-10-31_22:02:58.710000      4813.90        6.78059700e+00        5.15103865e-08  20.0396  19.4746
0202-10-31_22:02:59.105000      4814.29        7.16898400e+00        1.63629437e-07  20.0396  19.4746
0202-10-31_22:02:59.500000      4814.68        7.37597400e+00        4.14952127e-07  20.0525  19.2150
0202-10-31_22:02:59.895000      4815.08        7.76422500e+00        1.78511013e-06  20.0525  19.2150
0202-10-31_22:03:00.300000      4815.48        7.94999900e+00        3.01544270e-06  20.0525  19.2150
0202-10-31_22:03:00.703000      4815.89        8.35838300e+00        1.08491472e-05  20.0463  19.4499
0202-10-31_22:03:01.098000      4816.28        8.54310800e+00        1.83424038e-05  20.0463  19.4499
0202-10-31_22:03:01.500000      4816.68        8.95265600e+00        5.83394485e-05  20.0603  19.3367
