# Ic = 3.87 A, n = 23.57 , Tavg = 25.07 K, f23-BeamOn-25K-c2
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-31_22:59:47.620000      8222.80        4.77357400e-02        1.91761430e-08  25.0528  24.4782
0202-10-31_22:59:47.824000      8223.01        5.51489200e-02        1.90521830e-08  25.0528  24.4782
0202-10-31_22:59:48.016000      8223.20        1.13384300e-01        1.65730430e-08  25.0528  24.4782
0202-10-31_22:59:48.250000      8223.43        1.75968200e-01        1.57053430e-08  25.0528  24.4782
0202-10-31_22:59:48.453000      8223.63        2.33507300e-01        1.41558830e-08  25.0528  24.5230
0202-10-31_22:59:48.645000      8223.83        2.94976600e-01        2.32667230e-08  25.0528  24.5230
0202-10-31_22:59:48.848000      8224.03        3.54472100e-01        1.98579030e-08  25.0528  24.5230
0202-10-31_22:59:49.050000      8224.23        4.11254500e-01        1.73787630e-08  25.0528  24.5230
0202-10-31_22:59:49.250000      8224.43        4.73663300e-01        1.51475430e-08  25.0699  24.4728
0202-10-31_22:59:49.457000      8224.64        5.32508700e-01        1.87422930e-08  25.0699  24.4728
0202-10-31_22:59:49.650000      8224.83        5.89028400e-01        2.06636230e-08  25.0699  24.4728
0202-10-31_22:59:49.844000      8225.02        6.51135100e-01        1.79985530e-08  25.0699  24.4728
0202-10-31_22:59:50.047000      8225.23        7.10738800e-01        1.86183330e-08  25.0699  24.4728
0202-10-31_22:59:50.258000      8225.44        7.69826200e-01        1.78126130e-08  25.0699  24.4728
0202-10-31_22:59:50.457000      8225.64        8.28008200e-01        1.73167830e-08  25.0696  24.5017
0202-10-31_22:59:50.652000      8225.83        8.89014500e-01        1.33501630e-08  25.0696  24.5017
0202-10-31_22:59:50.844000      8226.03        9.42974100e-01        1.35980730e-08  25.0696  24.5017
0202-10-31_22:59:51.040000      8226.22        1.00800700e+00        1.60152330e-08  25.0696  24.5017
0202-10-31_22:59:51.246000      8226.43        1.06806200e+00        1.44657730e-08  25.0547  24.5194
0202-10-31_22:59:51.440000      8226.63        1.12269200e+00        1.84940430e-08  25.0547  24.5194
0202-10-31_22:59:51.637000      8226.82        1.18609300e+00        1.96712930e-08  25.0547  24.5194
0202-10-31_22:59:51.840000      8227.02        1.24556200e+00        2.15921730e-08  25.0547  24.5194
0202-10-31_22:59:52.035000      8227.22        1.30254800e+00        1.91750130e-08  25.0547  24.5194
0202-10-31_22:59:52.230000      8227.41        1.36592600e+00        1.74396130e-08  25.0547  24.5194
0202-10-31_22:59:52.438000      8227.62        1.42461400e+00        1.84932530e-08  25.0535  24.4446
0202-10-31_22:59:52.630000      8227.81        1.48158800e+00        1.85552230e-08  25.0535  24.4446
0202-10-31_22:59:52.824000      8228.01        1.54343100e+00        2.01046930e-08  25.0535  24.4446
0202-10-31_22:59:53.027000      8228.21        1.60282200e+00        2.15301930e-08  25.0535  24.4446
0202-10-31_22:59:53.230000      8228.42        1.66135200e+00        2.26458030e-08  25.0535  24.4446
0202-10-31_22:59:53.434000      8228.62        1.72207200e+00        2.17161330e-08  25.0841  24.5637
0202-10-31_22:59:53.630000      8228.81        1.78242200e+00        2.46910930e-08  25.0841  24.5637
0202-10-31_22:59:53.820000      8229.00        1.83951400e+00        2.77900230e-08  25.0841  24.5637
0202-10-31_22:59:54.023000      8229.21        1.89737300e+00        3.07030030e-08  25.0841  24.5637
0202-10-31_22:59:54.223000      8229.41        1.96055200e+00        2.34515230e-08  25.0841  24.5637
0202-10-31_22:59:54.418000      8229.60        2.02009000e+00        2.27697630e-08  25.0878  24.4412
0202-10-31_22:59:54.620000      8229.80        2.07417300e+00        2.01666630e-08  25.0878  24.4412
0202-10-31_22:59:54.812000      8230.00        2.13914000e+00        2.31416330e-08  25.0878  24.4412
0202-10-31_22:59:55.008000      8230.19        2.19877000e+00        2.30176730e-08  25.0878  24.4412
0202-10-31_22:59:55.250000      8230.43        2.25474600e+00        2.10963430e-08  25.0878  24.4412
0202-10-31_22:59:55.450000      8230.63        2.31834300e+00        1.60760930e-08  25.0427  24.5402
0202-10-31_22:59:55.640000      8230.82        2.37551100e+00        1.98567730e-08  25.0427  24.5402
0202-10-31_22:59:55.836000      8231.02        2.43430300e+00        2.09723830e-08  25.0427  24.5402
0202-10-31_22:59:56.040000      8231.22        2.49646100e+00        2.36374630e-08  25.0427  24.5402
0202-10-31_22:59:56.246000      8231.43        2.55671600e+00        1.77495030e-08  25.0427  24.5402
0202-10-31_22:59:56.450000      8231.63        2.61356400e+00        1.27912330e-08  25.0420  24.4775
0202-10-31_22:59:56.645000      8231.83        2.67556700e+00        1.02501130e-08  25.0420  24.4775
0202-10-31_22:59:56.836000      8232.02        2.73491900e+00        6.40745300e-09  25.0420  24.4775
0202-10-31_22:59:57.040000      8232.22        2.78884400e+00        1.03120930e-08  25.0420  24.4775
0202-10-31_22:59:57.234000      8232.42        2.84800100e+00        3.74237300e-09  25.0420  24.4775
0202-10-31_22:59:57.430000      8232.61        2.90945400e+00        3.49440300e-09  25.0328  24.4892
0202-10-31_22:59:57.620000      8232.80        2.96661500e+00        2.35430000e-11  25.0328  24.4892
0202-10-31_22:59:57.816000      8233.00        3.03143700e+00        6.34527300e-09  25.0328  24.4892
0202-10-31_22:59:58.010000      8233.19        3.09236000e+00        6.65516300e-09  25.0328  24.4892
0202-10-31_22:59:58.230000      8233.41        3.15028500e+00        1.26303300e-09  25.0328  24.4892
0202-10-31_22:59:58.434000      8233.61        3.21282800e+00       -2.82754700e-09  25.0470  24.5276
0202-10-31_22:59:58.633000      8233.82        3.27109100e+00       -4.74887700e-09  25.0470  24.5276
0202-10-31_22:59:58.836000      8234.02        3.32755300e+00        3.92811300e-09  25.0470  24.5276
0202-10-31_22:59:59.030000      8234.21        3.39018300e+00        6.84109300e-09  25.0470  24.5276
0202-10-31_22:59:59.246000      8234.43        3.45043800e+00        9.13430300e-09  25.0470  24.5276
0202-10-31_22:59:59.438000      8234.62        3.50703500e+00        1.10556330e-08  25.0855  24.4743
0202-10-31_22:59:59.633000      8234.82        3.56888800e+00        1.77493030e-08  25.0855  24.4743
0202-10-31_22:59:59.840000      8235.02        3.62847900e+00        4.03714430e-08  25.0855  24.4743
0202-10-31_23:00:00.030000      8235.21        3.68554600e+00        5.25192230e-08  25.0855  24.4743
