# Ic = 0.30 A, n = 13.77 , Tavg = 59.81 K, f23-afterlastbeamon_60K_d
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-11-01_01:25:26.316000      16961.50        5.37675800e-02        3.13919730e-08  59.8795  59.2513
0202-11-01_01:25:26.523000      16961.71        7.16174400e-03        2.71154830e-08  59.8795  59.2513
0202-11-01_01:25:26.720000      16961.90        9.85490600e-03        2.29629530e-08  59.8795  59.2513
0202-11-01_01:25:26.914000      16962.10        1.24669600e-02       -1.70430700e-09  59.8795  59.2513
0202-11-01_01:25:27.120000      16962.30        1.58166200e-02       -3.40787000e-10  59.8795  59.2513
0202-11-01_01:25:27.312000      16962.49        1.84346100e-02       -1.76628700e-09  59.9096  59.2924
0202-11-01_01:25:27.504000      16962.69        2.12069500e-02        4.80339300e-09  59.9096  59.2924
0202-11-01_01:25:27.707000      16962.89        2.42212000e-02        1.70448300e-09  59.9096  59.2924
0202-11-01_01:25:27.902000      16963.08        2.74565800e-02        3.99767300e-09  59.9096  59.2924
0202-11-01_01:25:28.110000      16963.29        2.99870100e-02       -1.27045700e-09  59.9096  59.2924
0202-11-01_01:25:28.300000      16963.49        3.30709400e-02        2.20031300e-09  59.9047  59.2673
0202-11-01_01:25:28.504000      16963.69        3.63775600e-02        5.88883000e-10  59.9047  59.2673
0202-11-01_01:25:28.707000      16963.89        3.94051700e-02       -1.33243700e-09  59.9047  59.2673
0202-11-01_01:25:28.910000      16964.09        4.22413200e-02       -2.81990700e-09  59.9047  59.2673
0202-11-01_01:25:29.110000      16964.29        4.53045500e-02       -7.90210700e-09  59.9047  59.2673
0202-11-01_01:25:29.305000      16964.49        4.82267800e-02       -8.39793700e-09  59.9047  59.2673
0202-11-01_01:25:29.510000      16964.69        5.09931800e-02       -1.19926670e-08  59.9633  59.2884
0202-11-01_01:25:29.703000      16964.89        5.41736500e-02       -8.83178700e-09  59.9633  59.2884
0202-11-01_01:25:29.895000      16965.08        5.73269100e-02       -9.01771700e-09  59.9633  59.2884
0202-11-01_01:25:30.100000      16965.28        5.95560600e-02       -3.31573700e-09  59.9633  59.2884
0202-11-01_01:25:30.300000      16965.48        6.34578200e-02       -3.37771700e-09  59.9633  59.2884
0202-11-01_01:25:30.504000      16965.69        6.62746800e-02       -6.50677000e-10  59.9614  59.2634
0202-11-01_01:25:30.695000      16965.88        6.88466600e-02       -5.48496700e-09  59.9614  59.2634
0202-11-01_01:25:30.887000      16966.07        7.18119400e-02       -6.60057700e-09  59.9614  59.2634
0202-11-01_01:25:31.090000      16966.27        7.50532600e-02       -5.98077700e-09  59.9614  59.2634
0202-11-01_01:25:31.285000      16966.47        7.76015000e-02       -3.08470000e-11  59.9616  59.2754
0202-11-01_01:25:31.477000      16966.66        8.08262000e-02        1.82852300e-09  59.9616  59.2754
0202-11-01_01:25:31.668000      16966.85        8.37588200e-02        4.65033000e-10  59.9616  59.2754
0202-11-01_01:25:31.870000      16967.05        8.64584400e-02       -5.88597000e-10  59.9616  59.2754
0202-11-01_01:25:32.062000      16967.25        8.95320600e-02       -1.14639700e-09  59.9616  59.2754
0202-11-01_01:25:32.258000      16967.44        9.25537300e-02       -1.89013700e-09  59.9616  59.2754
0202-11-01_01:25:32.460000      16967.64        9.55620400e-02       -1.54747000e-10  59.9511  59.2655
0202-11-01_01:25:32.656000      16967.84        9.84085900e-02        1.89052300e-09  59.9511  59.2655
0202-11-01_01:25:32.848000      16968.03        1.01347100e-01        2.26239300e-09  59.9511  59.2655
0202-11-01_01:25:33.055000      16968.24        1.04440600e-01       -3.40687000e-10  59.9511  59.2655
0202-11-01_01:25:33.277000      16968.46        1.07586900e-01       -2.01408700e-09  59.9511  59.2655
0202-11-01_01:25:33.480000      16968.66        1.10629400e-01        8.36903000e-10  59.9300  59.2717
0202-11-01_01:25:33.676000      16968.86        1.13600600e-01        2.75822300e-09  59.9300  59.2717
0202-11-01_01:25:33.870000      16969.05        1.16243800e-01        1.39470300e-09  59.9300  59.2717
0202-11-01_01:25:34.066000      16969.25        1.19445000e-01        3.50195300e-09  59.9300  59.2717
0202-11-01_01:25:34.270000      16969.45        1.22270800e-01        2.44833300e-09  59.9098  59.2648
0202-11-01_01:25:34.465000      16969.65        1.25654600e-01        6.04305300e-09  59.9098  59.2648
0202-11-01_01:25:34.656000      16969.84        1.28436200e-01        3.62591300e-09  59.9098  59.2648
0202-11-01_01:25:34.860000      16970.04        1.31490500e-01       -6.50577000e-10  59.9098  59.2648
0202-11-01_01:25:35.055000      16970.24        1.34285100e-01        4.03053000e-10  59.9098  59.2648
0202-11-01_01:25:35.250000      16970.43        1.37151000e-01       -2.16727000e-10  59.9098  59.2648
0202-11-01_01:25:35.457000      16970.64        1.40275000e-01        7.15866300e-09  59.8929  59.2624
0202-11-01_01:25:35.650000      16970.83        1.43166100e-01        6.41492300e-09  59.8929  59.2624
0202-11-01_01:25:35.840000      16971.02        1.45739600e-01        1.01336030e-08  59.8929  59.2624
0202-11-01_01:25:36.047000      16971.23        1.49255500e-01        6.22899300e-09  59.8929  59.2624
0202-11-01_01:25:36.254000      16971.44        1.52309200e-01        3.87382300e-09  59.8929  59.2624
0202-11-01_01:25:36.460000      16971.64        1.55238900e-01        6.97272300e-09  59.9001  59.2619
0202-11-01_01:25:36.652000      16971.84        1.58365900e-01        8.52217300e-09  59.9001  59.2619
0202-11-01_01:25:36.855000      16972.04        1.61154600e-01        9.76173300e-09  59.9001  59.2619
