# Ic = 3.78 A, n = 21.97 , Tavg = 24.97 K, f23-pulse-control
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-11-01_12:31:45.777000      6060.53        4.93804600e-02        1.18750590e-08  24.9580  24.3753
0202-11-01_12:31:45.973000      6060.73        9.21260100e-03        7.97041900e-09  24.9580  24.3753
0202-11-01_12:31:46.230000      6060.98        1.34022900e-02        1.09453790e-08  24.9580  24.3753
0202-11-01_12:31:46.420000      6061.18        1.81752400e-02        1.67087190e-08  24.9151  24.4610
0202-11-01_12:31:46.617000      6061.37        2.29823200e-02        2.47654190e-08  24.9151  24.4610
0202-11-01_12:31:46.810000      6061.56        2.83563400e-02        2.50128490e-08  24.9151  24.4610
0202-11-01_12:31:47.016000      6061.77        3.31233500e-02        2.55086790e-08  24.9151  24.4610
0202-11-01_12:31:47.230000      6061.99        3.81795300e-02        2.05504090e-08  24.9151  24.4610
0202-11-01_12:31:47.440000      6062.20        4.29509900e-02        1.88150190e-08  24.9399  24.3890
0202-11-01_12:31:47.645000      6062.40        4.77684600e-02        1.88769990e-08  24.9399  24.3890
0202-11-01_12:31:47.844000      6062.60        5.25117200e-02        2.14181090e-08  24.9399  24.3890
0202-11-01_12:31:48.040000      6062.79        5.77328700e-02        1.67697290e-08  24.9399  24.3890
0202-11-01_12:31:48.250000      6063.01        6.25295600e-02        1.26171790e-08  24.9506  24.4229
0202-11-01_12:31:48.445000      6063.20        6.77017400e-02        1.39807090e-08  24.9506  24.4229
0202-11-01_12:31:48.637000      6063.39        7.27329200e-02        1.86910590e-08  24.9506  24.4229
0202-11-01_12:31:48.840000      6063.59        7.74034400e-02        2.16040390e-08  24.9506  24.4229
0202-11-01_12:31:49.030000      6063.79        8.24316500e-02        2.07363490e-08  24.9506  24.4229
0202-11-01_12:31:49.234000      6063.99        8.77240400e-02        2.28436090e-08  24.9506  24.4229
0202-11-01_12:31:49.426000      6064.18        9.26825000e-02        2.10462390e-08  24.9043  24.4417
0202-11-01_12:31:49.620000      6064.37        9.72372700e-02        2.09222790e-08  24.9043  24.4417
0202-11-01_12:31:49.812000      6064.57        1.02315900e-01        1.73275390e-08  24.9043  24.4417
0202-11-01_12:31:50.016000      6064.77        1.07468800e-01        2.10462390e-08  24.9043  24.4417
0202-11-01_12:31:50.220000      6064.97        1.12111200e-01        1.99926090e-08  24.9043  24.4417
0202-11-01_12:31:50.418000      6065.17        1.17543000e-01        2.14800890e-08  24.9190  24.3711
0202-11-01_12:31:50.620000      6065.38        1.22428700e-01        1.85670990e-08  24.9190  24.3711
0202-11-01_12:31:50.816000      6065.57        1.26936000e-01        2.43930690e-08  24.9190  24.3711
0202-11-01_12:31:51.008000      6065.76        1.32307000e-01        2.29675690e-08  24.9190  24.3711
0202-11-01_12:31:51.230000      6065.99        1.37474800e-01        2.31534990e-08  24.9190  24.3711
0202-11-01_12:31:51.426000      6066.18        1.42434700e-01        1.74514890e-08  24.9721  24.4569
0202-11-01_12:31:51.630000      6066.38        1.47367900e-01        1.63978590e-08  24.9721  24.4569
0202-11-01_12:31:51.824000      6066.58        1.52031100e-01        1.59020390e-08  24.9721  24.4569
0202-11-01_12:31:52.016000      6066.77        1.56836800e-01        2.17899790e-08  24.9721  24.4569
0202-11-01_12:31:52.254000      6067.01        1.62022300e-01        2.14181990e-08  24.9721  24.4569
0202-11-01_12:31:52.460000      6067.22        1.66409400e-01        3.41241290e-08  24.9078  24.3768
0202-11-01_12:31:52.656000      6067.41        1.72092100e-01        3.27608790e-08  24.9078  24.3768
0202-11-01_12:31:52.848000      6067.60        1.76768500e-01        3.54261390e-08  24.9078  24.3768
0202-11-01_12:31:53.050000      6067.80        1.82003000e-01        3.15214990e-08  24.9078  24.3768
0202-11-01_12:31:53.254000      6068.01        1.86584500e-01        2.84225790e-08  24.8744  24.4092
0202-11-01_12:31:53.445000      6068.20        1.92139200e-01        2.97861090e-08  24.8744  24.4092
0202-11-01_12:31:53.650000      6068.40        1.96529200e-01        2.61293790e-08  24.8744  24.4092
0202-11-01_12:31:53.850000      6068.61        2.01251700e-01        2.55095990e-08  24.8744  24.4092
0202-11-01_12:31:54.043000      6068.80        2.06879500e-01        2.40840990e-08  24.8744  24.4092
0202-11-01_12:31:54.254000      6069.01        2.11287400e-01        2.38981590e-08  24.9119  24.4396
0202-11-01_12:31:54.453000      6069.21        2.16821700e-01        2.50757490e-08  24.9119  24.4396
0202-11-01_12:31:54.650000      6069.40        2.21541200e-01        2.44559690e-08  24.9119  24.4396
0202-11-01_12:31:54.850000      6069.61        2.26103400e-01        1.98075890e-08  24.9119  24.4396
0202-11-01_12:31:55.043000      6069.80        2.31827500e-01        2.23486990e-08  24.9119  24.4396
0202-11-01_12:31:55.246000      6070.00        2.36821500e-01        1.74524090e-08  24.9151  24.3671
0202-11-01_12:31:55.438000      6070.19        2.41471300e-01        2.27205690e-08  24.9151  24.3671
0202-11-01_12:31:55.633000      6070.39        2.46349600e-01        1.81961490e-08  24.9151  24.3671
0202-11-01_12:31:55.824000      6070.58        2.51311000e-01        1.72044990e-08  24.9151  24.3671
0202-11-01_12:31:56.023000      6070.78        2.56579700e-01        9.89104900e-09  24.9151  24.3671
0202-11-01_12:31:56.242000      6071.00        2.61352600e-01        1.32378890e-08  24.9151  24.3671
0202-11-01_12:31:56.440000      6071.20        2.66481800e-01        1.52831690e-08  24.8763  24.4476
0202-11-01_12:31:56.645000      6071.40        2.71605800e-01        2.40221190e-08  24.8763  24.4476
0202-11-01_12:31:56.848000      6071.60        2.76407000e-01        2.01174790e-08  24.8763  24.4476
0202-11-01_12:31:57.040000      6071.80        2.81355000e-01        2.81126890e-08  24.8763  24.4476
0202-11-01_12:31:57.250000      6072.00        2.86484200e-01        1.69565890e-08  24.8763  24.4476
0202-11-01_12:31:57.453000      6072.21        2.91591000e-01        1.65227390e-08  24.9068  24.3744
0202-11-01_12:31:57.645000      6072.40        2.96555400e-01        1.03868790e-08  24.9068  24.3744
0202-11-01_12:31:57.848000      6072.60        3.01362500e-01        1.85060490e-08  24.9068  24.3744
0202-11-01_12:31:58.043000      6072.80        3.05942500e-01        2.38361790e-08  24.9068  24.3744
0202-11-01_12:31:58.242000      6073.00        3.11780600e-01        2.83605290e-08  24.9068  24.3744
0202-11-01_12:31:58.445000      6073.20        3.16411000e-01        2.37118590e-08  24.9648  24.4068
0202-11-01_12:31:58.637000      6073.39        3.20780300e-01        2.25960290e-08  24.9648  24.4068
0202-11-01_12:31:58.832000      6073.59        3.26630700e-01        1.69558590e-08  24.9648  24.4068
0202-11-01_12:31:59.035000      6073.79        3.31423000e-01        1.46006790e-08  24.9648  24.4068
0202-11-01_12:31:59.240000      6073.99        3.36267100e-01        1.14397790e-08  24.9648  24.4068
0202-11-01_12:31:59.430000      6074.19        3.41068300e-01        7.84503900e-09  24.8933  24.4301
0202-11-01_12:31:59.625000      6074.38        3.46198900e-01        1.33611090e-08  24.8933  24.4301
0202-11-01_12:31:59.816000      6074.57        3.51209000e-01        1.61501390e-08  24.8933  24.4301
0202-11-01_12:32:00.008000      6074.76        3.55760800e-01        1.79475090e-08  24.8933  24.4301
0202-11-01_12:32:00.220000      6074.97        3.61229800e-01        1.51584890e-08  24.8933  24.4301
0202-11-01_12:32:00.414000      6075.17        3.66114100e-01        2.01787290e-08  24.8702  24.3529
0202-11-01_12:32:00.605000      6075.36        3.70048500e-01        1.93110290e-08  24.8702  24.3529
0202-11-01_12:32:00.810000      6075.56        3.75958300e-01        2.34635790e-08  24.8702  24.3529
0202-11-01_12:32:01             6075.75        3.80894500e-01        2.00547690e-08  24.8702  24.3529
0202-11-01_12:32:01.227000      6075.98        3.85499700e-01        2.40213890e-08  24.8702  24.3529
0202-11-01_12:32:01.434000      6076.19        3.90950700e-01        3.06530690e-08  24.9582  24.4447
0202-11-01_12:32:01.633000      6076.39        3.95551400e-01        3.00952690e-08  24.9582  24.4447
0202-11-01_12:32:01.830000      6076.58        4.00683500e-01        2.47651290e-08  24.9582  24.4447
0202-11-01_12:32:02.030000      6076.78        4.05883900e-01        2.48271090e-08  24.9582  24.4447
0202-11-01_12:32:02.240000      6076.99        4.10355600e-01        2.38974290e-08  24.9582  24.4447
0202-11-01_12:32:02.434000      6077.19        4.15891400e-01        2.51369990e-08  24.8801  24.3763
0202-11-01_12:32:02.637000      6077.39        4.20775600e-01        1.98068590e-08  24.8801  24.3763
0202-11-01_12:32:02.830000      6077.58        4.25299200e-01        2.71822790e-08  24.8801  24.3763
0202-11-01_12:32:03.023000      6077.78        4.30317700e-01        2.53849090e-08  24.8801  24.3763
0202-11-01_12:32:03.246000      6078.00        4.35485400e-01        2.61286490e-08  24.8801  24.3763
0202-11-01_12:32:03.440000      6078.20        4.40237500e-01        2.81739390e-08  24.8538  24.3977
0202-11-01_12:32:03.645000      6078.40        4.45234600e-01        3.02811990e-08  24.8538  24.3977
0202-11-01_12:32:03.836000      6078.59        4.50578900e-01        3.87102490e-08  24.8538  24.3977
0202-11-01_12:32:04.030000      6078.78        4.55092100e-01        3.22645090e-08  24.8538  24.3977
0202-11-01_12:32:04.240000      6078.99        4.59970400e-01        3.98259490e-08  24.8538  24.3977
0202-11-01_12:32:04.430000      6079.18        4.65354900e-01        2.82982990e-08  24.9018  24.4336
