# Ic = 3.77 A, n = 21.32 , Tavg = 24.92 K, f32-pulse-1ms
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-11-01_13:06:13.023000      1812.86        5.05274700e-02        4.38496300e-09  24.9585  24.4595
0202-11-01_13:06:13.246000      1813.09        1.36157800e-02        9.90103300e-09  24.9585  24.4595
0202-11-01_13:06:13.445000      1813.29        2.31869000e-02        6.80212300e-09  24.9473  24.3674
0202-11-01_13:06:13.652000      1813.49        3.32938000e-02       -1.31703700e-09  24.9473  24.3674
0202-11-01_13:06:13.848000      1813.69        4.24978300e-02        3.45529300e-09  24.9473  24.3674
0202-11-01_13:06:14.050000      1813.89        5.28971000e-02        2.52561300e-09  24.9473  24.3674
0202-11-01_13:06:14.250000      1814.09        6.25884400e-02        4.19903300e-09  24.9473  24.3674
0202-11-01_13:06:14.445000      1814.29        7.25320800e-02        1.03813300e-09  24.8978  24.4302
0202-11-01_13:06:14.650000      1814.49        8.23851900e-02        2.09177300e-09  24.8978  24.4302
0202-11-01_13:06:14.850000      1814.69        9.23926500e-02        5.62453300e-09  24.8978  24.4302
0202-11-01_13:06:15.043000      1814.88        1.01555600e-01        7.91773300e-09  24.8978  24.4302
0202-11-01_13:06:15.254000      1815.09        1.12183500e-01        7.91773300e-09  24.8978  24.4302
0202-11-01_13:06:15.457000      1815.30        1.22501400e-01        7.05003300e-09  24.8830  24.4114
0202-11-01_13:06:15.650000      1815.49        1.31395800e-01        6.55420300e-09  24.8830  24.4114
0202-11-01_13:06:15.850000      1815.69        1.41884100e-01        7.79377300e-09  24.8830  24.4114
0202-11-01_13:06:16.043000      1815.88        1.51903500e-01        1.11406030e-08  24.8830  24.4114
0202-11-01_13:06:16.242000      1816.08        1.61007100e-01        9.65320300e-09  24.8830  24.4114
0202-11-01_13:06:16.450000      1816.29        1.71608200e-01        1.03972830e-08  24.9166  24.3710
0202-11-01_13:06:16.640000      1816.48        1.81965900e-01        1.02735830e-08  24.9166  24.3710
0202-11-01_13:06:16.836000      1816.68        1.91053200e-01        1.20091430e-08  24.9166  24.3710
0202-11-01_13:06:17.040000      1816.88        2.00974300e-01        1.15752930e-08  24.9166  24.3710
0202-11-01_13:06:17.234000      1817.08        2.11381000e-01        1.00878130e-08  24.9166  24.3710
0202-11-01_13:06:17.426000      1817.27        2.21105000e-01        8.35242300e-09  24.9509  24.4497
0202-11-01_13:06:17.633000      1817.47        2.30150700e-01        7.73263300e-09  24.9509  24.4497
0202-11-01_13:06:17.824000      1817.67        2.41272700e-01        4.63372300e-09  24.9509  24.4497
0202-11-01_13:06:18.016000      1817.86        2.51161500e-01        7.36076300e-09  24.9509  24.4497
0202-11-01_13:06:18.227000      1818.07        2.60211700e-01        6.55504300e-09  24.9509  24.4497
0202-11-01_13:06:18.418000      1818.26        2.71274300e-01        7.79461300e-09  24.9078  24.3641
0202-11-01_13:06:18.610000      1818.45        2.81206500e-01        6.30713300e-09  24.9078  24.3641
0202-11-01_13:06:18.812000      1818.65        2.90062300e-01        3.20822300e-09  24.9078  24.3641
0202-11-01_13:06:19.008000      1818.85        3.00887500e-01        1.28689300e-09  24.9078  24.3641
0202-11-01_13:06:19.242000      1819.08        3.11021100e-01       -3.91928700e-09  24.9078  24.3641
0202-11-01_13:06:19.450000      1819.29        3.20669400e-01        2.33263000e-10  24.8495  24.4262
0202-11-01_13:06:19.650000      1819.49        3.30831200e-01        2.15458300e-09  24.8495  24.4262
0202-11-01_13:06:19.844000      1819.68        3.40317700e-01        3.58009300e-09  24.8495  24.4262
0202-11-01_13:06:20.050000      1819.89        3.50547300e-01        9.77003000e-10  24.8495  24.4262
0202-11-01_13:06:20.258000      1820.10        3.60366200e-01        3.88998300e-09  24.8495  24.4262
0202-11-01_13:06:20.450000      1820.29        3.69943300e-01        1.47282300e-09  24.8919  24.4008
0202-11-01_13:06:20.645000      1820.48        3.80403400e-01        2.58843300e-09  24.8919  24.4008
0202-11-01_13:06:20.836000      1820.68        3.90166000e-01        3.58009300e-09  24.8919  24.4008
0202-11-01_13:06:21.030000      1820.87        3.98907500e-01        7.11285300e-09  24.8919  24.4008
0202-11-01_13:06:21.242000      1821.08        4.10128900e-01        6.18317300e-09  24.8919  24.4008
0202-11-01_13:06:21.438000      1821.28        4.20308600e-01        4.50976300e-09  24.8849  24.3748
0202-11-01_13:06:21.630000      1821.47        4.29154600e-01        1.72074300e-09  24.8849  24.3748
0202-11-01_13:06:21.830000      1821.67        4.39961900e-01        5.74933300e-09  24.8849  24.3748
0202-11-01_13:06:22.020000      1821.86        4.49988700e-01        1.25669430e-08  24.8849  24.3748
0202-11-01_13:06:22.223000      1822.06        4.59013600e-01        1.81453130e-08  24.8849  24.3748
0202-11-01_13:06:22.426000      1822.27        4.69678600e-01        1.96340630e-08  24.8765  24.4506
0202-11-01_13:06:22.617000      1822.46        4.79786900e-01        1.85194030e-08  24.8765  24.4506
0202-11-01_13:06:22.812000      1822.65        4.88877200e-01        1.40575930e-08  24.8765  24.4506
0202-11-01_13:06:23.016000      1822.86        4.99424800e-01        9.71910300e-09  24.8765  24.4506
0202-11-01_13:06:23.246000      1823.09        5.09319000e-01        3.27335300e-09  24.8765  24.4506
0202-11-01_13:06:23.440000      1823.28        5.19664800e-01        8.72745300e-09  24.9110  24.3696
0202-11-01_13:06:23.633000      1823.47        5.29040000e-01        8.23162300e-09  24.9110  24.3696
0202-11-01_13:06:23.840000      1823.68        5.38971800e-01        1.32518730e-08  24.9110  24.3696
0202-11-01_13:06:24.030000      1823.87        5.48770000e-01        1.21982430e-08  24.9110  24.3696
0202-11-01_13:06:24.230000      1824.07        5.59270100e-01        1.52351830e-08  24.9110  24.3696
0202-11-01_13:06:24.426000      1824.27        5.68695800e-01        1.39336330e-08  24.9190  24.4301
0202-11-01_13:06:24.617000      1824.46        5.78789300e-01        1.72804630e-08  24.9190  24.4301
0202-11-01_13:06:24.812000      1824.65        5.88272000e-01        9.96702300e-09  24.9190  24.4301
0202-11-01_13:06:25.008000      1824.85        5.98472400e-01        1.17024130e-08  24.9190  24.4301
0202-11-01_13:06:25.210000      1825.05        6.08163700e-01        7.23997300e-09  24.9190  24.4301
