# Ic = 3.78 A, n = 21.84 , Tavg = 24.94 K, f32-pulse-1ms-1
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-11-01_13:13:59.797000      2279.64        1.69932300e-02        7.46219300e-09  24.9120  24.4527
0202-11-01_13:13:59.996000      2279.84        1.29282200e-02        1.24824330e-08  24.9120  24.4527
0202-11-01_13:14:00.230000      2280.07        2.30750200e-02        1.20485930e-08  24.9120  24.4527
0202-11-01_13:14:00.420000      2280.26        3.22706400e-02        2.08495130e-08  24.9550  24.4151
0202-11-01_13:14:00.625000      2280.47        4.23923500e-02        1.68829030e-08  24.9550  24.4151
0202-11-01_13:14:00.830000      2280.67        5.18373000e-02        1.36600230e-08  24.9550  24.4151
0202-11-01_13:14:01.023000      2280.86        6.24087000e-02        9.38352300e-09  24.9550  24.4151
0202-11-01_13:14:01.250000      2281.09        7.28717500e-02        1.53954230e-08  24.9550  24.4151
0202-11-01_13:14:01.445000      2281.28        8.14574000e-02        8.51582300e-09  24.9413  24.4144
0202-11-01_13:14:01.637000      2281.48        9.19442000e-02        6.47054300e-09  24.9413  24.4144
0202-11-01_13:14:01.832000      2281.67        1.02282500e-01        7.27625300e-09  24.9413  24.4144
0202-11-01_13:14:02.027000      2281.87        1.10798400e-01        1.07470430e-08  24.9413  24.4144
0202-11-01_13:14:02.270000      2282.11        1.22441400e-01        1.16147430e-08  24.9413  24.4144
0202-11-01_13:14:02.460000      2282.30        1.30988400e-01        9.87934300e-09  24.8978  24.4704
0202-11-01_13:14:02.656000      2282.50        1.41904200e-01        1.35980430e-08  24.8978  24.4704
0202-11-01_13:14:02.850000      2282.69        1.51715700e-01        1.46516830e-08  24.8978  24.4704
0202-11-01_13:14:03.043000      2282.88        1.60507600e-01        1.66969630e-08  24.8978  24.4704
0202-11-01_13:14:03.246000      2283.09        1.71824100e-01        1.01890230e-08  24.8978  24.4704
0202-11-01_13:14:03.450000      2283.29        1.81455700e-01        1.56428230e-08  24.8885  24.3642
0202-11-01_13:14:03.640000      2283.48        1.90802700e-01        1.43410530e-08  24.8885  24.3642
0202-11-01_13:14:03.848000      2283.69        2.01233100e-01        2.06628430e-08  24.8885  24.3642
0202-11-01_13:14:04.040000      2283.88        2.11060900e-01        2.20883430e-08  24.8885  24.3642
0202-11-01_13:14:04.234000      2284.08        2.20504400e-01        2.30180230e-08  24.8896  24.4883
0202-11-01_13:14:04.440000      2284.28        2.31102500e-01        2.22123030e-08  24.8896  24.4883
0202-11-01_13:14:04.633000      2284.47        2.41156000e-01        2.10347130e-08  24.8896  24.4883
0202-11-01_13:14:04.824000      2284.67        2.50362000e-01        2.30180230e-08  24.8896  24.4883
0202-11-01_13:14:05.035000      2284.87        2.61061100e-01        2.43815430e-08  24.8896  24.4883
0202-11-01_13:14:05.258000      2285.10        2.71179800e-01        2.22742830e-08  24.8896  24.4883
0202-11-01_13:14:05.465000      2285.31        2.80604000e-01        2.16544930e-08  24.8673  24.3721
0202-11-01_13:14:05.668000      2285.51        2.90840000e-01        1.35353330e-08  24.8673  24.3721
0202-11-01_13:14:05.860000      2285.70        3.00480800e-01        1.97331730e-08  24.8673  24.3721
