# Ic = 3.79 A, n = 22.21 , Tavg = 24.89 K, f23-pulse-5p5ms-1
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-11-01_19:02:16.242000      1105.64        5.01282900e-02       -1.96161700e-09  24.9393  24.4665
0202-11-01_19:02:16.445000      1105.84        1.32402500e-02       -9.70892700e-09  24.9393  24.4665
0202-11-01_19:02:16.637000      1106.04        2.31917900e-02       -8.90320700e-09  24.9393  24.4665
0202-11-01_19:02:16.832000      1106.23        3.28148900e-02       -1.70223770e-08  24.9393  24.4665
0202-11-01_19:02:17.035000      1106.43        4.24765800e-02       -9.52298700e-09  24.9393  24.4665
0202-11-01_19:02:17.234000      1106.63        5.25597600e-02       -9.70892700e-09  24.9393  24.4665
0202-11-01_19:02:17.430000      1106.82        6.25791200e-02       -7.41577700e-09  24.9659  24.3895
0202-11-01_19:02:17.633000      1107.03        7.25272500e-02       -5.68058700e-09  24.9659  24.3895
0202-11-01_19:02:17.830000      1107.22        8.23670300e-02       -8.65570700e-09  24.9659  24.3895
0202-11-01_19:02:18.020000      1107.42        9.27529700e-02       -3.20170700e-09  24.9659  24.3895
0202-11-01_19:02:18.240000      1107.64        1.02342700e-01       -2.70587700e-09  24.9659  24.3895
0202-11-01_19:02:18.450000      1107.84        1.12360600e-01       -6.42457700e-09  24.9436  24.4195
0202-11-01_19:02:18.652000      1108.05        1.22336900e-01       -1.60312370e-08  24.9436  24.4195
0202-11-01_19:02:18.848000      1108.25        1.31865100e-01       -2.52660270e-08  24.9436  24.4195
0202-11-01_19:02:19.055000      1108.45        1.42129300e-01       -1.34901270e-08  24.9436  24.4195
0202-11-01_19:02:19.254000      1108.65        1.52294100e-01       -1.09490070e-08  24.9436  24.4195
0202-11-01_19:02:19.450000      1108.85        1.61182600e-01       -7.35425700e-09  24.9409  24.4410
0202-11-01_19:02:19.650000      1109.04        1.72074600e-01       -1.11349470e-08  24.9409  24.4410
0202-11-01_19:02:19.840000      1109.24        1.81717200e-01       -1.54114570e-08  24.9409  24.4410
0202-11-01_19:02:20.035000      1109.43        1.90944000e-01       -1.28083570e-08  24.9409  24.4410
