# Ic =  nan A, n =  nan , Tavg = 19.99 K, f23-lastirrstep-ann2-300
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-11-08_06:32:35.918000      7744.02       -4.45054000e-01        7.65834660e-08  20.0169  19.8030
0202-11-08_06:32:36.320000      7744.42       -4.44740700e-01        7.26168560e-08  19.9816  19.9241
0202-11-08_06:32:36.715000      7744.81       -4.44767400e-01        7.08194860e-08  19.9816  19.9241
0202-11-08_06:32:37.105000      7745.21       -4.45019700e-01        7.38564160e-08  19.9835  20.0139
0202-11-08_06:32:37.500000      7745.60       -4.45000000e-01        7.53438960e-08  19.9835  20.0139
0202-11-08_06:32:37.940000      7746.04       -4.44870900e-01        7.37944460e-08  19.9835  20.0139
0202-11-08_06:32:38.348000      7746.45       -4.45316100e-01        7.83188560e-08  19.9967  19.8117
0202-11-08_06:32:38.750000      7746.85       -4.45544700e-01        7.96204060e-08  19.9967  19.8117
0202-11-08_06:32:39.145000      7747.24       -4.45215200e-01        7.98063360e-08  20.0091  19.7610
0202-11-08_06:32:39.540000      7747.64       -4.45208200e-01        7.37324660e-08  20.0091  19.7610
0202-11-08_06:32:39.953000      7748.05       -4.45690600e-01        7.39183960e-08  20.0091  19.7610
0202-11-08_06:32:40.348000      7748.45       -4.45631200e-01        7.65221760e-08  19.9970  19.9674
0202-11-08_06:32:40.746000      7748.84       -4.45387100e-01        7.73281960e-08  19.9970  19.9674
0202-11-08_06:32:41.152000      7749.25       -4.45827900e-01        7.66464360e-08  19.9937  19.7778
0202-11-08_06:32:41.555000      7749.65       -4.46134700e-01        8.51994460e-08  19.9937  19.7778
0202-11-08_06:32:41.977000      7750.08       -4.47670700e-01        8.03651360e-08  19.9937  19.7778
0202-11-08_06:32:42.383000      7750.48       -4.50032000e-01        8.61910960e-08  19.9796  19.8822
0202-11-08_06:32:42.777000      7750.88       -2.64611500e-01        9.17691460e-08  19.9796  19.8822
0202-11-08_06:32:43.176000      7751.28       -6.04488300e-02        9.22649660e-08  20.0013  19.8139
0202-11-08_06:32:43.586000      7751.68        3.33060700e-01        9.34425560e-08  20.0013  19.8139
0202-11-08_06:32:43.992000      7752.09        5.31976300e-01        8.69968160e-08  19.9942  19.7905
0202-11-08_06:32:44.395000      7752.49        9.25810800e-01        8.86702260e-08  19.9942  19.7905
0202-11-08_06:32:44.797000      7752.90        1.13015600e+00        8.30302060e-08  19.9942  19.7905
0202-11-08_06:32:45.200000      7753.30        1.52448500e+00        8.21625060e-08  19.9943  19.9691
0202-11-08_06:32:45.594000      7753.69        1.72428300e+00        8.19145960e-08  19.9943  19.9691
0202-11-08_06:32:46.004000      7754.10        2.11280300e+00        8.52612660e-08  20.0011  19.8540
0202-11-08_06:32:46.400000      7754.50        2.32106300e+00        9.33180960e-08  20.0011  19.8540
0202-11-08_06:32:46.800000      7754.90        2.71149400e+00        8.87317060e-08  20.0011  19.8540
0202-11-08_06:32:47.200000      7755.30        2.89645400e+00        7.86912160e-08  19.9827  19.8477
0202-11-08_06:32:47.605000      7755.70        3.30678100e+00        8.69963060e-08  19.9827  19.8477
0202-11-08_06:32:48.010000      7756.11        3.49173900e+00        9.91440560e-08  20.0080  19.8158
0202-11-08_06:32:48.418000      7756.52        3.90329200e+00        9.29462260e-08  20.0080  19.8158
0202-11-08_06:32:48.820000      7756.92        4.29101100e+00        9.15827060e-08  20.0080  19.8158
0202-11-08_06:32:49.220000      7757.32        4.50104200e+00        8.76160960e-08  19.9736  19.8993
0202-11-08_06:32:49.617000      7757.72        4.88690900e+00        9.22024860e-08  19.9736  19.8993
0202-11-08_06:32:50.020000      7758.12        5.07310800e+00        1.01561216e-07  19.9693  20.0169
0202-11-08_06:32:50.426000      7758.52        5.48379300e+00        9.38139260e-08  19.9693  20.0169
0202-11-08_06:32:50.816000      7758.92        5.66876500e+00        1.06085636e-07  19.9693  20.0169
0202-11-08_06:32:51.210000      7759.31        6.08069900e+00        1.04350236e-07  19.9855  19.7757
0202-11-08_06:32:51.605000      7759.70        6.26486800e+00        9.78425160e-08  19.9855  19.7757
0202-11-08_06:32:52.010000      7760.11        6.67518800e+00        1.03356736e-07  19.9885  19.8757
0202-11-08_06:32:52.414000      7760.51        6.85970200e+00        1.03726756e-07  19.9885  19.8757
0202-11-08_06:32:52.816000      7760.92        7.25210300e+00        1.09800636e-07  19.9885  19.8757
0202-11-08_06:32:53.210000      7761.31        7.45596100e+00        1.19035416e-07  20.0018  19.8212
0202-11-08_06:32:53.605000      7761.70        7.84336000e+00        1.04656436e-07  20.0018  19.8212
0202-11-08_06:32:54.008000      7762.11        8.05056000e+00        1.14387036e-07  20.0018  19.8212
0202-11-08_06:32:54.406000      7762.51        8.43533800e+00        1.12527686e-07  20.0103  19.7915
0202-11-08_06:32:54.805000      7762.90        8.64567300e+00        1.25357206e-07  20.0103  19.7915
0202-11-08_06:32:55.203000      7763.30        9.03532600e+00        1.17361996e-07  19.9870  19.9851
0202-11-08_06:32:55.605000      7763.71        9.24327400e+00        1.25109296e-07  19.9870  19.9851
0202-11-08_06:32:56.010000      7764.11        9.63098100e+00        1.25605126e-07  20.0056  19.8594
0202-11-08_06:32:56.418000      7764.52        9.83578200e+00        1.23559836e-07  20.0056  19.8594
0202-11-08_06:32:56.820000      7764.92        1.02275400e+01        1.02921036e-07  20.0056  19.8594
0202-11-08_06:32:57.230000      7765.33        1.04319900e+01        1.12465706e-07  19.9832  20.0122
0202-11-08_06:32:57.620000      7765.72        1.08207300e+01        1.13953296e-07  19.9832  20.0122
0202-11-08_06:32:58.020000      7766.12        1.10265600e+01        1.00132886e-07  19.9963  20.0114
0202-11-08_06:32:58.410000      7766.51        1.14168500e+01        6.47434660e-08  19.9963  20.0114
0202-11-08_06:32:58.812000      7766.91        1.16014400e+01        4.50963260e-08  19.9963  20.0114
0202-11-08_06:32:59.223000      7767.32        1.20119700e+01       -7.50797140e-08  19.9944  19.7606
0202-11-08_06:32:59.617000      7767.71        1.23992800e+01       -3.75798704e-07  19.9944  19.7606
0202-11-08_06:33:00.008000      7768.11        1.26046700e+01       -8.25637624e-07  19.9653  20.0168
0202-11-08_06:33:00.410000      7768.51        1.29950400e+01       -2.43943008e-06  19.9653  20.0168
0202-11-08_06:33:00.805000      7768.90        1.32017400e+01       -3.81758084e-06  19.9653  20.0168
0202-11-08_06:33:01.210000      7769.31        1.35888300e+01       -8.49000523e-06  20.0122  19.8330
0202-11-08_06:33:01.617000      7769.72        1.37746400e+01       -1.24445963e-05  20.0122  19.8330
0202-11-08_06:33:02.023000      7770.12        1.41835600e+01       -3.02328806e-05  19.9867  19.8751
