# Ic = 31.69 A, n = 43.11 , Tavg = 20.05 K, f28-3e19pm2-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-08_13:38:41.280000      5230.41       -4.36966300e-01        9.46026000e-10  20.0646  19.7647
0202-03-08_13:38:41.695000      5230.82       -4.38137300e-01       -1.03961040e-08  20.0646  19.7647
0202-03-08_13:38:42.098000      5231.22       -8.26869900e-03        2.49549600e-09  20.0434  19.7127
0202-03-08_13:38:42.504000      5231.63        9.69408600e-01        1.53251160e-08  20.0434  19.7127
0202-03-08_13:38:42.910000      5232.03        1.95262000e+00       -2.02895400e-09  20.0354  19.8200
0202-03-08_13:38:43.332000      5232.46        2.75065600e+00        3.42518600e-09  20.0354  19.8200
0202-03-08_13:38:43.754000      5232.88        3.73409800e+00        4.29288600e-09  20.0354  19.8200
0202-03-08_13:38:44.168000      5233.30        4.51254700e+00       -1.05200540e-08  20.0393  19.6550
0202-03-08_13:38:44.570000      5233.70        5.51631900e+00       -5.93362400e-09  20.0393  19.6550
0202-03-08_13:38:44.980000      5234.11        6.49998800e+00       -6.11834400e-09  20.0289  19.8299
0202-03-08_13:38:45.390000      5234.52        7.28070600e+00        1.87813600e-09  20.0289  19.8299
0202-03-08_13:38:45.830000      5234.96        8.26206500e+00        1.09270560e-08  20.0289  19.8299
0202-03-08_13:38:46.254000      5235.38        9.26970600e+00        3.24167600e-09  20.0482  19.7450
0202-03-08_13:38:46.668000      5235.79        1.00471300e+01        5.59686600e-09  20.0482  19.7450
0202-03-08_13:38:47.070000      5236.20        1.10331000e+01       -1.03487400e-09  20.0234  19.6961
0202-03-08_13:38:47.484000      5236.61        1.18325400e+01        4.91509600e-09  20.0234  19.6961
0202-03-08_13:38:47.887000      5237.01        1.28161800e+01        3.30364600e-09  20.0333  19.8257
0202-03-08_13:38:48.305000      5237.43        1.38053800e+01       -1.57858440e-08  20.0333  19.8257
0202-03-08_13:38:48.703000      5237.83        1.46015200e+01       -1.34306440e-08  20.0333  19.8257
0202-03-08_13:38:49.113000      5238.24        1.55852900e+01       -1.10754440e-08  20.0405  19.6622
0202-03-08_13:38:49.555000      5238.68        1.65680000e+01       -1.14473240e-08  20.0405  19.6622
0202-03-08_13:38:49.953000      5239.08        1.73698500e+01       -8.78223400e-09  20.0198  19.8175
0202-03-08_13:38:50.380000      5239.50        1.83551200e+01        1.74968160e-08  20.0198  19.8175
0202-03-08_13:38:50.812000      5239.94        1.91338200e+01       -1.34427400e-09  20.0198  19.8175
0202-03-08_13:38:51.234000      5240.36        2.01371300e+01       -8.78125400e-09  20.0469  19.7186
0202-03-08_13:38:51.660000      5240.79        2.11232500e+01        7.76710600e-09  20.0469  19.7186
0202-03-08_13:38:52.060000      5241.18        2.19040400e+01       -8.34740400e-09  20.0069  19.6710
0202-03-08_13:38:52.465000      5241.59        2.28833100e+01        6.58950600e-09  20.0069  19.6710
0202-03-08_13:38:52.870000      5242.00        2.38909500e+01       -2.33545400e-09  20.0292  19.8208
0202-03-08_13:38:53.270000      5242.40        2.46704900e+01       -7.78959400e-09  20.0292  19.8208
0202-03-08_13:38:53.688000      5242.81        2.56549000e+01        6.03169600e-09  20.0292  19.8208
0202-03-08_13:38:54.082000      5243.21        2.64525200e+01        6.58950600e-09  20.0344  19.6451
0202-03-08_13:38:54.480000      5243.61        2.74399700e+01        3.05671600e-09  20.0344  19.6451
0202-03-08_13:38:54.900000      5244.03        2.84222100e+01        1.01842860e-08  20.0238  19.8149
0202-03-08_13:38:55.300000      5244.43        2.92244300e+01        2.14024660e-08  20.0238  19.8149
0202-03-08_13:38:55.703000      5244.83        3.02062600e+01        5.44372060e-08  20.0238  19.8149
0202-03-08_13:38:56.117000      5245.24        3.11927100e+01        1.38914426e-07  20.0582  19.7342
0202-03-08_13:38:56.560000      5245.68        3.19929700e+01        3.32164496e-07  20.0582  19.7342
0202-03-08_13:38:56.960000      5246.09        3.29754800e+01        9.58274786e-07  20.0357  19.7176
0202-03-08_13:38:57.383000      5246.51        3.37557000e+01        3.34092878e-06  20.0357  19.7176
0202-03-08_13:38:57.812000      5246.94        3.47622200e+01        1.08093216e-05  20.0357  19.7176
0202-03-08_13:38:58.246000      5247.37        3.57472900e+01        8.97829154e-05  20.0481  19.8159
