# Ic = 18.82 A, n = 35.24 , Tavg = 20.05 K, f28-20e19pm2-1200keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-08_16:33:36.297000      15725.43       -4.37710300e-01        8.31446330e-08  20.0193  19.6451
0202-03-08_16:33:36.703000      15725.83       -4.39034200e-01        7.47155030e-08  20.0193  19.6451
0202-03-08_16:33:37.113000      15726.24       -7.21822300e-02        8.08514130e-08  20.0305  19.8207
0202-03-08_16:33:37.510000      15726.64        9.11584300e-01        1.01366413e-07  20.0305  19.8207
0202-03-08_16:33:37.918000      15727.05        1.89217500e+00        8.97763630e-08  20.0342  19.6326
0202-03-08_16:33:38.330000      15727.45        2.69015100e+00        1.14134053e-07  20.0342  19.6326
0202-03-08_16:33:38.746000      15727.87        3.67352900e+00        1.05894103e-07  20.0342  19.6326
0202-03-08_16:33:39.160000      15728.29        4.45424100e+00        8.99067630e-08  20.0141  19.7386
0202-03-08_16:33:39.550000      15728.68        5.45718300e+00        1.09554083e-07  20.0141  19.7386
0202-03-08_16:33:39.965000      15729.09        6.43972600e+00        8.57541730e-08  20.0397  19.7446
0202-03-08_16:33:40.360000      15729.49        7.22269700e+00        9.49890330e-08  20.0397  19.7446
0202-03-08_16:33:40.800000      15729.93        8.20358800e+00        1.03975973e-07  20.0397  19.7446
0202-03-08_16:33:41.220000      15730.35        9.20737000e+00        1.08934293e-07  20.0229  19.6372
0202-03-08_16:33:41.620000      15730.75        9.98718600e+00        9.75301630e-08  20.0229  19.6372
0202-03-08_16:33:42.027000      15731.15        1.09688900e+01        8.01140830e-08  20.0280  19.8176
0202-03-08_16:33:42.430000      15731.56        1.17728300e+01        7.72010830e-08  20.0280  19.8176
0202-03-08_16:33:42.863000      15731.99        1.27547800e+01        8.37708430e-08  20.0403  19.6515
0202-03-08_16:33:43.270000      15732.40        1.37410800e+01        9.63525630e-08  20.0403  19.6515
0202-03-08_16:33:43.670000      15732.80        1.45381500e+01        8.47005330e-08  20.0403  19.6515
0202-03-08_16:33:44.074000      15733.20        1.55227900e+01        8.80473930e-08  20.0123  19.7501
0202-03-08_16:33:44.480000      15733.61        1.65057100e+01        1.01557803e-07  20.0123  19.7501
0202-03-08_16:33:44.883000      15734.01        1.73068400e+01        1.02919003e-07  20.0438  19.7557
0202-03-08_16:33:45.280000      15734.41        1.82886100e+01        1.87644143e-07  20.0438  19.7557
0202-03-08_16:33:45.670000      15734.80        1.90681600e+01        4.31469093e-07  20.0438  19.7557
0202-03-08_16:33:46.082000      15735.21        2.00705400e+01        2.06138990e-06  20.0196  19.6185
0202-03-08_16:33:46.484000      15735.61        2.10577100e+01        1.06964124e-05  20.0196  19.6185
0202-03-08_16:33:46.883000      15736.01        2.18390800e+01        4.58118489e-05  20.0482  19.8323
