# Ic = 3.84 A, n = 26.81 , Tavg = 20.01 K, f28-50e19pm2-1200keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-08_23:23:05.355000      40294.48       -4.43000600e-01       -9.93333930e-08  20.0242  19.8097
0202-03-08_23:23:05.754000      40294.88       -4.42894900e-01       -8.66272530e-08  20.0242  19.8097
0202-03-08_23:23:06.170000      40295.30       -4.43372800e-01       -8.16069530e-08  20.0490  19.6363
0202-03-08_23:23:06.574000      40295.70       -4.43081900e-01       -1.10861003e-07  20.0490  19.6363
0202-03-08_23:23:06.980000      40296.11       -4.43613800e-01       -1.27285413e-07  20.0254  19.7953
0202-03-08_23:23:07.383000      40296.51       -4.45249300e-01       -1.14827653e-07  20.0254  19.7953
0202-03-08_23:23:07.812000      40296.94       -4.48784800e-01       -7.79502030e-08  20.0254  19.7953
0202-03-08_23:23:08.215000      40297.34       -1.72715000e-01       -9.77834530e-08  20.0523  19.7209
0202-03-08_23:23:08.610000      40297.73        2.54763100e-02       -8.16069530e-08  20.0523  19.7209
0202-03-08_23:23:09.010000      40298.14        4.16744400e-01       -6.82195130e-08  20.0241  19.6714
0202-03-08_23:23:09.414000      40298.54        6.22766000e-01       -6.58023330e-08  20.0241  19.6714
0202-03-08_23:23:09.836000      40298.96        1.01505500e+00       -4.20024330e-08  20.0241  19.6714
0202-03-08_23:23:10.242000      40299.37        1.40282400e+00       -4.13206630e-08  20.0405  19.8288
0202-03-08_23:23:10.645000      40299.77        1.60121600e+00       -4.62169930e-08  20.0405  19.8288
0202-03-08_23:23:11.047000      40300.18        1.99404800e+00       -5.86127830e-08  20.0466  19.6343
0202-03-08_23:23:11.440000      40300.57        2.19548000e+00       -6.67936830e-08  20.0466  19.6343
0202-03-08_23:23:11.867000      40301.00        2.58787500e+00       -4.91294830e-08  20.0466  19.6343
0202-03-08_23:23:12.273000      40301.40        2.79543000e+00       -7.67720830e-08  20.0170  19.7905
0202-03-08_23:23:12.664000      40301.79        3.18339300e+00       -9.50558730e-08  20.0170  19.7905
0202-03-08_23:23:13.066000      40302.19        3.36788700e+00       -9.83407530e-08  20.0515  19.7089
0202-03-08_23:23:13.473000      40302.60        3.77715800e+00        2.82821870e-08  20.0515  19.7089
0202-03-08_23:23:13.890000      40303.02        3.96420100e+00        4.17447847e-07  20.0141  19.6557
0202-03-08_23:23:14.290000      40303.41        4.37325600e+00        6.54958043e-06  20.0141  19.6557
0202-03-08_23:23:14.690000      40303.82        4.76360500e+00        4.03302590e-05  20.0141  19.6557
