# Ic =  nan A, n =  nan , Tavg = 20.04 K, f28-6e20pm2-1200keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-08_23:45:27.800000      1035.25        5.43487600e-02       -2.95949200e-09  20.0020  19.7995
0202-03-08_23:45:28.010000      1035.46        5.16624800e-02       -7.97979200e-09  20.0511  19.6549
0202-03-08_23:45:28.215000      1035.66        9.99909100e-02       -1.29381120e-08  20.0511  19.6549
0202-03-08_23:45:28.406000      1035.86        1.46916200e-01       -6.55427200e-09  20.0511  19.6549
0202-03-08_23:45:28.613000      1036.06        1.98981100e-01       -2.02981200e-09  20.0511  19.6549
0202-03-08_23:45:28.824000      1036.27        2.49143300e-01        5.03578800e-09  20.0511  19.6549
0202-03-08_23:45:29.030000      1036.48        2.96800300e-01        5.71755800e-09  19.9811  19.7321
0202-03-08_23:45:29.223000      1036.67        3.47620000e-01        7.01911800e-09  19.9811  19.7321
0202-03-08_23:45:29.414000      1036.86        3.97098100e-01        4.91182800e-09  19.9811  19.7321
0202-03-08_23:45:29.605000      1037.06        4.45045900e-01        6.35288000e-10  19.9811  19.7321
0202-03-08_23:45:29.832000      1037.28        4.94814400e-01       -2.52564200e-09  20.0471  19.7608
0202-03-08_23:45:30.040000      1037.49        5.45745400e-01       -2.46366200e-09  20.0471  19.7608
0202-03-08_23:45:30.242000      1037.69        5.93712600e-01       -6.36834200e-09  20.0471  19.7608
0202-03-08_23:45:30.434000      1037.88        6.42295700e-01       -8.28968200e-09  20.0471  19.7608
0202-03-08_23:45:30.637000      1038.09        6.93764000e-01       -6.05844200e-09  20.0471  19.7608
0202-03-08_23:45:30.844000      1038.29        7.41996800e-01       -7.73187200e-09  19.9942  19.6207
0202-03-08_23:45:31.035000      1038.49        7.91562400e-01       -2.46366200e-09  19.9942  19.6207
0202-03-08_23:45:31.242000      1038.69        8.42447400e-01       -7.48396200e-09  19.9942  19.6207
0202-03-08_23:45:31.434000      1038.88        8.90411600e-01       -9.21884200e-09  19.9942  19.6207
0202-03-08_23:45:31.630000      1039.08        9.39306400e-01       -7.79254200e-09  19.9942  19.6207
0202-03-08_23:45:31.848000      1039.30        9.91429100e-01       -6.48992200e-09  20.0331  19.8383
0202-03-08_23:45:32.043000      1039.49        1.03943800e+00       -3.70061200e-09  20.0331  19.8383
0202-03-08_23:45:32.246000      1039.70        1.08854000e+00       -4.56831200e-09  20.0331  19.8383
0202-03-08_23:45:32.440000      1039.89        1.14006700e+00        5.13968000e-10  20.0331  19.8383
0202-03-08_23:45:32.633000      1040.08        1.18961100e+00        5.96811800e-09  20.0331  19.8383
0202-03-08_23:45:32.840000      1040.29        1.23810300e+00        3.92280800e-09  20.0166  19.6428
0202-03-08_23:45:33.040000      1040.49        1.28903900e+00        1.19572800e-09  20.0166  19.6428
0202-03-08_23:45:33.230000      1040.68        1.33846400e+00        8.23858000e-10  20.0166  19.6428
0202-03-08_23:45:33.426000      1040.87        1.38633300e+00       -1.53134200e-09  20.0166  19.6428
0202-03-08_23:45:33.620000      1041.07        1.43491300e+00       -2.08915200e-09  20.0166  19.6428
0202-03-08_23:45:33.820000      1041.27        1.48760600e+00       -1.05802720e-08  20.0247  19.7690
0202-03-08_23:45:34.016000      1041.47        1.53679600e+00       -1.14479820e-08  20.0247  19.7690
0202-03-08_23:45:34.210000      1041.66        1.58160000e+00       -1.31833920e-08  20.0247  19.7690
0202-03-08_23:45:34.402000      1041.85        1.63580000e+00       -9.77455200e-09  20.0247  19.7690
0202-03-08_23:45:34.610000      1042.06        1.68562300e+00       -5.49800200e-09  20.0247  19.7690
