# Ic = 1.59 A, n = 21.30 , Tavg = 40.02 K, f28-60e19pm2-1200keV-0nA-40k-anneal40k3_3h
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-09_05:51:54.906000      20803.37        1.66132000e-02       -2.21983659e-07  40.0268  39.5913
0202-03-09_05:51:55.110000      20803.57        5.04707600e-02       -2.20248249e-07  40.0268  39.5913
0202-03-09_05:51:55.300000      20803.76        9.71408400e-02       -2.20186269e-07  40.0268  39.5913
0202-03-09_05:51:55.500000      20803.96        1.49116700e-01       -2.23409179e-07  40.0268  39.5913
0202-03-09_05:51:55.695000      20804.16        1.98410700e-01       -2.23099279e-07  40.0268  39.5913
0202-03-09_05:51:55.895000      20804.36        2.44622800e-01       -2.18760759e-07  40.0252  39.5772
0202-03-09_05:51:56.098000      20804.56        2.98021900e-01       -2.16467539e-07  40.0252  39.5772
0202-03-09_05:51:56.290000      20804.75        3.47458500e-01       -2.10517559e-07  40.0252  39.5772
0202-03-09_05:51:56.480000      20804.94        3.91519500e-01       -2.10765479e-07  40.0252  39.5772
0202-03-09_05:51:56.684000      20805.15        4.45311900e-01       -2.18760759e-07  40.0252  39.5772
0202-03-09_05:51:56.887000      20805.35        4.95790300e-01       -2.25578439e-07  40.0290  39.5908
0202-03-09_05:51:57.082000      20805.54        5.43447300e-01       -2.28057589e-07  40.0290  39.5908
0202-03-09_05:51:57.285000      20805.75        5.91834600e-01       -2.16095659e-07  40.0290  39.5908
0202-03-09_05:51:57.480000      20805.94        6.44013100e-01       -2.13926399e-07  40.0290  39.5908
0202-03-09_05:51:57.670000      20806.13        6.93457000e-01       -2.11695159e-07  40.0290  39.5908
0202-03-09_05:51:57.880000      20806.34        7.41597900e-01       -2.14484209e-07  40.0163  39.5761
0202-03-09_05:51:58.080000      20806.54        7.92474100e-01       -2.16281599e-07  40.0163  39.5761
0202-03-09_05:51:58.273000      20806.73        8.42443400e-01       -2.18017009e-07  40.0163  39.5761
0202-03-09_05:51:58.477000      20806.94        8.89987700e-01       -2.18388879e-07  40.0163  39.5761
0202-03-09_05:51:58.668000      20807.13        9.40139600e-01       -2.18140969e-07  40.0163  39.5761
0202-03-09_05:51:58.870000      20807.33        9.91388200e-01       -2.17707119e-07  40.0208  39.5739
0202-03-09_05:51:59.074000      20807.54        1.03879900e+00       -2.05744879e-07  40.0208  39.5739
0202-03-09_05:51:59.270000      20807.73        1.08869400e+00       -2.04752989e-07  40.0208  39.5739
0202-03-09_05:51:59.460000      20807.92        1.13957500e+00       -2.00166319e-07  40.0208  39.5739
0202-03-09_05:51:59.668000      20808.13        1.18940700e+00       -2.08595449e-07  40.0208  39.5739
0202-03-09_05:51:59.867000      20808.33        1.23691800e+00       -2.07169939e-07  40.0336  39.5861
0202-03-09_05:52:00.060000      20808.52        1.28856100e+00       -2.10020969e-07  40.0336  39.5861
0202-03-09_05:52:00.254000      20808.72        1.33818900e+00       -2.07913689e-07  40.0336  39.5861
0202-03-09_05:52:00.445000      20808.91        1.38599900e+00       -2.06054319e-07  40.0336  39.5861
0202-03-09_05:52:00.637000      20809.10        1.43505300e+00       -2.00476209e-07  40.0336  39.5861
0202-03-09_05:52:00.863000      20809.33        1.48788500e+00       -1.76304429e-07  40.0253  39.5810
0202-03-09_05:52:01.070000      20809.53        1.53573800e+00       -1.37877489e-07  40.0253  39.5810
0202-03-09_05:52:01.273000      20809.74        1.58495900e+00       -5.09210590e-08  40.0253  39.5810
0202-03-09_05:52:01.477000      20809.94        1.63594100e+00        7.09295210e-08  40.0253  39.5810
0202-03-09_05:52:01.668000      20810.13        1.68380100e+00        2.93867731e-07  40.0253  39.5810
0202-03-09_05:52:01.867000      20810.33        1.73298200e+00        1.65238388e-06  40.0333  39.5824
0202-03-09_05:52:02.066000      20810.53        1.78477900e+00        3.02087864e-06  40.0333  39.5824
0202-03-09_05:52:02.260000      20810.72        1.83434300e+00        5.65498309e-06  40.0333  39.5824
0202-03-09_05:52:02.453000      20810.91        1.87930300e+00        7.37985666e-06  40.0333  39.5824
0202-03-09_05:52:02.652000      20811.12        1.93338100e+00        1.39793728e-05  40.0333  39.5824
0202-03-09_05:52:02.863000      20811.32        1.98391200e+00        1.99640578e-05  40.0234  39.5777
0202-03-09_05:52:03.062000      20811.52        2.03098300e+00        2.76667983e-05  40.0234  39.5777
