# Ic = 0.80 A, n = 18.39 , Tavg = 50.01 K, f28-60e19pm2-1200keV-0nA-50k-Afteranneal60k_10min
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-09_13:43:25.690000      49094.15        4.96789100e-02        3.24770480e-09  50.0116  49.3926
0202-03-09_13:43:25.934000      49094.39        1.45405400e-02        3.24770480e-09  50.0116  49.3926
0202-03-09_13:43:26.145000      49094.61        2.43091100e-02       -1.01397802e-08  50.0099  49.3863
0202-03-09_13:43:26.340000      49094.80        3.44977000e-02       -1.29908182e-08  50.0099  49.3863
0202-03-09_13:43:26.550000      49095.01        4.35449800e-02       -1.31767552e-08  50.0099  49.3863
0202-03-09_13:43:26.766000      49095.23        5.43865800e-02       -2.02051820e-09  50.0099  49.3863
0202-03-09_13:43:26.990000      49095.45        6.38212300e-02       -9.89179020e-09  49.9875  49.3664
0202-03-09_13:43:27.203000      49095.67        7.43038900e-02       -1.25568352e-08  49.9875  49.3664
0202-03-09_13:43:27.406000      49095.87        8.36391000e-02       -1.61515672e-08  49.9875  49.3664
0202-03-09_13:43:27.630000      49096.09        9.37327000e-02       -6.54480520e-09  49.9875  49.3664
0202-03-09_13:43:27.867000      49096.33        1.04103800e-01       -8.96199020e-09  50.0170  49.3799
0202-03-09_13:43:28.082000      49096.54        1.13683900e-01       -7.22657520e-09  50.0170  49.3799
0202-03-09_13:43:28.290000      49096.75        1.24000100e-01       -1.02635512e-08  50.0170  49.3799
0202-03-09_13:43:28.504000      49096.97        1.33707900e-01       -2.76407920e-09  50.0170  49.3799
0202-03-09_13:43:28.703000      49097.16        1.43756300e-01       -6.97865820e-09  50.0170  49.3799
0202-03-09_13:43:28.914000      49097.38        1.53717900e-01       -4.49949420e-09  49.9991  49.3829
0202-03-09_13:43:29.120000      49097.58        1.63459700e-01       -9.58178120e-09  49.9991  49.3829
0202-03-09_13:43:29.332000      49097.79        1.73645300e-01       -4.43751520e-09  49.9991  49.3829
0202-03-09_13:43:29.527000      49097.99        1.82585800e-01       -1.19989662e-08  49.9991  49.3829
0202-03-09_13:43:29.720000      49098.18        1.93347200e-01       -1.50979222e-08  49.9991  49.3829
0202-03-09_13:43:29.945000      49098.41        2.03596600e-01       -1.46640682e-08  50.0074  49.3928
0202-03-09_13:43:30.195000      49098.66        2.13066900e-01       -4.25157720e-09  50.0074  49.3928
0202-03-09_13:43:30.410000      49098.87        2.22883200e-01       -3.56980720e-09  50.0074  49.3928
0202-03-09_13:43:30.605000      49099.07        2.33276600e-01       -1.10073012e-08  50.0074  49.3928
0202-03-09_13:43:30.820000      49099.28        2.43328700e-01       -1.17510502e-08  50.0074  49.3928
0202-03-09_13:43:31.035000      49099.50        2.52793000e-01       -9.27188520e-09  50.0127  49.3948
0202-03-09_13:43:31.242000      49099.71        2.62928200e-01       -8.46615720e-09  50.0127  49.3948
0202-03-09_13:43:31.490000      49099.95        2.72849600e-01       -8.96199020e-09  50.0127  49.3948
0202-03-09_13:43:31.700000      49100.16        2.82959300e-01       -3.75574520e-09  50.0127  49.3948
0202-03-09_13:43:31.902000      49100.36        2.92733800e-01       -4.25157720e-09  50.0332  49.4152
0202-03-09_13:43:32.105000      49100.57        3.02870400e-01       -7.10261720e-09  50.0332  49.4152
0202-03-09_13:43:32.305000      49100.77        3.12501000e-01       -6.85470020e-09  50.0332  49.4152
0202-03-09_13:43:32.504000      49100.97        3.22262100e-01       -3.25991220e-09  50.0332  49.4152
0202-03-09_13:43:32.720000      49101.18        3.32637700e-01        5.78903780e-09  50.0332  49.4152
0202-03-09_13:43:32.938000      49101.40        3.42033700e-01        1.63643480e-09  50.0116  49.3977
0202-03-09_13:43:33.137000      49101.60        3.52379600e-01       -1.27658620e-09  50.0116  49.3977
0202-03-09_13:43:33.360000      49101.82        3.62220300e-01       -7.16460320e-09  50.0116  49.3977
0202-03-09_13:43:33.570000      49102.03        3.72214500e-01       -5.86304120e-09  50.0116  49.3977
0202-03-09_13:43:33.800000      49102.26        3.82049800e-01       -6.54481120e-09  50.0116  49.3977
0202-03-09_13:43:34.016000      49102.48        3.91595800e-01        9.54660800e-10  50.0123  49.3896
0202-03-09_13:43:34.220000      49102.68        4.01745700e-01       -1.83439920e-09  50.0123  49.3896
0202-03-09_13:43:34.414000      49102.88        4.11474200e-01       -4.18960520e-09  50.0123  49.3896
0202-03-09_13:43:34.610000      49103.07        4.21971500e-01       -4.31356320e-09  50.0123  49.3896
0202-03-09_13:43:34.812000      49103.28        4.31657700e-01        8.69538000e-11  50.0123  49.3896
0202-03-09_13:43:35.030000      49103.49        4.40938000e-01        3.74372080e-09  50.0176  49.3937
0202-03-09_13:43:35.242000      49103.71        4.51968000e-01        2.56611780e-09  50.0176  49.3937
0202-03-09_13:43:35.492000      49103.95        4.61040500e-01        1.01663980e-09  50.0176  49.3937
0202-03-09_13:43:35.707000      49104.17        4.71236500e-01        7.71038380e-09  50.0176  49.3937
0202-03-09_13:43:35.910000      49104.37        4.80567300e-01        7.52444680e-09  50.0254  49.4028
0202-03-09_13:43:36.113000      49104.58        4.91235200e-01        4.17757480e-09  50.0254  49.4028
0202-03-09_13:43:36.312000      49104.78        5.01349600e-01       -3.81773120e-09  50.0254  49.4028
0202-03-09_13:43:36.523000      49104.98        5.10664000e-01       -1.21460820e-09  50.0254  49.4028
0202-03-09_13:43:36.715000      49105.18        5.20655200e-01        2.81403380e-09  50.0254  49.4028
0202-03-09_13:43:36.918000      49105.38        5.30673100e-01        4.30153280e-09  49.9966  49.3831
0202-03-09_13:43:37.117000      49105.58        5.40168600e-01        1.03754858e-08  49.9966  49.3831
0202-03-09_13:43:37.324000      49105.78        5.50970100e-01        8.26819580e-09  49.9966  49.3831
0202-03-09_13:43:37.520000      49105.98        5.60519000e-01        1.08713188e-08  49.9966  49.3831
0202-03-09_13:43:37.715000      49106.18        5.69832000e-01        8.08225880e-09  49.9966  49.3831
0202-03-09_13:43:37.914000      49106.37        5.80352800e-01        8.33017480e-09  50.0315  49.4095
0202-03-09_13:43:38.110000      49106.57        5.90207400e-01        8.08225880e-09  50.0315  49.4095
0202-03-09_13:43:38.312000      49106.77        5.99673200e-01        1.07473608e-08  50.0315  49.4095
0202-03-09_13:43:38.516000      49106.98        6.10491100e-01        1.13671518e-08  50.0315  49.4095
0202-03-09_13:43:38.777000      49107.24        6.19989500e-01        1.52098338e-08  50.0315  49.4095
0202-03-09_13:43:39.040000      49107.50        6.30406600e-01        4.61129880e-09  50.0154  49.4053
0202-03-09_13:43:39.258000      49107.72        6.40091400e-01        3.92944180e-09  50.0154  49.4053
0202-03-09_13:43:39.477000      49107.94        6.49226300e-01        5.16902380e-09  50.0154  49.4053
0202-03-09_13:43:39.690000      49108.15        6.59925400e-01        3.49558780e-09  50.0154  49.4053
0202-03-09_13:43:39.906000      49108.37        6.69471300e-01        7.09037580e-09  50.0328  49.4166
0202-03-09_13:43:40.130000      49108.59        6.79382400e-01        5.41693980e-09  50.0328  49.4166
0202-03-09_13:43:40.324000      49108.78        6.89140600e-01        1.15528698e-08  50.0328  49.4166
0202-03-09_13:43:40.516000      49108.98        6.98414900e-01        1.35362008e-08  50.0328  49.4166
0202-03-09_13:43:40.740000      49109.20        7.09344100e-01        1.97960888e-08  50.0328  49.4166
0202-03-09_13:43:40.945000      49109.41        7.19027500e-01        2.46304588e-08  50.0102  49.3938
0202-03-09_13:43:41.150000      49109.61        7.28729300e-01        2.78533708e-08  50.0102  49.3938
0202-03-09_13:43:41.360000      49109.82        7.39029200e-01        3.17580538e-08  50.0102  49.3938
0202-03-09_13:43:41.562000      49110.02        7.48502400e-01        4.60132448e-08  50.0102  49.3938
0202-03-09_13:43:41.777000      49110.24        7.58536600e-01        6.59705128e-08  50.0102  49.3938
0202-03-09_13:43:42.020000      49110.48        7.68049900e-01        8.30767428e-08  50.0295  49.3990
0202-03-09_13:43:42.227000      49110.69        7.78507100e-01        1.07000672e-07  50.0295  49.3990
0202-03-09_13:43:42.438000      49110.90        7.87470800e-01        1.45303751e-07  50.0295  49.3990
0202-03-09_13:43:42.664000      49111.13        7.98310900e-01        1.83730788e-07  50.0295  49.3990
0202-03-09_13:43:42.863000      49111.33        8.08009800e-01        2.41309365e-07  49.9995  49.3885
0202-03-09_13:43:43.105000      49111.57        8.17938600e-01        3.12461363e-07  49.9995  49.3885
0202-03-09_13:43:43.310000      49111.77        8.28382500e-01        4.04748231e-07  49.9995  49.3885
0202-03-09_13:43:43.510000      49111.97        8.38351400e-01        4.91456981e-07  49.9995  49.3885
0202-03-09_13:43:43.720000      49112.18        8.48117000e-01        6.01841743e-07  49.9995  49.3885
0202-03-09_13:43:43.940000      49112.40        8.57631000e-01        7.80589443e-07  50.0148  49.3977
0202-03-09_13:43:44.145000      49112.61        8.67984300e-01        1.00656521e-06  50.0148  49.3977
0202-03-09_13:43:44.363000      49112.82        8.77738000e-01        1.20018789e-06  50.0148  49.3977
0202-03-09_13:43:44.570000      49113.03        8.87896900e-01        1.51795470e-06  50.0148  49.3977
0202-03-09_13:43:44.790000      49113.25        8.97649200e-01        1.91375280e-06  50.0148  49.3977
0202-03-09_13:43:44.992000      49113.45        9.06871600e-01        2.23567189e-06  49.9931  49.3907
0202-03-09_13:43:45.227000      49113.69        9.18033800e-01        2.76193595e-06  49.9931  49.3907
0202-03-09_13:43:45.490000      49113.95        9.26850500e-01        3.34398141e-06  49.9931  49.3907
