# Ic =  nan A, n =  nan , Tavg = 59.91 K, f28-60e19pm2-1200keV-0nA-60k-Afteranneal70k_peak
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-09_17:10:00.836000      61489.30        1.66120400e-02        4.10289245e-06  59.9296  59.1043
0202-03-09_17:10:01.040000      61489.50        1.44912100e-02       -9.54162655e-09  59.9075  59.0896
0202-03-09_17:10:01.242000      61489.71        2.36305300e-02       -2.97188055e-09  59.9075  59.0896
0202-03-09_17:10:01.445000      61489.91        3.43311500e-02        6.82076045e-09  59.9075  59.0896
0202-03-09_17:10:01.650000      61490.11        4.39424200e-02        3.90775945e-09  59.9075  59.0896
0202-03-09_17:10:01.867000      61490.33        5.35021100e-02        2.23433345e-09  59.9312  59.0940
0202-03-09_17:10:02.070000      61490.53        6.41804800e-02       -4.39739155e-09  59.9312  59.0940
0202-03-09_17:10:02.260000      61490.72        7.35349900e-02       -1.14629676e-08  59.9312  59.0940
0202-03-09_17:10:02.453000      61490.92        8.37458500e-02       -1.57394225e-08  59.9312  59.0940
0202-03-09_17:10:02.650000      61491.11        9.40338800e-02       -1.10289615e-08  59.9312  59.0940
0202-03-09_17:10:02.848000      61491.31        1.03557600e-01       -6.00857955e-09  59.9312  59.0940
0202-03-09_17:10:03.047000      61491.51        1.13597800e-01       -7.43409055e-09  59.9026  59.0655
0202-03-09_17:10:03.250000      61491.71        1.23388600e-01       -1.13387485e-08  59.9026  59.0655
0202-03-09_17:10:03.440000      61491.90        1.33242800e-01       -1.05330255e-08  59.9026  59.0655
0202-03-09_17:10:03.633000      61492.10        1.42929800e-01       -6.81430255e-09  59.9026  59.0655
0202-03-09_17:10:03.855000      61492.32        1.53568100e-01       -2.53777155e-09  59.9026  59.0655
0202-03-09_17:10:04.055000      61492.52        1.63164500e-01       -1.05028255e-09  59.9289  59.0672
0202-03-09_17:10:04.250000      61492.71        1.73066700e-01        3.90801445e-09  59.9289  59.0672
0202-03-09_17:10:04.445000      61492.91        1.83219600e-01        2.54448245e-09  59.9289  59.0672
0202-03-09_17:10:04.637000      61493.10        1.93374100e-01        1.55282345e-09  59.9289  59.0672
0202-03-09_17:10:04.867000      61493.33        2.02773100e-01        2.51270450e-10  59.9289  59.0672
0202-03-09_17:10:05.074000      61493.53        2.13228600e-01        8.37048145e-09  59.9273  59.0908
0202-03-09_17:10:05.266000      61493.73        2.22615800e-01        4.32025195e-08  59.9273  59.0908
0202-03-09_17:10:05.473000      61493.93        2.32534300e-01        1.40447120e-07  59.9273  59.0908
0202-03-09_17:10:05.664000      61494.13        2.42921700e-01        2.98121040e-07  59.9273  59.0908
0202-03-09_17:10:05.887000      61494.35        2.52774900e-01        5.83161888e-07  59.9181  59.0805
0202-03-09_17:10:06.082000      61494.55        2.62286800e-01        2.44557029e-06  59.9181  59.0805
0202-03-09_17:10:06.277000      61494.74        2.72730600e-01        4.24606276e-06  59.9181  59.0805
0202-03-09_17:10:06.484000      61494.95        2.82781000e-01        5.93623244e-06  59.9181  59.0805
0202-03-09_17:10:06.676000      61495.14        2.92343300e-01        9.68658690e-06  59.9181  59.0805
0202-03-09_17:10:06.887000      61495.35        3.02631300e-01        1.35956697e-05  59.9110  59.0724
0202-03-09_17:10:07.080000      61495.54        3.12353900e-01        1.81628464e-05  59.9110  59.0724
0202-03-09_17:10:07.280000      61495.74        3.21303300e-01        2.40992028e-05  59.9110  59.0724
