# Ic = 0.23 A, n = 14.91 , Tavg = 59.92 K, f28-60e19pm2-1200keV-0nA-60k-Afteranneal70k_peak
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-09_17:22:34.664000      491.98        1.68011800e-02       -3.38961811e-08  59.9521  59.1178
0202-03-09_17:22:34.855000      492.17        1.03859300e-02       -2.41655161e-08  59.9521  59.1178
0202-03-09_17:22:35.055000      492.37        1.49422300e-02       -1.33192341e-08  59.9521  59.1178
0202-03-09_17:22:35.260000      492.58        1.99482200e-02       -5.44793305e-09  59.9521  59.1178
0202-03-09_17:22:35.477000      492.79        2.48221200e-02       -7.12135905e-09  59.9087  59.0818
0202-03-09_17:22:35.680000      492.99        2.99423900e-02       -6.50157105e-09  59.9087  59.0818
0202-03-09_17:22:35.880000      493.19        3.49350200e-02       -1.05301901e-08  59.9087  59.0818
0202-03-09_17:22:36.074000      493.39        3.97703300e-02       -9.60050905e-09  59.9087  59.0818
0202-03-09_17:22:36.312000      493.63        4.48727900e-02       -1.23275741e-08  59.9087  59.0818
0202-03-09_17:22:36.520000      493.84        4.98813100e-02       -9.84842405e-09  59.9227  59.1040
0202-03-09_17:22:36.715000      494.03        5.44331500e-02       -4.89010505e-09  59.9227  59.1040
0202-03-09_17:22:36.906000      494.22        5.95860700e-02       -2.03905405e-09  59.9227  59.1040
0202-03-09_17:22:37.113000      494.43        6.46069000e-02        6.32811595e-09  59.9227  59.1040
0202-03-09_17:22:37.336000      494.65        6.98384800e-02        4.09689095e-09  59.9090  59.0744
0202-03-09_17:22:37.535000      494.85        7.45877100e-02        1.74169895e-09  59.9090  59.0744
0202-03-09_17:22:37.740000      495.05        7.95714400e-02        6.29395000e-12  59.9090  59.0744
0202-03-09_17:22:37.940000      495.25        8.40274000e-02       -3.27858005e-09  59.9090  59.0744
0202-03-09_17:22:38.133000      495.45        8.95899400e-02       -1.60515305e-09  59.9090  59.0744
0202-03-09_17:22:38.360000      495.67        9.44816500e-02       -2.16296205e-09  59.9401  59.1049
0202-03-09_17:22:38.566000      495.88        9.94668600e-02        1.67971995e-09  59.9401  59.1049
0202-03-09_17:22:38.770000      496.08        1.04137400e-01        6.82729500e-11  59.9401  59.1049
0202-03-09_17:22:38.960000      496.28        1.09216100e-01       -5.56850500e-11  59.9401  59.1049
0202-03-09_17:22:39.170000      496.49        1.14260700e-01       -7.99430050e-10  59.9401  59.1049
0202-03-09_17:22:39.383000      496.70        1.19331100e-01       -3.58847305e-09  59.9128  59.0829
0202-03-09_17:22:39.580000      496.89        1.24025400e-01       -2.41087705e-09  59.9128  59.0829
0202-03-09_17:22:39.773000      497.09        1.29322300e-01       -4.95200605e-09  59.9128  59.0829
0202-03-09_17:22:39.965000      497.28        1.34346100e-01       -2.22494105e-09  59.9128  59.0829
0202-03-09_17:22:40.160000      497.47        1.38656000e-01       -1.17130205e-09  59.9128  59.0829
0202-03-09_17:22:40.375000      497.69        1.44312000e-01       -3.65578050e-10  59.9361  59.1197
0202-03-09_17:22:40.586000      497.90        1.48952900e-01       -4.76606905e-09  59.9361  59.1197
0202-03-09_17:22:40.780000      498.09        1.54058400e-01       -4.27557050e-10  59.9361  59.1197
0202-03-09_17:22:40.984000      498.30        1.58931300e-01        8.24946695e-09  59.9361  59.1197
0202-03-09_17:22:41.180000      498.49        1.63564800e-01        1.29598519e-08  59.9361  59.1197
0202-03-09_17:22:41.375000      498.69        1.68827500e-01        6.32812595e-09  59.8984  59.0839
0202-03-09_17:22:41.590000      498.90        1.73867700e-01       -7.99430050e-10  59.8984  59.0839
0202-03-09_17:22:41.780000      499.10        1.78554600e-01       -3.27858005e-09  59.8984  59.0839
0202-03-09_17:22:41.973000      499.29        1.83640700e-01        5.33646595e-09  59.8984  59.0839
0202-03-09_17:22:42.168000      499.48        1.88962800e-01        6.32812595e-09  59.8984  59.0839
0202-03-09_17:22:42.367000      499.68        1.93495400e-01        6.14218995e-09  59.9424  59.1189
0202-03-09_17:22:42.562000      499.88        1.98770500e-01        3.60106095e-09  59.9424  59.1189
0202-03-09_17:22:42.758000      500.07        2.03547900e-01        1.15964729e-08  59.9424  59.1189
0202-03-09_17:22:42.950000      500.26        2.08197700e-01        1.55632269e-08  59.9424  59.1189
0202-03-09_17:22:43.145000      500.46        2.13662300e-01        2.83929369e-08  59.9424  59.1189
0202-03-09_17:22:43.367000      500.68        2.18726200e-01        6.17994599e-08  59.9059  59.0759
0202-03-09_17:22:43.574000      500.89        2.23806400e-01        9.98543859e-08  59.9059  59.0759
0202-03-09_17:22:43.773000      501.09        2.28508100e-01        1.66915346e-07  59.9059  59.0759
0202-03-09_17:22:43.977000      501.29        2.33171300e-01        2.36889305e-07  59.9059  59.0759
0202-03-09_17:22:44.180000      501.49        2.38663000e-01        3.72808608e-07  59.9059  59.0759
0202-03-09_17:22:44.370000      501.69        2.43568100e-01        5.17962909e-07  59.9800  59.1085
0202-03-09_17:22:44.582000      501.90        2.47973000e-01        7.76105127e-07  59.9800  59.1085
0202-03-09_17:22:44.777000      502.09        2.53330700e-01        1.05457693e-06  59.9800  59.1085
0202-03-09_17:22:44.970000      502.28        2.58256600e-01        1.39558583e-06  59.9800  59.1085
0202-03-09_17:22:45.176000      502.49        2.62904900e-01        2.84564838e-06  59.9800  59.1085
0202-03-09_17:22:45.370000      502.69        2.68586200e-01        2.94097220e-06  59.9200  59.1027
0202-03-09_17:22:45.580000      502.89        2.73004400e-01        4.38836964e-06  59.9200  59.1027
0202-03-09_17:22:45.785000      503.10        2.77752300e-01        5.59318095e-06  59.9200  59.1027
0202-03-09_17:22:45.980000      503.29        2.83196100e-01        6.95498526e-06  59.9200  59.1027
0202-03-09_17:22:46.170000      503.48        2.87878500e-01        8.64069223e-06  59.9200  59.1027
0202-03-09_17:22:46.380000      503.69        2.92552100e-01        9.91584977e-06  59.9254  59.1077
0202-03-09_17:22:46.570000      503.89        2.97955800e-01        1.18436470e-05  59.9254  59.1077
0202-03-09_17:22:46.766000      504.08        3.02840100e-01        1.43898714e-05  59.9254  59.1077
0202-03-09_17:22:46.957000      504.27        3.07501700e-01        1.71088934e-05  59.9254  59.1077
0202-03-09_17:22:47.152000      504.47        3.12412700e-01        1.94523223e-05  59.9254  59.1077
0202-03-09_17:22:47.370000      504.69        3.17963600e-01        2.17226157e-05  59.9222  59.0923
