# Ic = 0.15 A, n = 10.75 , Tavg = 21.45 K, f28-6e20pm2-1200keV-123nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-12_22:29:30.723000      15760.90        4.95715300e-02       -1.05054010e-08  21.4569  19.6324
0202-03-12_22:29:30.914000      15761.09        1.03309500e-02       -1.04434210e-08  21.4569  19.6324
0202-03-12_22:29:31.130000      15761.31        1.42208800e-02       -1.06293610e-08  21.4830  19.8122
0202-03-12_22:29:31.330000      15761.50        1.96394600e-02       -1.03194710e-08  21.4830  19.8122
0202-03-12_22:29:31.530000      15761.71        2.49058400e-02       -1.01335310e-08  21.4830  19.8122
0202-03-12_22:29:31.723000      15761.90        2.94042600e-02       -1.06293610e-08  21.4830  19.8122
0202-03-12_22:29:31.914000      15762.09        3.47679300e-02       -1.93063910e-08  21.4830  19.8122
0202-03-12_22:29:32.133000      15762.31        3.99282800e-02       -1.78808810e-08  21.4630  19.7040
0202-03-12_22:29:32.324000      15762.50        4.44029500e-02       -1.02574910e-08  21.4630  19.7040
0202-03-12_22:29:32.530000      15762.71        4.97799700e-02       -5.36116100e-09  21.4630  19.7040
0202-03-12_22:29:32.730000      15762.91        5.44935900e-02       -5.67106100e-09  21.4630  19.7040
0202-03-12_22:29:32.934000      15763.11        5.94669300e-02       -9.63770100e-09  21.4630  19.7040
0202-03-12_22:29:33.140000      15763.32        6.44549600e-02       -7.22053100e-09  21.4943  19.7088
0202-03-12_22:29:33.340000      15763.52        6.91656100e-02       -1.06291510e-08  21.4943  19.7088
0202-03-12_22:29:33.543000      15763.72        7.42903300e-02       -5.42209100e-09  21.4943  19.7088
0202-03-12_22:29:33.740000      15763.91        7.93007800e-02       -5.11157100e-09  21.4943  19.7088
0202-03-12_22:29:33.930000      15764.11        8.38645000e-02       -3.25178100e-09  21.4943  19.7088
0202-03-12_22:29:34.150000      15764.33        8.92845600e-02       -5.73094100e-09  21.4614  19.8167
0202-03-12_22:29:34.344000      15764.52        9.42029900e-02       -6.47468100e-09  21.4614  19.8167
0202-03-12_22:29:34.547000      15764.72        9.89403600e-02       -7.28041100e-09  21.4614  19.8167
0202-03-12_22:29:34.740000      15764.92        1.03754700e-01       -9.69758100e-09  21.4614  19.8167
0202-03-12_22:29:34.934000      15765.11        1.09274200e-01       -1.15569410e-08  21.4614  19.8167
0202-03-12_22:29:35.137000      15765.31        1.13869100e-01       -9.32571100e-09  21.5035  19.6735
0202-03-12_22:29:35.330000      15765.51        1.18852800e-01       -8.51998100e-09  21.5035  19.6735
0202-03-12_22:29:35.523000      15765.70        1.23786100e-01       -1.45939110e-08  21.5035  19.6735
0202-03-12_22:29:35.715000      15765.89        1.29189800e-01       -1.43459910e-08  21.5035  19.6735
0202-03-12_22:29:35.920000      15766.10        1.33956900e-01       -1.10611110e-08  21.5035  19.6735
0202-03-12_22:29:36.130000      15766.31        1.38514700e-01       -5.23511100e-09  21.4366  19.7884
0202-03-12_22:29:36.330000      15766.50        1.44186100e-01        4.49556900e-09  21.4366  19.7884
0202-03-12_22:29:36.530000      15766.71        1.48371400e-01        1.06314690e-08  21.4366  19.7884
0202-03-12_22:29:36.730000      15766.91        1.53775100e-01        2.82954290e-08  21.4366  19.7884
0202-03-12_22:29:36.920000      15767.10        1.58712900e-01        7.00691490e-08  21.4366  19.7884
0202-03-12_22:29:37.140000      15767.32        1.63246900e-01        2.06980339e-07  21.5149  19.7627
0202-03-12_22:29:37.336000      15767.51        1.68574900e-01        3.63724739e-07  21.5149  19.7627
0202-03-12_22:29:37.527000      15767.71        1.73638800e-01        5.59825689e-07  21.5149  19.7627
0202-03-12_22:29:37.723000      15767.90        1.78520100e-01        9.10191899e-07  21.5149  19.7627
0202-03-12_22:29:37.914000      15768.09        1.83252700e-01        1.24041499e-06  21.5149  19.7627
0202-03-12_22:29:38.125000      15768.30        1.88411600e-01        2.71495282e-06  21.4433  19.6589
0202-03-12_22:29:38.320000      15768.50        1.93822700e-01        2.86704882e-06  21.4433  19.6589
0202-03-12_22:29:38.510000      15768.69        1.98208400e-01        4.31090712e-06  21.4433  19.6589
0202-03-12_22:29:38.707000      15768.88        2.03367200e-01        5.51825428e-06  21.4433  19.6589
0202-03-12_22:29:38.910000      15769.09        2.08491900e-01        6.69213288e-06  21.4433  19.6589
0202-03-12_22:29:39.117000      15769.29        2.13487500e-01        8.10896838e-06  21.5050  19.8598
0202-03-12_22:29:39.312000      15769.49        2.18324300e-01        9.48551658e-06  21.5050  19.8598
0202-03-12_22:29:39.504000      15769.68        2.23480600e-01        1.17049775e-05  21.5050  19.8598
0202-03-12_22:29:39.700000      15769.87        2.28076900e-01        1.29172828e-05  21.5050  19.8598
0202-03-12_22:29:39.890000      15770.07        2.32754900e-01        1.29938266e-05  21.5050  19.8598
0202-03-12_22:29:40.094000      15770.27        2.38132000e-01        1.69038212e-05  21.4527  19.6389
0202-03-12_22:29:40.310000      15770.49        2.43316000e-01        1.85232652e-05  21.4527  19.6389
0202-03-12_22:29:40.504000      15770.68        2.48014800e-01        2.29002080e-05  21.4527  19.6389
