# Ic = 2.93 A, n = 34.45 , Tavg = 77.30 K, f29-pristine-ln2
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-05_16:29:12.508000      165.12        1.93003000e-02        2.06915092e-08  77.3000  0.0000
0202-02-05_16:29:12.710000      165.32        4.73023300e-02        1.72207151e-08  77.3000  0.0000
0202-02-05_16:29:12.906000      165.51        9.78489500e-02        1.70967582e-08  77.3000  0.0000
0202-02-05_16:29:13.110000      165.72        1.45939300e-01        8.60570915e-09  77.3000  0.0000
0202-02-05_16:29:13.310000      165.92        1.95334200e-01        2.96566915e-09  77.3000  0.0000
0202-02-05_16:29:13.500000      166.11        2.46597700e-01       -3.19188850e-10  77.3000  0.0000
0202-02-05_16:29:13.710000      166.32        2.94582700e-01        6.99426915e-09  77.3000  0.0000
0202-02-05_16:29:13.906000      166.51        3.44753800e-01        4.82502315e-09  77.3000  0.0000
0202-02-05_16:29:14.098000      166.71        3.95273700e-01        3.15160515e-09  77.3000  0.0000
0202-02-05_16:29:14.305000      166.91        4.43034700e-01       -5.09153085e-09  77.3000  0.0000
0202-02-05_16:29:14.496000      167.11        4.92349500e-01       -7.57066885e-09  77.3000  0.0000
0202-02-05_16:29:14.688000      167.30        5.43589200e-01       -1.85408569e-08  77.3000  0.0000
0202-02-05_16:29:14.895000      167.50        5.91161600e-01       -3.02547858e-08  77.3000  0.0000
0202-02-05_16:29:15.086000      167.70        6.41055200e-01       -3.61428689e-08  77.3000  0.0000
0202-02-05_16:29:15.280000      167.89        6.91910500e-01       -3.70726708e-08  77.3000  0.0000
0202-02-05_16:29:15.484000      168.09        7.41553300e-01       -4.03576938e-08  77.3000  0.0000
0202-02-05_16:29:15.676000      168.29        7.89145000e-01       -4.95924749e-08  77.3000  0.0000
0202-02-05_16:29:15.870000      168.48        8.40751500e-01       -5.87652769e-08  77.3000  0.0000
0202-02-05_16:29:16.074000      168.68        8.90383900e-01       -6.35995919e-08  77.3000  0.0000
0202-02-05_16:29:16.270000      168.88        9.37839100e-01       -6.21740889e-08  77.3000  0.0000
0202-02-05_16:29:16.460000      169.07        9.89475100e-01       -5.41168979e-08  77.3000  0.0000
0202-02-05_16:29:16.664000      169.27        1.03910900e+00       -4.01097798e-08  77.3000  0.0000
0202-02-05_16:29:16.860000      169.47        1.08676600e+00       -2.70943168e-08  77.3000  0.0000
0202-02-05_16:29:17.050000      169.66        1.13597500e+00       -1.19096089e-08  77.3000  0.0000
0202-02-05_16:29:17.258000      169.87        1.18812600e+00        2.53135715e-09  77.3000  0.0000
0202-02-05_16:29:17.450000      170.06        1.23750700e+00        2.28344315e-09  77.3000  0.0000
0202-02-05_16:29:17.652000      170.26        1.28232600e+00       -8.77454850e-10  77.3000  0.0000
0202-02-05_16:29:17.844000      170.45        1.33682900e+00        1.78761615e-09  77.3000  0.0000
0202-02-05_16:29:18.035000      170.65        1.38650200e+00        1.36254902e-08  77.3000  0.0000
0202-02-05_16:29:18.240000      170.85        1.43128400e+00        1.96993732e-08  77.3000  0.0000
0202-02-05_16:29:18.434000      171.04        1.48526900e+00        1.26338361e-08  77.3000  0.0000
0202-02-05_16:29:18.625000      171.23        1.53501300e+00       -2.98471985e-09  77.3000  0.0000
0202-02-05_16:29:18.830000      171.44        1.58031900e+00       -1.61241398e-08  77.3000  0.0000
0202-02-05_16:29:19.023000      171.63        1.63402500e+00       -3.29202859e-08  77.3000  0.0000
0202-02-05_16:29:19.215000      171.82        1.68422500e+00       -3.82504278e-08  77.3000  0.0000
0202-02-05_16:29:19.418000      172.03        1.73168100e+00       -4.73612519e-08  77.3000  0.0000
0202-02-05_16:29:19.610000      172.22        1.78146600e+00       -5.80215368e-08  77.3000  0.0000
0202-02-05_16:29:19.805000      172.41        1.83304400e+00       -7.09130429e-08  77.3000  0.0000
0202-02-05_16:29:19.996000      172.60        1.88245500e+00       -7.44458119e-08  77.3000  0.0000
0202-02-05_16:29:20.190000      172.80        1.92763800e+00       -7.94660619e-08  77.3000  0.0000
0202-02-05_16:29:20.383000      172.99        1.98190900e+00       -8.21931108e-08  77.3000  0.0000
0202-02-05_16:29:20.580000      173.19        2.03131900e+00       -7.48176819e-08  77.3000  0.0000
0202-02-05_16:29:20.780000      173.39        2.07703500e+00       -5.44267898e-08  77.3000  0.0000
0202-02-05_16:29:20.977000      173.59        2.13061600e+00       -3.56473529e-08  77.3000  0.0000
0202-02-05_16:29:21.168000      173.78        2.17989900e+00       -2.33756569e-08  77.3000  0.0000
0202-02-05_16:29:21.375000      173.98        2.22508700e+00       -4.65821985e-09  77.3000  0.0000
0202-02-05_16:29:21.566000      174.18        2.27900000e+00        1.71581631e-08  77.3000  0.0000
0202-02-05_16:29:21.760000      174.37        2.32900200e+00        3.66193762e-08  77.3000  0.0000
0202-02-05_16:29:21.965000      174.58        2.37685800e+00        4.55442632e-08  77.3000  0.0000
0202-02-05_16:29:22.160000      174.77        2.42729900e+00        4.06479712e-08  77.3000  0.0000
0202-02-05_16:29:22.350000      174.96        2.47786200e+00        3.53178302e-08  77.3000  0.0000
0202-02-05_16:29:22.560000      175.17        2.52607900e+00        2.53393102e-08  77.3000  0.0000
0202-02-05_16:29:22.750000      175.36        2.57589100e+00        2.21164342e-08  77.3000  0.0000
0202-02-05_16:29:22.945000      175.55        2.62701900e+00        2.24883042e-08  77.3000  0.0000
0202-02-05_16:29:23.150000      175.76        2.67663800e+00        3.58756352e-08  77.3000  0.0000
0202-02-05_16:29:23.344000      175.95        2.72342300e+00        4.59161332e-08  77.3000  0.0000
0202-02-05_16:29:23.535000      176.14        2.77548500e+00        5.00686851e-08  77.3000  0.0000
0202-02-05_16:29:23.730000      176.34        2.82542300e+00        6.22784271e-08  77.3000  0.0000
0202-02-05_16:29:23.926000      176.54        2.87110400e+00        8.77515431e-08  77.3000  0.0000
0202-02-05_16:29:24.130000      176.74        2.92438600e+00        1.47126834e-07  77.3000  0.0000
0202-02-05_16:29:24.332000      176.94        2.97424900e+00        3.08084698e-07  77.3000  0.0000
0202-02-05_16:29:24.527000      177.14        3.02123700e+00        5.03378585e-07  77.3000  0.0000
0202-02-05_16:29:24.730000      177.34        3.07348900e+00        8.22505284e-07  77.3000  0.0000
0202-02-05_16:29:24.930000      177.54        3.12337800e+00        2.49926847e-06  77.3000  0.0000
0202-02-05_16:29:25.125000      177.73        3.16942600e+00        3.77267633e-06  77.3000  0.0000
0202-02-05_16:29:25.330000      177.94        3.22203800e+00        6.10126614e-06  77.3000  0.0000
0202-02-05_16:29:25.523000      178.13        3.27196300e+00        9.76474632e-06  77.3000  0.0000
0202-02-05_16:29:25.715000      178.32        3.31733900e+00        1.23418074e-05  77.3000  0.0000
0202-02-05_16:29:25.906000      178.52        3.37090100e+00        2.06723213e-05  77.3000  0.0000
