# Ic =  nan A, n =  nan , Tavg = 20.70 K, f29-pristine-20o5k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-06_03:56:19.900000      16286.22        3.19122300e+00        1.25252771e-07  20.7006  20.5830
0202-02-06_03:56:20.300000      16286.62        3.37935000e+00        1.06473251e-07  20.7006  20.5830
0202-02-06_03:56:20.710000      16287.03        3.76831500e+00        1.03994100e-07  20.7566  20.5218
0202-02-06_03:56:21.110000      16287.43        3.97327800e+00        1.20232501e-07  20.7566  20.5218
0202-02-06_03:56:21.520000      16287.84        4.36237600e+00        1.21286140e-07  20.7566  20.5218
0202-02-06_03:56:21.914000      16288.23        4.56964400e+00        1.21719991e-07  20.7263  20.4554
0202-02-06_03:56:22.310000      16288.63        4.96067700e+00        1.38392240e-07  20.7263  20.4554
0202-02-06_03:56:22.715000      16289.03        5.16585100e+00        1.41801071e-07  20.7215  20.6164
0202-02-06_03:56:23.117000      16289.44        5.55528000e+00        1.40251601e-07  20.7215  20.6164
0202-02-06_03:56:23.540000      16289.86        5.75688500e+00        1.51717650e-07  20.7215  20.6164
0202-02-06_03:56:23.945000      16290.26        6.15063900e+00        1.47874980e-07  20.7628  20.4482
0202-02-06_03:56:24.340000      16290.66        6.35519400e+00        1.67026380e-07  20.7628  20.4482
0202-02-06_03:56:24.746000      16291.06        6.74301500e+00        1.70807090e-07  20.7424  20.5465
0202-02-06_03:56:25.150000      16291.47        6.94900100e+00        1.78616550e-07  20.7424  20.5465
0202-02-06_03:56:25.560000      16291.88        7.33795200e+00        1.94049280e-07  20.7613  20.5612
0202-02-06_03:56:25.953000      16292.27        7.54371100e+00        1.89772751e-07  20.7613  20.5612
0202-02-06_03:56:26.348000      16292.67        7.93330400e+00        2.02106501e-07  20.7613  20.5612
0202-02-06_03:56:26.746000      16293.06        8.11873300e+00        2.14626191e-07  20.7564  20.4206
0202-02-06_03:56:27.140000      16293.46        8.52918600e+00        2.37496300e-07  20.7564  20.4206
0202-02-06_03:56:27.560000      16293.88        8.91931400e+00        2.31980201e-07  20.7564  20.4206
0202-02-06_03:56:27.957000      16294.28        9.12070200e+00        2.47288930e-07  20.7295  20.6406
0202-02-06_03:56:28.348000      16294.67        9.51445400e+00        2.56213851e-07  20.7295  20.6406
0202-02-06_03:56:28.746000      16295.06        9.69973800e+00        2.81625090e-07  20.7205  20.4150
0202-02-06_03:56:29.152000      16295.47        1.01102700e+01        2.75799101e-07  20.7205  20.4150
0202-02-06_03:56:29.555000      16295.87        1.02969500e+01        2.94268730e-07  20.7106  20.5726
0202-02-06_03:56:29.965000      16296.28        1.07038800e+01        3.01768150e-07  20.7106  20.5726
0202-02-06_03:56:30.363000      16296.68        1.08899100e+01        3.11684730e-07  20.7106  20.5726
0202-02-06_03:56:30.760000      16297.08        1.12997900e+01        3.28356621e-07  20.7173  20.5254
0202-02-06_03:56:31.168000      16297.48        1.14872500e+01        3.34802031e-07  20.7173  20.5254
