# Ic =  nan A, n =  nan , Tavg = 26.20 K, f29-pristine-26k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-06_05:07:17.410000      20543.73        3.17596700e+00        1.05908905e-07  26.2074  26.0113
0202-02-06_05:07:17.805000      20544.12        3.36680700e+00        1.00144895e-07  26.2248  26.0005
0202-02-06_05:07:18.207000      20544.53        3.75570200e+00        1.02066235e-07  26.2248  26.0005
0202-02-06_05:07:18.613000      20544.93        3.95920800e+00        1.02004255e-07  26.1956  26.0269
0202-02-06_05:07:19.008000      20545.32        4.35136200e+00        9.07861455e-08  26.1956  26.0269
0202-02-06_05:07:19.400000      20545.72        4.55534200e+00        9.41949555e-08  26.1956  26.0269
0202-02-06_05:07:19.793000      20546.11        4.94298600e+00        9.95251155e-08  26.1943  26.0174
0202-02-06_05:07:20.200000      20546.52        5.14850300e+00        1.00082915e-07  26.1943  26.0174
0202-02-06_05:07:20.610000      20546.93        5.53646600e+00        9.79146655e-08  26.2080  25.9760
0202-02-06_05:07:21.008000      20547.33        5.74139400e+00        1.01385715e-07  26.2080  25.9760
0202-02-06_05:07:21.410000      20547.73        6.13511000e+00        9.09733255e-08  26.2080  25.9760
0202-02-06_05:07:21.812000      20548.13        6.34010700e+00        1.00703955e-07  26.2328  26.0636
0202-02-06_05:07:22.207000      20548.52        6.72926800e+00        1.02501325e-07  26.2328  26.0636
0202-02-06_05:07:22.600000      20548.92        6.93548200e+00        1.15020985e-07  26.2357  25.9565
0202-02-06_05:07:22.996000      20549.32        7.32619500e+00        1.07459605e-07  26.2357  25.9565
0202-02-06_05:07:23.390000      20549.71        7.52892800e+00        1.25805245e-07  26.2357  25.9565
0202-02-06_05:07:23.793000      20550.11        7.91798400e+00        1.37333255e-07  26.2559  26.0543
0202-02-06_05:07:24.195000      20550.51        8.10432100e+00        1.26115145e-07  26.2559  26.0543
0202-02-06_05:07:24.594000      20550.91        8.51653800e+00        1.35164005e-07  26.2323  25.9737
0202-02-06_05:07:24.992000      20551.31        8.90466800e+00        1.38386885e-07  26.2323  25.9737
0202-02-06_05:07:25.383000      20551.70        9.10688900e+00        1.50968525e-07  26.2323  25.9737
0202-02-06_05:07:25.793000      20552.11        9.49870900e+00        1.52517985e-07  26.2238  26.0121
0202-02-06_05:07:26.200000      20552.52        9.68201300e+00        1.59459555e-07  26.2238  26.0121
0202-02-06_05:07:26.600000      20552.92        1.00941700e+01        1.61008965e-07  26.2278  26.0201
0202-02-06_05:07:27.010000      20553.33        1.02769500e+01        1.69933865e-07  26.2278  26.0201
0202-02-06_05:07:27.406000      20553.73        1.06864400e+01        1.71669265e-07  26.2278  26.0201
0202-02-06_05:07:27.812000      20554.13        1.08771700e+01        1.87101915e-07  26.2145  26.0010
0202-02-06_05:07:28.215000      20554.53        1.12851300e+01        1.92246135e-07  26.2145  26.0010
0202-02-06_05:07:28.620000      20554.94        1.14703000e+01        1.94849235e-07  26.2363  26.0135
0202-02-06_05:07:29.023000      20555.34        1.18600300e+01        1.99559595e-07  26.2363  26.0135
0202-02-06_05:07:29.426000      20555.74        1.20654600e+01        2.01666865e-07  26.2363  26.0135
0202-02-06_05:07:29.840000      20556.16        1.24554000e+01        2.02720505e-07  26.2623  26.0281
0202-02-06_05:07:30.230000      20556.55        1.26603100e+01        2.11707385e-07  26.2623  26.0281
0202-02-06_05:07:30.625000      20556.94        1.30478900e+01        2.05881405e-07  26.2041  25.9731
0202-02-06_05:07:31.020000      20557.34        1.32544400e+01        2.16665665e-07  26.2041  25.9731
0202-02-06_05:07:31.420000      20557.74        1.36454600e+01        2.18091175e-07  26.2041  25.9731
0202-02-06_05:07:31.832000      20558.15        1.38515100e+01        2.20756245e-07  26.2001  26.0511
0202-02-06_05:07:32.227000      20558.54        1.42388500e+01        2.25404375e-07  26.2001  26.0511
0202-02-06_05:07:32.625000      20558.94        1.44451400e+01        2.40154995e-07  26.2057  25.9538
0202-02-06_05:07:33.020000      20559.34        1.48354500e+01        2.51930915e-07  26.2057  25.9538
0202-02-06_05:07:33.430000      20559.75        1.50399700e+01        2.55277755e-07  26.2057  25.9538
0202-02-06_05:07:33.836000      20560.15        1.54329400e+01        2.39845105e-07  26.2498  26.0545
0202-02-06_05:07:34.230000      20560.55        1.56335000e+01        2.48584075e-07  26.2498  26.0545
0202-02-06_05:07:34.637000      20560.96        1.60239900e+01        2.47902305e-07  26.2414  25.9753
0202-02-06_05:07:35.035000      20561.35        1.62079300e+01        2.41084675e-07  26.2414  25.9753
0202-02-06_05:07:35.430000      20561.75        1.66229600e+01        2.44617445e-07  26.2414  25.9753
0202-02-06_05:07:35.836000      20562.15        1.70091500e+01        2.55029835e-07  26.2002  25.9989
0202-02-06_05:07:36.240000      20562.56        1.72195100e+01        2.45361195e-07  26.2002  25.9989
0202-02-06_05:07:36.633000      20562.95        1.76041900e+01        2.41518525e-07  26.2113  26.0104
0202-02-06_05:07:37.023000      20563.34        1.78099500e+01        2.67921375e-07  26.2113  26.0104
0202-02-06_05:07:37.418000      20563.73        1.81997400e+01        2.66991695e-07  26.2113  26.0104
0202-02-06_05:07:37.824000      20564.14        1.83839400e+01        2.62777155e-07  26.2262  25.9816
0202-02-06_05:07:38.227000      20564.55        1.87952200e+01        2.72941855e-07  26.2262  25.9816
0202-02-06_05:07:38.637000      20564.95        1.89849800e+01        2.77032535e-07  26.2286  26.0058
0202-02-06_05:07:39.040000      20565.36        1.93908700e+01        2.73561735e-07  26.2286  26.0058
0202-02-06_05:07:39.445000      20565.76        1.95748400e+01        2.69719075e-07  26.2286  26.0058
0202-02-06_05:07:39.844000      20566.16        1.99828700e+01        2.80069485e-07  26.2206  26.0157
0202-02-06_05:07:40.234000      20566.55        2.01685200e+01        2.77652325e-07  26.2206  26.0157
0202-02-06_05:07:40.640000      20566.96        2.05597300e+01        2.72756015e-07  26.2287  25.9734
0202-02-06_05:07:41.035000      20567.35        2.07642900e+01        2.70338855e-07  26.2287  25.9734
0202-02-06_05:07:41.430000      20567.75        2.11546300e+01        2.46848995e-07  26.2287  25.9734
0202-02-06_05:07:41.824000      20568.14        2.13574700e+01        2.65256615e-07  26.2085  26.0450
0202-02-06_05:07:42.227000      20568.54        2.17516400e+01        2.72817995e-07  26.2085  26.0450
0202-02-06_05:07:42.630000      20568.95        2.19539600e+01        2.68603455e-07  26.1818  25.9469
0202-02-06_05:07:43.035000      20569.35        2.23478700e+01        2.77838255e-07  26.1818  25.9469
0202-02-06_05:07:43.426000      20569.74        2.25545300e+01        2.78210125e-07  26.1818  25.9469
0202-02-06_05:07:43.820000      20570.14        2.29437100e+01        2.74056785e-07  26.2245  26.0457
0202-02-06_05:07:44.215000      20570.53        2.31496500e+01        2.80314785e-07  26.2245  26.0457
0202-02-06_05:07:44.630000      20570.95        2.35391300e+01        2.71947675e-07  26.2489  25.9752
0202-02-06_05:07:45.030000      20571.35        2.37466000e+01        2.63580575e-07  26.2489  25.9752
0202-02-06_05:07:45.434000      20571.75        2.41337200e+01        2.73311205e-07  26.2489  25.9752
0202-02-06_05:07:45.844000      20572.16        2.43383500e+01        2.75418475e-07  26.2513  25.9943
0202-02-06_05:07:46.246000      20572.56        2.47277100e+01        2.80810605e-07  26.2513  25.9943
0202-02-06_05:07:46.652000      20572.97        2.49145700e+01        2.80810605e-07  26.1702  25.9985
0202-02-06_05:07:47.050000      20573.37        2.53253400e+01        2.68538855e-07  26.1702  25.9985
0202-02-06_05:07:47.453000      20573.77        2.57123200e+01        2.43623485e-07  26.1702  25.9985
0202-02-06_05:07:47.867000      20574.18        2.59158900e+01        2.52486415e-07  26.1941  25.9813
0202-02-06_05:07:48.260000      20574.58        2.63102000e+01        2.43437555e-07  26.1941  25.9813
0202-02-06_05:07:48.676000      20575.00        2.65118300e+01        2.49325515e-07  26.2152  25.9943
0202-02-06_05:07:49.082000      20575.40        2.69029800e+01        2.41764135e-07  26.2152  25.9943
0202-02-06_05:07:49.520000      20575.84        2.70846100e+01        2.41206325e-07  26.2152  25.9943
