# Ic =  nan A, n =  nan , Tavg = 29.97 K, f29-pristine-30K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-06_10:33:13.600000      3969.06        2.98645100e+00        1.55449300e-09  29.9751  29.7050
0202-02-06_10:33:14.020000      3969.48        3.17267900e+00        1.12064300e-09  29.9751  29.7050
0202-02-06_10:33:14.418000      3969.88        3.56164500e+00       -5.52787000e-10  30.0050  29.7115
0202-02-06_10:33:14.816000      3970.28        3.76378300e+00       -3.77568700e-09  30.0050  29.7115
0202-02-06_10:33:15.227000      3970.69        4.15541000e+00       -3.66847000e-10  29.9497  29.7122
0202-02-06_10:33:15.630000      3971.09        4.36262300e+00        5.63893000e-10  29.9497  29.7122
0202-02-06_10:33:16.043000      3971.51        4.74759200e+00        5.03062300e-09  29.9497  29.7122
0202-02-06_10:33:16.460000      3971.92        4.95443100e+00        3.72907300e-09  29.9729  29.6962
0202-02-06_10:33:16.855000      3972.32        5.34999200e+00        1.86970300e-09  29.9729  29.6962
0202-02-06_10:33:17.260000      3972.72        5.55157300e+00       -8.66668700e-09  30.0111  29.7284
0202-02-06_10:33:17.664000      3973.13        5.93995300e+00       -8.66668700e-09  30.0111  29.7284
0202-02-06_10:33:18.090000      3973.55        6.14627300e+00        8.78043000e-10  29.9500  29.6908
0202-02-06_10:33:18.484000      3973.95        6.53211100e+00       -6.99326700e-09  29.9500  29.6908
0202-02-06_10:33:18.880000      3974.34        6.73937200e+00       -2.99557000e-10  29.9500  29.6908
0202-02-06_10:33:19.273000      3974.74        7.12990800e+00       -3.02661700e-09  29.9657  29.7269
0202-02-06_10:33:19.676000      3975.14        7.33762200e+00        7.88165300e-09  29.9657  29.7269
0202-02-06_10:33:20.090000      3975.55        7.72389900e+00        1.14144430e-08  30.0246  29.6997
0202-02-06_10:33:20.504000      3975.96        7.90959100e+00        1.51951430e-08  30.0246  29.6997
0202-02-06_10:33:20.900000      3976.36        8.31971300e+00        2.17029230e-08  30.0246  29.6997
0202-02-06_10:33:21.297000      3976.76        8.70894600e+00        1.97196030e-08  30.0098  29.7129
0202-02-06_10:33:21.700000      3977.16        8.91515400e+00        2.59193830e-08  30.0098  29.7129
0202-02-06_10:33:22.100000      3977.56        9.30856600e+00        4.06716030e-08  29.9549  29.7158
0202-02-06_10:33:22.496000      3977.96        9.49033000e+00        2.78419930e-08  29.9549  29.7158
0202-02-06_10:33:22.887000      3978.35        9.90152900e+00        2.86477130e-08  29.9549  29.7158
0202-02-06_10:33:23.280000      3978.74        1.00861700e+01        4.39564730e-08  29.9624  29.6992
0202-02-06_10:33:23.688000      3979.15        1.04967600e+01        4.42663630e-08  29.9624  29.6992
0202-02-06_10:33:24.094000      3979.55        1.06813000e+01        5.60423330e-08  29.9600  29.7100
0202-02-06_10:33:24.490000      3979.95        1.10905000e+01        5.83355530e-08  29.9600  29.7100
0202-02-06_10:33:24.900000      3980.36        1.12728100e+01        4.86668630e-08  29.9600  29.7100
0202-02-06_10:33:25.297000      3980.76        1.16652800e+01        4.86048830e-08  29.9699  29.7156
0202-02-06_10:33:25.690000      3981.15        1.18753900e+01        5.48027630e-08  29.9699  29.7156
0202-02-06_10:33:26.098000      3981.56        1.22598200e+01        5.22616330e-08  29.9852  29.6939
0202-02-06_10:33:26.508000      3981.97        1.24669800e+01        6.71985130e-08  29.9852  29.6939
0202-02-06_10:33:26.914000      3982.37        1.28572100e+01        7.09172430e-08  29.9852  29.6939
0202-02-06_10:33:27.316000      3982.78        1.30583400e+01        8.15159530e-08  29.9922  29.7273
0202-02-06_10:33:27.720000      3983.18        1.34539000e+01        7.97817230e-08  29.9922  29.7273
