# Ic =  nan A, n =  nan , Tavg = 20.16 K, f29-pristine-150keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-08_09:21:31.195000      130.51        2.85319000e+00        1.18194435e-08  20.1695  19.6204
0202-02-08_09:21:31.590000      130.91        3.63138300e+00       -7.45176465e-08  20.1695  19.6204
0202-02-08_09:21:31.990000      131.31        4.61366200e+00       -1.33441365e-08  20.1465  19.8220
0202-02-08_09:21:32.387000      131.70        5.41239400e+00       -1.22861467e-07  20.1465  19.8220
0202-02-08_09:21:32.805000      132.12        6.39949800e+00       -6.20598165e-08  20.1901  19.6553
0202-02-08_09:21:33.215000      132.53        7.19794100e+00       -1.02594247e-07  20.1901  19.6553
0202-02-08_09:21:33.625000      132.94        8.18326600e+00       -2.49732987e-07  20.1901  19.6553
0202-02-08_09:21:34.030000      133.35        9.16647600e+00       -1.52549527e-07  20.1564  19.7141
0202-02-08_09:21:34.430000      133.75        9.94452800e+00       -2.81899137e-07  20.1564  19.7141
0202-02-08_09:21:34.840000      134.16        1.09504500e+01       -2.20972417e-07  20.1861  19.7975
0202-02-08_09:21:35.258000      134.58        1.17312500e+01       -2.91938677e-07  20.1861  19.7975
0202-02-08_09:21:35.668000      134.99        1.27129800e+01       -3.42141887e-07  20.1861  19.7975
0202-02-08_09:21:36.074000      135.39        1.35153400e+01       -2.57292267e-07  20.1739  19.6171
0202-02-08_09:21:36.473000      135.79        1.45005100e+01       -2.93178267e-07  20.1739  19.6171
0202-02-08_09:21:36.880000      136.20        1.52992800e+01       -2.90017317e-07  20.1812  19.8271
0202-02-08_09:21:37.277000      136.60        1.62823300e+01       -3.73813297e-07  20.1812  19.8271
0202-02-08_09:21:37.680000      137.00        1.72667200e+01       -4.87235357e-07  20.1812  19.8271
0202-02-08_09:21:38.082000      137.40        1.80435900e+01       -4.64550947e-07  20.1780  19.6503
0202-02-08_09:21:38.484000      137.80        1.90518500e+01       -4.62691567e-07  20.1780  19.6503
0202-02-08_09:21:38.880000      138.20        1.98321600e+01       -4.46143107e-07  20.1631  19.7176
0202-02-08_09:21:39.273000      138.59        2.08174700e+01       -5.14258317e-07  20.1631  19.7176
0202-02-08_09:21:39.676000      138.99        2.16156300e+01       -3.91105507e-07  20.1631  19.7176
0202-02-08_09:21:40.082000      139.40        2.26036400e+01       -4.15835237e-07  20.1703  19.7821
0202-02-08_09:21:40.484000      139.80        2.34012300e+01       -5.56405597e-07  20.1703  19.7821
0202-02-08_09:21:40.890000      140.21        2.43851500e+01       -5.24672827e-07  20.1640  19.6043
0202-02-08_09:21:41.290000      140.61        2.53708200e+01       -6.46214137e-07  20.1640  19.6043
0202-02-08_09:21:41.703000      141.02        2.61661700e+01       -5.34093667e-07  20.1640  19.6043
0202-02-08_09:21:42.110000      141.43        2.71546900e+01       -4.55751897e-07  20.1211  19.8113
0202-02-08_09:21:42.504000      141.82        2.79322700e+01       -5.69855697e-07  20.1211  19.8113
0202-02-08_09:21:42.900000      142.22        2.89155600e+01       -4.36104477e-07  20.1705  19.6349
0202-02-08_09:21:43.293000      142.61        2.97155800e+01       -4.96968097e-07  20.1705  19.6349
0202-02-08_09:21:43.734000      143.05        3.07006000e+01       -4.78312347e-07  20.1705  19.6349
0202-02-08_09:21:44.133000      143.45        3.15006300e+01       -4.87733187e-07  20.1366  19.7090
0202-02-08_09:21:44.527000      143.84        3.24875800e+01       -4.60524297e-07  20.1366  19.7090
0202-02-08_09:21:44.930000      144.25        3.34736200e+01       -4.53334707e-07  20.1527  19.7783
0202-02-08_09:21:45.330000      144.65        3.42735800e+01       -4.88910797e-07  20.1527  19.7783
0202-02-08_09:21:45.754000      145.07        3.52573000e+01       -3.41524147e-07  20.1527  19.7783
0202-02-08_09:21:46.176000      145.49        3.60392600e+01        1.08012133e-07  20.1590  19.6043
0202-02-08_09:21:46.570000      145.89        3.70220300e+01        2.32067307e-06  20.1590  19.6043
0202-02-08_09:21:46.973000      146.29        3.78232300e+01        6.10252391e-06  20.1561  19.8156
0202-02-08_09:21:47.367000      146.68        3.88100100e+01        2.24611447e-05  20.1561  19.8156
