# Ic = 27.03 A, n = 34.75 , Tavg = 20.27 K, f29-pristine-150keV-192nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-08_11:03:01.260000      6220.58        2.90290000e+00        2.05245605e-08  20.2708  19.5430
0202-02-08_11:03:01.664000      6220.98        3.67990000e+00       -4.88685950e-09  20.2708  19.5430
0202-02-08_11:03:02.070000      6221.39        4.66430400e+00        1.81693605e-08  20.2246  19.6860
0202-02-08_11:03:02.460000      6221.78        5.45969300e+00        5.52563050e-09  20.2246  19.6860
0202-02-08_11:03:02.863000      6222.18        6.44459100e+00        4.06057905e-08  20.2469  19.6769
0202-02-08_11:03:03.258000      6222.57        7.24570100e+00        2.18881005e-08  20.2469  19.6769
0202-02-08_11:03:03.656000      6222.97        8.22547700e+00        3.31683005e-08  20.2469  19.6769
0202-02-08_11:03:04.062000      6223.38        9.21306000e+00        5.61005605e-08  20.2380  19.7255
0202-02-08_11:03:04.465000      6223.78        9.98914500e+00       -3.41409795e-08  20.2380  19.7255
0202-02-08_11:03:04.867000      6224.19        1.09907100e+01       -2.38429500e-10  20.2500  19.7566
0202-02-08_11:03:05.270000      6224.59        1.17712300e+01        3.97615050e-09  20.2500  19.7566
0202-02-08_11:03:05.684000      6225.00        1.27555300e+01       -1.75305895e-08  20.2500  19.7566
0202-02-08_11:03:06.080000      6225.40        1.35548700e+01       -9.59726950e-09  20.2674  19.5484
0202-02-08_11:03:06.473000      6225.79        1.45393900e+01       -4.86339500e-10  20.2674  19.5484
0202-02-08_11:03:06.880000      6226.20        1.53367600e+01        4.95927505e-08  20.2339  19.6840
0202-02-08_11:03:07.285000      6226.60        1.63214800e+01        4.84771205e-08  20.2339  19.6840
0202-02-08_11:03:07.700000      6227.02        1.73066100e+01        6.47156305e-08  20.2339  19.6840
0202-02-08_11:03:08.105000      6227.42        1.80862200e+01        4.14734805e-08  20.2610  19.6768
0202-02-08_11:03:08.516000      6227.83        1.90912700e+01       -8.29571950e-09  20.2610  19.6768
0202-02-08_11:03:08.918000      6228.24        1.98704500e+01       -3.15378795e-08  20.2532  19.5455
0202-02-08_11:03:09.324000      6228.64        2.08539000e+01        2.50490205e-08  20.2532  19.5455
0202-02-08_11:03:09.777000      6229.09        2.16552900e+01        1.17025980e-07  20.2532  19.5455
0202-02-08_11:03:10.190000      6229.51        2.26368300e+01        6.16786605e-08  20.2353  19.7529
0202-02-08_11:03:10.590000      6229.91        2.34381000e+01        9.90520405e-08  20.2353  19.7529
0202-02-08_11:03:10.992000      6230.31        2.44228900e+01        7.89708205e-08  20.2599  19.5412
0202-02-08_11:03:11.395000      6230.71        2.54080200e+01        1.58056130e-07  20.2599  19.5412
0202-02-08_11:03:11.810000      6231.12        2.62086300e+01        2.01689400e-07  20.2599  19.5412
0202-02-08_11:03:12.203000      6231.52        2.71951200e+01        3.41452220e-07  20.2441  19.6828
0202-02-08_11:03:12.598000      6231.91        2.79737800e+01        7.43511290e-07  20.2441  19.6828
0202-02-08_11:03:12.992000      6232.31        2.89577600e+01        2.37164361e-06  20.2664  19.6762
0202-02-08_11:03:13.400000      6232.71        2.97579000e+01        6.02382477e-06  20.2664  19.6762
0202-02-08_11:03:13.820000      6233.14        3.07416400e+01        1.67020815e-05  20.2729  19.5595
