# Ic = 11.74 A, n = 25.74 , Tavg = 29.96 K, f29-pristine-1200keV-3e20-30K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-08_16:15:01.805000      5371.51       -4.30844500e-01       -7.86544235e-08  29.9420  29.5997
0202-02-08_16:15:02.223000      5371.93       -4.30651600e-01       -1.09891833e-07  29.9452  29.5769
0202-02-08_16:15:02.633000      5372.34       -4.30871200e-01       -8.39842635e-08  29.9452  29.5769
0202-02-08_16:15:03.047000      5372.75       -4.30871000e-01       -1.21109313e-07  29.9418  29.5982
0202-02-08_16:15:03.453000      5373.16       -4.31130700e-01       -8.34880635e-08  29.9418  29.5982
0202-02-08_16:15:03.880000      5373.59       -4.31093600e-01       -9.55119935e-08  29.9454  29.5616
0202-02-08_16:15:04.312000      5374.02       -4.31816200e-01       -8.04510935e-08  29.9454  29.5616
0202-02-08_16:15:04.734000      5374.44       -4.32075900e-01       -9.24750235e-08  29.9454  29.5616
0202-02-08_16:15:05.133000      5374.84       -4.32257500e-01       -6.35928035e-08  29.9931  29.6101
0202-02-08_16:15:05.547000      5375.26       -3.83699500e-01       -8.03891135e-08  29.9931  29.6101
0202-02-08_16:15:05.960000      5375.67        3.71425700e-01       -7.22698635e-08  29.9545  29.4543
0202-02-08_16:15:06.363000      5376.07        1.35464600e+00       -7.96453635e-08  29.9545  29.4543
0202-02-08_16:15:06.793000      5376.50        2.15275400e+00       -8.73307635e-08  29.9545  29.4543
0202-02-08_16:15:07.246000      5376.95        3.13817000e+00       -6.20433335e-08  29.9560  29.4758
0202-02-08_16:15:07.652000      5377.36        3.93795200e+00       -1.04870813e-07  29.9560  29.4758
0202-02-08_16:15:08.060000      5377.76        4.92088500e+00       -6.34068735e-08  29.9468  29.4808
0202-02-08_16:15:08.470000      5378.18        5.90327700e+00       -8.27454435e-08  29.9468  29.4808
0202-02-08_16:15:08.880000      5378.59        6.68015400e+00       -5.88232735e-08  29.9290  29.4708
0202-02-08_16:15:09.320000      5379.03        7.68306700e+00       -6.97935435e-08  29.9290  29.4708
0202-02-08_16:15:09.754000      5379.46        8.46572500e+00       -8.20033935e-08  29.9290  29.4708
0202-02-08_16:15:10.168000      5379.88        9.44873500e+00       -9.89236435e-08  29.9100  29.4908
0202-02-08_16:15:10.566000      5380.27        1.02479400e+01       -4.52498835e-08  29.9100  29.4908
0202-02-08_16:15:10.990000      5380.70        1.12299200e+01       -1.82890435e-08  29.9340  29.4772
0202-02-08_16:15:11.453000      5381.16        1.20263600e+01        3.00406687e-07  29.9340  29.4772
0202-02-08_16:15:11.867000      5381.58        1.30120000e+01        2.98341317e-06  29.9562  29.4778
0202-02-08_16:15:12.336000      5382.04        1.39941500e+01        1.73824227e-05  29.9562  29.4778
