# Ic =  nan A, n =  nan , Tavg = 20.02 K, f29-step1-1200keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-08_19:53:41.746000      4369.98        3.24932600e+00       -1.74964390e-08  20.0382  19.6513
0202-02-08_19:53:42.145000      4370.38        3.43495800e+00       -1.78063290e-08  20.0382  19.6513
0202-02-08_19:53:42.580000      4370.81        3.82147600e+00       -1.57610290e-08  20.0382  19.6513
0202-02-08_19:53:42.980000      4371.22        4.02911800e+00       -1.81781790e-08  20.0270  19.5046
0202-02-08_19:53:43.375000      4371.61        4.41360600e+00       -2.51817790e-08  20.0270  19.5046
0202-02-08_19:53:43.790000      4372.03        4.61705700e+00       -3.60280890e-08  20.0132  19.6904
0202-02-08_19:53:44.195000      4372.43        5.01313900e+00       -3.28051790e-08  20.0132  19.6904
0202-02-08_19:53:44.613000      4372.85        5.21548200e+00       -4.67504290e-08  20.0490  19.5372
0202-02-08_19:53:45.020000      4373.25        5.60629600e+00       -4.12962890e-08  20.0490  19.5372
0202-02-08_19:53:45.410000      4373.65        5.80669300e+00       -4.63165790e-08  20.0490  19.5372
0202-02-08_19:53:45.810000      4374.04        6.19758900e+00       -4.50150190e-08  20.0204  19.5923
0202-02-08_19:53:46.210000      4374.45        6.40501200e+00       -5.28863390e-08  20.0204  19.5923
0202-02-08_19:53:46.633000      4374.87        6.79556200e+00       -4.41473190e-08  20.0351  19.6863
0202-02-08_19:53:47.043000      4375.28        6.99642500e+00       -4.83618790e-08  20.0351  19.6863
0202-02-08_19:53:47.440000      4375.68        7.38562800e+00       -4.97254190e-08  20.0351  19.6863
0202-02-08_19:53:47.840000      4376.07        7.59199300e+00       -6.83810590e-08  20.0235  19.6417
0202-02-08_19:53:48.242000      4376.48        7.97914900e+00       -7.13560390e-08  20.0235  19.6417
0202-02-08_19:53:48.650000      4376.88        8.16493100e+00       -7.41455890e-08  20.0270  19.7246
0202-02-08_19:53:49.043000      4377.28        8.57504800e+00       -7.29691690e-08  20.0270  19.7246
0202-02-08_19:53:49.438000      4377.67        8.96241700e+00       -4.70000390e-08  20.0270  19.7246
0202-02-08_19:53:49.836000      4378.07        9.17249800e+00       -6.30525590e-08  20.0498  19.5072
0202-02-08_19:53:50.240000      4378.47        9.56036800e+00       -6.79488890e-08  20.0498  19.5072
0202-02-08_19:53:50.650000      4378.88        9.74738200e+00       -6.68332690e-08  20.0250  19.6216
0202-02-08_19:53:51.050000      4379.29        1.01567900e+01       -6.13791290e-08  20.0250  19.6216
0202-02-08_19:53:51.445000      4379.68        1.03413900e+01       -7.04900190e-08  20.0250  19.6216
0202-02-08_19:53:51.836000      4380.07        1.07526600e+01       -5.89619490e-08  20.0441  19.5075
0202-02-08_19:53:52.230000      4380.47        1.09367800e+01       -7.58201990e-08  20.0441  19.5075
0202-02-08_19:53:52.640000      4380.88        1.13453100e+01       -6.72671190e-08  20.0516  19.5107
0202-02-08_19:53:53.040000      4381.27        1.15286400e+01       -6.81967990e-08  20.0516  19.5107
0202-02-08_19:53:53.438000      4381.67        1.19153200e+01       -5.92718490e-08  20.0516  19.5107
0202-02-08_19:53:53.844000      4382.08        1.21197100e+01       -6.47259890e-08  20.0386  19.6378
0202-02-08_19:53:54.250000      4382.49        1.25109300e+01       -5.44374990e-08  20.0386  19.6378
0202-02-08_19:53:54.656000      4382.89        1.27165500e+01       -6.47878990e-08  20.0510  19.5370
0202-02-08_19:53:55.060000      4383.29        1.31075700e+01       -5.10285290e-08  20.0510  19.5370
0202-02-08_19:53:55.465000      4383.70        1.33099200e+01       -5.97675490e-08  20.0510  19.5370
0202-02-08_19:53:55.860000      4384.10        1.36996300e+01       -4.47066890e-08  20.0182  19.5966
0202-02-08_19:53:56.254000      4384.49        1.39050800e+01       -4.12978490e-08  20.0182  19.5966
0202-02-08_19:53:56.650000      4384.89        1.42941500e+01       -3.52858990e-08  20.0506  19.6870
0202-02-08_19:53:57.055000      4385.29        1.44991200e+01       -1.83036890e-08  20.0506  19.6870
0202-02-08_19:53:57.453000      4385.69        1.48923400e+01        2.74986810e-08  20.0506  19.6870
0202-02-08_19:53:57.850000      4386.09        1.50965600e+01        7.81354010e-08  20.0344  19.6465
0202-02-08_19:53:58.246000      4386.48        1.54842800e+01        1.84119241e-07  20.0344  19.6465
0202-02-08_19:53:58.640000      4386.88        1.56919100e+01        3.23323741e-07  20.0185  19.7258
0202-02-08_19:53:59.035000      4387.27        1.60797300e+01        6.45675751e-07  20.0185  19.7258
0202-02-08_19:53:59.430000      4387.66        1.62635200e+01        1.07624283e-06  20.0185  19.7258
0202-02-08_19:53:59.830000      4388.06        1.66718400e+01        2.35598216e-06  20.0390  19.5096
0202-02-08_19:54:00.234000      4388.47        1.70642500e+01        4.61765246e-06  20.0390  19.5096
0202-02-08_19:54:00.650000      4388.88        1.72684400e+01        7.08925316e-06  20.0151  19.6306
0202-02-08_19:54:01.043000      4389.28        1.76602200e+01        1.43819990e-05  20.0151  19.6306
