# Ic = 0.49 A, n = 16.61 , Tavg = 63.97 K, f29-step2-1200keV-0nA-64k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-09_06:59:48.290000      39714.59        1.59102400e-02       -3.30712179e-07  63.9600  62.7989
0202-02-09_06:59:48.480000      39714.78        7.83061400e-03       -3.26187705e-07  63.9600  62.7989
0202-02-09_06:59:48.688000      39714.99        1.06193000e-02       -3.28790853e-07  63.9600  62.7989
0202-02-09_06:59:48.880000      39715.18        1.35816300e-02       -3.23088766e-07  63.9600  62.7989
0202-02-09_06:59:49.094000      39715.39        1.67250200e-02       -3.25258040e-07  63.9600  62.7989
0202-02-09_06:59:49.290000      39715.59        1.95281100e-02       -3.23212724e-07  63.9900  62.8065
0202-02-09_06:59:49.492000      39715.79        2.24948900e-02       -3.29286692e-07  63.9900  62.8065
0202-02-09_06:59:49.695000      39716.00        2.56249300e-02       -3.31703883e-07  63.9900  62.8065
0202-02-09_06:59:49.900000      39716.20        2.85382900e-02       -3.31517945e-07  63.9900  62.8065
0202-02-09_06:59:50.100000      39716.40        3.16238000e-02       -3.33625240e-07  63.9288  62.7994
0202-02-09_06:59:50.297000      39716.60        3.44332600e-02       -3.36228369e-07  63.9288  62.7994
0202-02-09_06:59:50.504000      39716.80        3.71314200e-02       -3.37653891e-07  63.9288  62.7994
0202-02-09_06:59:50.695000      39717.00        4.05478900e-02       -3.35236700e-07  63.9288  62.7994
0202-02-09_06:59:50.900000      39717.20        4.35328600e-02       -3.37158057e-07  63.9288  62.7994
0202-02-09_06:59:51.117000      39717.42        4.64699600e-02       -3.34678887e-07  63.9999  62.8079
0202-02-09_06:59:51.316000      39717.62        4.94604900e-02       -3.38955456e-07  63.9999  62.8079
0202-02-09_06:59:51.510000      39717.81        5.24391400e-02       -3.35732534e-07  63.9999  62.8079
0202-02-09_06:59:51.715000      39718.02        5.53614000e-02       -3.34307012e-07  63.9999  62.8079
0202-02-09_06:59:51.918000      39718.22        5.82584300e-02       -3.28976795e-07  63.9999  62.8079
0202-02-09_06:59:52.125000      39718.43        6.12400600e-02       -3.32881489e-07  63.9624  62.7946
0202-02-09_06:59:52.324000      39718.63        6.42587800e-02       -3.36228369e-07  63.9624  62.7946
0202-02-09_06:59:52.520000      39718.82        6.73427400e-02       -3.38211705e-07  63.9624  62.7946
0202-02-09_06:59:52.710000      39719.01        7.07354700e-02       -3.36786182e-07  63.9624  62.7946
0202-02-09_06:59:52.918000      39719.22        7.28399700e-02       -3.40319000e-07  63.9624  62.7946
0202-02-09_06:59:53.110000      39719.41        7.64389900e-02       -3.43294004e-07  63.9652  62.8069
0202-02-09_06:59:53.305000      39719.61        7.92825900e-02       -3.44533589e-07  63.9652  62.8069
0202-02-09_06:59:53.510000      39719.81        8.19955900e-02       -3.44471610e-07  63.9652  62.8069
0202-02-09_06:59:53.703000      39720.00        8.52784900e-02       -3.37158057e-07  63.9652  62.8069
0202-02-09_06:59:53.895000      39720.20        8.81621600e-02       -3.43170045e-07  63.9652  62.8069
0202-02-09_06:59:54.105000      39720.41        9.06702700e-02       -3.42116398e-07  63.9663  62.7986
0202-02-09_06:59:54.300000      39720.60        9.39932500e-02       -3.45339327e-07  63.9663  62.7986
0202-02-09_06:59:54.492000      39720.79        9.71307000e-02       -3.41868495e-07  63.9663  62.7986
0202-02-09_06:59:54.700000      39721.00        9.93435500e-02       -3.40628919e-07  63.9663  62.7986
0202-02-09_06:59:54.890000      39721.19        1.02875800e-01       -3.40566940e-07  63.9663  62.7986
0202-02-09_06:59:55.094000      39721.39        1.05762400e-01       -3.39699231e-07  63.9663  62.7986
0202-02-09_06:59:55.297000      39721.60        1.08834600e-01       -3.38459646e-07  63.9995  62.8002
0202-02-09_06:59:55.490000      39721.79        1.11710800e-01       -3.38645584e-07  63.9995  62.8002
0202-02-09_06:59:55.684000      39721.98        1.15120200e-01       -3.40381002e-07  63.9995  62.8002
0202-02-09_06:59:55.887000      39722.19        1.17480000e-01       -3.38893501e-07  63.9995  62.8002
0202-02-09_06:59:56.098000      39722.40        1.20832700e-01       -3.35050788e-07  63.9995  62.8002
0202-02-09_06:59:56.316000      39722.62        1.23613900e-01       -3.28728905e-07  63.9843  62.8027
0202-02-09_06:59:56.508000      39722.81        1.26813700e-01       -3.30836199e-07  63.9843  62.8027
0202-02-09_06:59:56.710000      39723.01        1.29590500e-01       -3.34740892e-07  63.9843  62.8027
0202-02-09_06:59:56.902000      39723.21        1.32557300e-01       -3.34926829e-07  63.9843  62.8027
