# Ic =  nan A, n =  nan , Tavg = 19.93 K, f29-step2afterTc-1200keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-09_09:15:04.920000      47831.22        3.20303800e+00        9.22176350e-09  19.9491  19.4000
0202-02-09_09:15:05.330000      47831.63        3.38871000e+00        7.11413350e-09  19.9336  19.5964
0202-02-09_09:15:05.720000      47832.02        3.77809800e+00        8.47688350e-09  19.9336  19.5964
0202-02-09_09:15:06.130000      47832.43        3.98258600e+00        7.05136350e-09  19.9318  19.4687
0202-02-09_09:15:06.527000      47832.83        4.37256400e+00        7.11334350e-09  19.9318  19.4687
0202-02-09_09:15:06.938000      47833.24        4.57668500e+00        2.34094350e-09  19.9318  19.4687
0202-02-09_09:15:07.348000      47833.65        4.96684000e+00        5.37792350e-09  19.9400  19.6217
0202-02-09_09:15:07.746000      47834.05        5.17277700e+00       -5.46842650e-09  19.9400  19.6217
0202-02-09_09:15:08.152000      47834.45        5.56262300e+00       -1.19762465e-08  19.9137  19.5985
0202-02-09_09:15:08.550000      47834.85        5.76516600e+00       -1.50176650e-09  19.9137  19.5985
0202-02-09_09:15:08.950000      47835.25        6.15670000e+00       -9.80697650e-09  19.9137  19.5985
0202-02-09_09:15:09.355000      47835.66        6.36026500e+00       -9.49707650e-09  19.9431  19.4949
0202-02-09_09:15:09.758000      47836.06        6.74941100e+00        1.09560535e-08  19.9431  19.4949
0202-02-09_09:15:10.160000      47836.46        6.95346400e+00        4.77716935e-08  19.9254  19.5924
0202-02-09_09:15:10.550000      47836.85        7.34213300e+00        2.27077473e-07  19.9254  19.5924
0202-02-09_09:15:10.945000      47837.25        7.54951300e+00        6.01865613e-07  19.9254  19.5924
0202-02-09_09:15:11.350000      47837.65        7.93877000e+00        2.46316206e-06  19.9452  19.4093
0202-02-09_09:15:11.758000      47838.06        8.12523300e+00        4.99637519e-06  19.9452  19.4093
0202-02-09_09:15:12.160000      47838.46        8.53253600e+00        1.75456717e-05  19.9316  19.4516
