# Ic =  nan A, n =  nan , Tavg = 20.26 K, f29-6e20pm2-150keV-241nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-09_12:13:45.082000      1917.69        4.96590400e-02        2.43175300e-08  20.2598  19.5179
0202-02-09_12:13:45.285000      1917.89        8.56537100e-02        1.85534600e-08  20.2598  19.5179
0202-02-09_12:13:45.477000      1918.08        1.93737000e-01        2.28300300e-08  20.2598  19.5179
0202-02-09_12:13:45.680000      1918.29        2.94846500e-01        2.40076300e-08  20.2223  19.6348
0202-02-09_12:13:45.875000      1918.48        3.87250100e-01        3.99362800e-08  20.2223  19.6348
0202-02-09_12:13:46.070000      1918.68        4.90087200e-01        3.82008600e-08  20.2223  19.6348
0202-02-09_12:13:46.270000      1918.88        5.88921500e-01        4.16097200e-08  20.2223  19.6348
0202-02-09_12:13:46.473000      1919.08        6.81590800e-01        3.70232600e-08  20.2223  19.6348
0202-02-09_12:13:46.670000      1919.28        7.86464100e-01        4.44607600e-08  20.2492  19.6409
0202-02-09_12:13:46.870000      1919.48        8.84971900e-01        3.96263800e-08  20.2492  19.6409
0202-02-09_12:13:47.070000      1919.68        9.78109700e-01        4.79935700e-08  20.2492  19.6409
0202-02-09_12:13:47.270000      1919.88        1.08286000e+00        4.43368000e-08  20.2492  19.6409
0202-02-09_12:13:47.477000      1920.08        1.18241000e+00        4.47086700e-08  20.2492  19.6409
0202-02-09_12:13:47.670000      1920.28        1.27709100e+00        4.39029500e-08  20.2546  19.4948
0202-02-09_12:13:47.863000      1920.47        1.38002600e+00        4.18576300e-08  20.2546  19.4948
0202-02-09_12:13:48.074000      1920.68        1.47934000e+00        4.34071100e-08  20.2546  19.4948
0202-02-09_12:13:48.270000      1920.88        1.57521800e+00        3.63414900e-08  20.2546  19.4948
0202-02-09_12:13:48.473000      1921.08        1.67744200e+00        3.75190900e-08  20.2546  19.4948
0202-02-09_12:13:48.680000      1921.29        1.77727100e+00        3.91924600e-08  20.2360  19.7291
0202-02-09_12:13:48.883000      1921.49        1.87106400e+00        4.24151800e-08  20.2360  19.7291
0202-02-09_12:13:49.086000      1921.69        1.97489300e+00        4.68154300e-08  20.2360  19.7291
0202-02-09_12:13:49.280000      1921.89        2.07428500e+00        4.69392600e-08  20.2360  19.7291
0202-02-09_12:13:49.484000      1922.09        2.16458700e+00        4.41501900e-08  20.2360  19.7291
0202-02-09_12:13:49.688000      1922.30        2.27375600e+00        3.91298800e-08  20.2408  19.4870
0202-02-09_12:13:49.883000      1922.49        2.37180200e+00        3.51632100e-08  20.2408  19.4870
0202-02-09_12:13:50.086000      1922.69        2.46097000e+00        3.68366500e-08  20.2408  19.4870
0202-02-09_12:13:50.280000      1922.89        2.56980200e+00        4.03694600e-08  20.2408  19.4870
0202-02-09_12:13:50.484000      1923.09        2.66928100e+00        4.14850900e-08  20.2408  19.4870
0202-02-09_12:13:50.684000      1923.29        2.76122700e+00        3.62788400e-08  20.2407  19.6654
0202-02-09_12:13:50.875000      1923.48        2.86738000e+00        4.04314400e-08  20.2407  19.6654
0202-02-09_12:13:51.070000      1923.68        2.96693000e+00        3.80142600e-08  20.2407  19.6654
0202-02-09_12:13:51.277000      1923.88        3.05794900e+00        3.98736300e-08  20.2407  19.6654
0202-02-09_12:13:51.473000      1924.08        3.16528000e+00        3.00189400e-08  20.2407  19.6654
0202-02-09_12:13:51.684000      1924.29        3.26573900e+00        3.38616500e-08  20.2411  19.6062
