# Ic = 4.58 A, n = 26.35 , Tavg = 20.23 K, f29-6e20pm2-1200keV-30nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-09_15:02:51.930000      3787.89        5.79823600e-02        9.42700650e-09  20.2323  19.5901
0202-02-09_15:02:52.130000      3788.09        9.51881400e-02        1.35176165e-08  20.2243  19.7209
0202-02-09_15:02:52.332000      3788.30        1.93740600e-01        1.83519765e-08  20.2243  19.7209
0202-02-09_15:02:52.523000      3788.49        2.89430200e-01        1.92816665e-08  20.2243  19.7209
0202-02-09_15:02:52.720000      3788.68        3.91665400e-01        2.48597765e-08  20.2243  19.7209
0202-02-09_15:02:52.926000      3788.89        4.90486500e-01        2.94462165e-08  20.2243  19.7209
0202-02-09_15:02:53.117000      3789.08        5.85920900e-01        3.42185965e-08  20.2444  19.5226
0202-02-09_15:02:53.312000      3789.28        6.88811500e-01        3.83711965e-08  20.2444  19.5226
0202-02-09_15:02:53.510000      3789.48        7.86633800e-01        3.83711965e-08  20.2444  19.5226
0202-02-09_15:02:53.707000      3789.67        8.77838400e-01        3.83711965e-08  20.2444  19.5226
0202-02-09_15:02:53.900000      3789.86        9.83983700e-01        3.78133765e-08  20.2444  19.5226
0202-02-09_15:02:54.105000      3790.07        1.08391400e+00        3.88050465e-08  20.2225  19.6343
0202-02-09_15:02:54.300000      3790.26        1.17619400e+00        4.28336365e-08  20.2225  19.6343
0202-02-09_15:02:54.492000      3790.46        1.28135500e+00        3.70695365e-08  20.2225  19.6343
0202-02-09_15:02:54.700000      3790.66        1.38061400e+00        4.10361165e-08  20.2225  19.6343
0202-02-09_15:02:54.890000      3790.86        1.47035700e+00        3.71934065e-08  20.2225  19.6343
0202-02-09_15:02:55.113000      3791.08        1.57915900e+00        4.80397265e-08  20.2269  19.6502
0202-02-09_15:02:55.320000      3791.29        1.67527000e+00        4.57465065e-08  20.2269  19.6502
0202-02-09_15:02:55.523000      3791.49        1.77362700e+00        4.57465065e-08  20.2269  19.6502
0202-02-09_15:02:55.720000      3791.68        1.87200900e+00        4.50647365e-08  20.2269  19.6502
0202-02-09_15:02:55.926000      3791.89        1.97173200e+00        4.70480565e-08  20.2269  19.6502
0202-02-09_15:02:56.130000      3792.09        2.07272100e+00        4.58084765e-08  20.2292  19.5036
0202-02-09_15:02:56.330000      3792.29        2.17514700e+00        4.43829665e-08  20.2292  19.5036
0202-02-09_15:02:56.523000      3792.49        2.26973000e+00        4.72959765e-08  20.2292  19.5036
0202-02-09_15:02:56.715000      3792.68        2.36824800e+00        5.36798165e-08  20.2292  19.5036
0202-02-09_15:02:56.918000      3792.88        2.47144300e+00        5.15725265e-08  20.2292  19.5036
0202-02-09_15:02:57.120000      3793.09        2.57114400e+00        5.33699165e-08  20.2190  19.7197
0202-02-09_15:02:57.312000      3793.28        2.66404800e+00        5.10147165e-08  20.2190  19.7197
0202-02-09_15:02:57.516000      3793.48        2.76917600e+00        5.36798165e-08  20.2190  19.7197
0202-02-09_15:02:57.710000      3793.67        2.86834900e+00        5.47954365e-08  20.2190  19.7197
0202-02-09_15:02:57.902000      3793.87        2.95897000e+00        6.35344765e-08  20.2190  19.7197
0202-02-09_15:02:58.105000      3794.07        3.06759000e+00        6.59516565e-08  20.2390  19.5171
0202-02-09_15:02:58.300000      3794.26        3.16703200e+00        6.94844565e-08  20.2390  19.5171
0202-02-09_15:02:58.492000      3794.46        3.25650500e+00        6.57037365e-08  20.2390  19.5171
0202-02-09_15:02:58.684000      3794.65        3.36433900e+00        6.81209165e-08  20.2390  19.5171
0202-02-09_15:02:58.895000      3794.86        3.46389300e+00        6.88026865e-08  20.2390  19.5171
0202-02-09_15:02:59.098000      3795.06        3.55629000e+00        7.41948565e-08  20.2173  19.6379
0202-02-09_15:02:59.297000      3795.26        3.66329300e+00        7.87193265e-08  20.2173  19.6379
0202-02-09_15:02:59.490000      3795.45        3.76155700e+00        8.12604665e-08  20.2173  19.6379
0202-02-09_15:02:59.684000      3795.65        3.85237900e+00        8.21901465e-08  20.2173  19.6379
0202-02-09_15:02:59.875000      3795.84        3.96006500e+00        7.86573465e-08  20.2173  19.6379
0202-02-09_15:03:00.090000      3796.05        4.05998400e+00        8.08885865e-08  20.2173  19.6379
0202-02-09_15:03:00.290000      3796.25        4.15468600e+00        8.34926565e-08  20.2353  19.6499
0202-02-09_15:03:00.480000      3796.44        4.25797000e+00        1.01282077e-07  20.2353  19.6499
0202-02-09_15:03:00.688000      3796.65        4.35713400e+00        1.23843867e-07  20.2353  19.6499
0202-02-09_15:03:00.883000      3796.85        4.44708800e+00        1.75659286e-07  20.2353  19.6499
0202-02-09_15:03:01.082000      3797.05        4.55667000e+00        2.41295076e-07  20.2409  19.5094
0202-02-09_15:03:01.290000      3797.25        4.65573600e+00        3.95932746e-07  20.2409  19.5094
0202-02-09_15:03:01.480000      3797.45        4.74988500e+00        5.64205807e-07  20.2409  19.5094
0202-02-09_15:03:01.676000      3797.64        4.85375200e+00        8.21046887e-07  20.2409  19.5094
0202-02-09_15:03:01.883000      3797.85        4.95326100e+00        2.14454699e-06  20.2409  19.5094
0202-02-09_15:03:02.086000      3798.05        5.04377500e+00        3.27380484e-06  20.2260  19.7216
0202-02-09_15:03:02.297000      3798.26        5.15381000e+00        4.66461414e-06  20.2260  19.7216
0202-02-09_15:03:02.490000      3798.45        5.24804600e+00        7.06754094e-06  20.2260  19.7216
0202-02-09_15:03:02.684000      3798.65        5.34543200e+00        1.00518308e-05  20.2260  19.7216
