# Ic = 6.64 A, n = 28.62 , Tavg = 20.04 K, f29-afterlastbeamon-20K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-09_15:17:41.906000      4677.87        1.62743700e+00        1.18299515e-08  20.0346  19.4996
0202-02-09_15:17:42.305000      4678.27        1.80886800e+00        1.53007815e-08  20.0303  19.6463
0202-02-09_15:17:42.707000      4678.67        2.19883200e+00        1.79658715e-08  20.0303  19.6463
0202-02-09_15:17:43.113000      4679.08        2.40462800e+00        1.52388015e-08  20.0423  19.6421
0202-02-09_15:17:43.510000      4679.48        2.79205100e+00        8.91694150e-09  20.0423  19.6421
0202-02-09_15:17:43.914000      4679.88        2.99814600e+00       -2.54916850e-09  20.0423  19.6421
0202-02-09_15:17:44.316000      4680.28        3.38627700e+00        1.88335815e-08  20.0454  19.5192
0202-02-09_15:17:44.710000      4680.67        3.59191700e+00        2.04450315e-08  20.0454  19.5192
0202-02-09_15:17:45.110000      4681.07        3.97921000e+00        1.07143315e-08  20.0260  19.7017
0202-02-09_15:17:45.504000      4681.47        4.18511400e+00        3.52477150e-09  20.0260  19.7017
0202-02-09_15:17:45.906000      4681.87        4.57435800e+00        1.87096215e-08  20.0260  19.7017
0202-02-09_15:17:46.312000      4682.28        4.78158300e+00        1.80282315e-08  20.0419  19.5312
0202-02-09_15:17:46.715000      4682.68        5.16717800e+00        1.77196715e-08  20.0419  19.5312
0202-02-09_15:17:47.125000      4683.09        5.37237400e+00       -3.78008500e-10  20.0209  19.6147
0202-02-09_15:17:47.516000      4683.48        5.76522500e+00        2.04469415e-08  20.0209  19.6147
0202-02-09_15:17:47.910000      4683.87        5.96953600e+00        1.68521615e-08  20.0209  19.6147
0202-02-09_15:17:48.312000      4684.28        6.35737100e+00        6.44520315e-08  20.0402  19.6744
0202-02-09_15:17:48.720000      4684.68        6.54670200e+00        1.71985611e-07  20.0402  19.6744
0202-02-09_15:17:49.120000      4685.09        6.95674100e+00        6.99364961e-07  20.0290  19.4907
0202-02-09_15:17:49.523000      4685.49        7.34399000e+00        4.22950311e-06  20.0290  19.4907
0202-02-09_15:17:49.930000      4685.89        7.54628400e+00        8.62988841e-06  20.0290  19.4907
0202-02-09_15:17:50.340000      4686.30        7.93249500e+00        2.94618980e-05  20.0425  19.6236
