# Ic = 4.60 A, n = 20.13 , Tavg = 30.02 K, f29-afterlastbeamon-30K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-09_15:29:02.574000      5358.54        1.85578300e-02        2.63968615e-08  30.0433  29.5974
0202-02-09_15:29:02.773000      5358.74        2.72446300e-01        2.77603915e-08  30.0433  29.5974
0202-02-09_15:29:02.970000      5358.93        5.54868800e-01        3.07353915e-08  30.0433  29.5974
0202-02-09_15:29:03.176000      5359.14        8.48288700e-01        4.20775415e-08  30.0185  29.5575
0202-02-09_15:29:03.367000      5359.33        1.15333200e+00        4.60442015e-08  30.0185  29.5575
0202-02-09_15:29:03.652000      5359.61        1.45013800e+00        3.99702615e-08  30.0185  29.5575
0202-02-09_15:29:03.844000      5359.81        1.74759700e+00        3.61275615e-08  30.0185  29.5575
0202-02-09_15:29:04.066000      5360.03        2.05422600e+00        5.21801215e-08  30.0185  29.5575
0202-02-09_15:29:04.260000      5360.23        2.33862500e+00        4.16436915e-08  30.0368  29.5835
0202-02-09_15:29:04.470000      5360.43        2.63928600e+00        3.88546415e-08  30.0368  29.5835
0202-02-09_15:29:04.664000      5360.63        2.91006700e+00        4.40608715e-08  30.0368  29.5835
0202-02-09_15:29:04.855000      5360.82        3.23104900e+00        6.42040515e-08  30.0368  29.5835
0202-02-09_15:29:05.050000      5361.02        3.52934900e+00        7.03399715e-08  30.0368  29.5835
0202-02-09_15:29:05.246000      5361.21        3.80841600e+00        6.81707015e-08  30.0178  29.5559
0202-02-09_15:29:05.440000      5361.40        4.12326900e+00        6.37082215e-08  30.0178  29.5559
0202-02-09_15:29:05.633000      5361.60        4.42129700e+00        7.36868415e-08  30.0178  29.5559
0202-02-09_15:29:05.836000      5361.80        4.69422300e+00        1.17072141e-07  30.0178  29.5559
0202-02-09_15:29:06.035000      5362.00        5.00992500e+00        1.25035529e-06  30.0178  29.5559
0202-02-09_15:29:06.234000      5362.20        5.31595500e+00        3.38305198e-06  30.0184  29.5873
0202-02-09_15:29:06.426000      5362.39        5.57638700e+00        1.03451506e-05  30.0184  29.5873
