# Ic =  nan A, n =  nan , Tavg = 30.04 K, f29-110Kanneal-30K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-11_02:09:32.223000      15664.78        1.45007800e-02       -1.62863190e-08  30.0169  29.6035
0202-02-11_02:09:32.414000      15664.97        4.93854100e-02       -1.96351090e-08  30.0169  29.6035
0202-02-11_02:09:32.620000      15665.18        9.78914400e-02       -9.59701900e-09  30.0169  29.6035
0202-02-11_02:09:32.812000      15665.37        1.49748000e-01        3.23204100e-09  30.0169  29.6035
0202-02-11_02:09:33.047000      15665.61        1.99512600e-01        5.27735100e-09  30.0169  29.6035
0202-02-11_02:09:33.258000      15665.82        2.49532400e-01        1.09794410e-08  30.0226  29.5466
0202-02-11_02:09:33.450000      15666.01        2.98394700e-01        9.30600100e-09  30.0226  29.5466
0202-02-11_02:09:33.645000      15666.20        3.46247700e-01        1.61237110e-08  30.0226  29.5466
0202-02-11_02:09:33.848000      15666.41        3.94727000e-01        1.82310010e-08  30.0226  29.5466
0202-02-11_02:09:34.080000      15666.64        4.48020800e-01        1.37685010e-08  30.0226  29.5466
0202-02-11_02:09:34.280000      15666.84        4.91560600e-01        1.34586010e-08  30.0610  29.6139
0202-02-11_02:09:34.473000      15667.03        5.45550400e-01        9.42996100e-09  30.0610  29.6139
0202-02-11_02:09:34.676000      15667.24        5.95056800e-01        9.12006100e-09  30.0610  29.6139
0202-02-11_02:09:34.867000      15667.43        6.41959900e-01        2.30235100e-09  30.0610  29.6139
0202-02-11_02:09:35.094000      15667.65        6.94167300e-01        8.14851000e-10  30.0489  29.5516
0202-02-11_02:09:35.290000      15667.85        7.42821700e-01        7.01277100e-09  30.0489  29.5516
0202-02-11_02:09:35.492000      15668.05        7.91134800e-01        1.38304810e-08  30.0489  29.5516
0202-02-11_02:09:35.684000      15668.25        8.42523000e-01        3.19011000e-10  30.0489  29.5516
0202-02-11_02:09:35.880000      15668.44        8.92253500e-01       -4.20546900e-09  30.0489  29.5516
0202-02-11_02:09:36.100000      15668.66        9.38696600e-01       -3.70962900e-09  30.0615  29.6171
0202-02-11_02:09:36.300000      15668.86        9.91917600e-01        1.24669410e-08  30.0615  29.6171
0202-02-11_02:09:36.508000      15669.07        1.03929900e+00        5.15339100e-09  30.0615  29.6171
0202-02-11_02:09:36.700000      15669.26        1.08910600e+00        1.00497510e-08  30.0615  29.6171
0202-02-11_02:09:36.890000      15669.45        1.13983100e+00        4.84350100e-09  30.0615  29.6171
0202-02-11_02:09:37.100000      15669.66        1.18849100e+00        1.56278810e-08  30.0371  29.5710
0202-02-11_02:09:37.297000      15669.86        1.23905900e+00        5.58725100e-09  30.0371  29.5710
0202-02-11_02:09:37.492000      15670.05        1.28876300e+00       -6.80858900e-09  30.0371  29.5710
0202-02-11_02:09:37.688000      15670.25        1.33703900e+00       -1.51757790e-08  30.0371  29.5710
0202-02-11_02:09:37.880000      15670.44        1.38616700e+00       -1.46179690e-08  30.0371  29.5710
0202-02-11_02:09:38.086000      15670.65        1.43753300e+00       -5.94087900e-09  30.0371  29.5710
0202-02-11_02:09:38.285000      15670.85        1.48565300e+00       -5.94002900e-09  30.0691  29.6009
0202-02-11_02:09:38.477000      15671.04        1.53461600e+00       -8.29459900e-09  30.0691  29.6009
0202-02-11_02:09:38.670000      15671.23        1.58647400e+00       -7.36426900e-09  30.0691  29.6009
0202-02-11_02:09:38.875000      15671.44        1.63603000e+00       -3.08769900e-09  30.0691  29.6009
0202-02-11_02:09:39.082000      15671.64        1.68391600e+00        1.00293100e-09  30.0130  29.5720
0202-02-11_02:09:39.290000      15671.85        1.73531000e+00       -4.57519900e-09  30.0130  29.5720
0202-02-11_02:09:39.480000      15672.04        1.78283500e+00       -1.07111390e-08  30.0130  29.5720
0202-02-11_02:09:39.676000      15672.23        1.83119400e+00       -5.75280900e-09  30.0130  29.5720
0202-02-11_02:09:39.867000      15672.43        1.88364300e+00       -1.91008900e-09  30.0130  29.5720
0202-02-11_02:09:40.080000      15672.64        1.93513200e+00       -9.18429000e-10  30.0130  29.5720
0202-02-11_02:09:40.270000      15672.83        1.98127900e+00       -1.26324990e-08  29.9979  29.5840
0202-02-11_02:09:40.477000      15673.04        2.03259700e+00       -6.24863900e-09  29.9979  29.5840
0202-02-11_02:09:40.668000      15673.23        2.08069700e+00       -1.74679000e-10  29.9979  29.5840
0202-02-11_02:09:40.870000      15673.43        2.12943800e+00        8.16991000e-10  29.9979  29.5840
0202-02-11_02:09:41.100000      15673.66        2.18389100e+00       -6.12467900e-09  30.0124  29.5555
0202-02-11_02:09:41.297000      15673.86        2.22986800e+00       -8.29394900e-09  30.0124  29.5555
0202-02-11_02:09:41.492000      15674.05        2.27920300e+00       -1.78613900e-09  30.0124  29.5555
0202-02-11_02:09:41.684000      15674.24        2.33034200e+00        2.36647100e-09  30.0124  29.5555
0202-02-11_02:09:41.890000      15674.45        2.38028400e+00        6.08522100e-09  30.0124  29.5555
0202-02-11_02:09:42.094000      15674.65        2.42566800e+00       -7.30228900e-09  30.0242  29.6007
0202-02-11_02:09:42.290000      15674.85        2.47957000e+00       -6.93040900e-09  30.0242  29.6007
0202-02-11_02:09:42.492000      15675.05        2.52912900e+00       -3.83144900e-09  30.0242  29.6007
0202-02-11_02:09:42.688000      15675.25        2.57661700e+00       -3.89342900e-09  30.0242  29.6007
0202-02-11_02:09:42.880000      15675.44        2.62860600e+00       -1.12069790e-08  30.0242  29.6007
0202-02-11_02:09:43.094000      15675.65        2.67794000e+00       -8.91374900e-09  30.0212  29.5506
