# Ic = 6.81 A, n = 27.73 , Tavg = 19.81 K, f29-120Kanneal-20K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-11_06:25:47.992000      31040.55        2.67693300e+00       -1.98756705e-08  19.8164  19.2644
0202-02-11_06:25:48.406000      31040.97        2.86282800e+00       -1.01449405e-08  19.7904  19.3901
0202-02-11_06:25:48.805000      31041.36        3.25177700e+00       -2.94824305e-08  19.7904  19.3901
0202-02-11_06:25:49.207000      31041.77        3.45847100e+00       -1.16324405e-08  19.7947  19.4065
0202-02-11_06:25:49.610000      31042.17        3.84733300e+00       -1.78303605e-08  19.7947  19.4065
0202-02-11_06:25:50.040000      31042.60        4.05116400e+00       -2.04954605e-08  19.7947  19.4065
0202-02-11_06:25:50.453000      31043.01        4.44328600e+00       -1.36798405e-08  19.8047  19.2527
0202-02-11_06:25:50.850000      31043.41        4.64642600e+00       -1.32508805e-08  19.8047  19.2527
0202-02-11_06:25:51.270000      31043.83        5.03538500e+00       -3.50675105e-08  19.7871  19.4732
0202-02-11_06:25:51.670000      31044.23        5.24172200e+00       -1.60399405e-08  19.7871  19.4732
0202-02-11_06:25:52.086000      31044.65        5.63316100e+00       -2.44071105e-08  19.7871  19.4732
0202-02-11_06:25:52.490000      31045.05        5.83572700e+00       -3.40138705e-08  19.8189  19.2602
0202-02-11_06:25:52.890000      31045.45        6.22882100e+00       -1.84673050e-09  19.8189  19.2602
0202-02-11_06:25:53.297000      31045.86        6.43284900e+00        3.89974795e-08  19.8046  19.3994
0202-02-11_06:25:53.695000      31046.26        6.82134400e+00        2.00514950e-07  19.8046  19.3994
0202-02-11_06:25:54.120000      31046.68        7.02283900e+00        4.86858270e-07  19.8046  19.3994
0202-02-11_06:25:54.520000      31047.08        7.41624400e+00        2.16556148e-06  19.8234  19.4081
0202-02-11_06:25:54.914000      31047.47        7.60194600e+00        4.50496158e-06  19.8234  19.4081
0202-02-11_06:25:55.324000      31047.88        8.00764200e+00        1.74134047e-05  19.8088  19.2651
