# Ic =  nan A, n =  nan , Tavg = 64.02 K, f29-6e20pm2-anneal300K-64K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-26_17:04:29.125000      1159792.64        1.88692000e+00        1.17292609e-06  63.9436  63.1911
0202-02-26_17:04:29.630000      1159793.14       -4.47060000e-01       -9.68286865e-08  63.9436  63.1911
0202-02-26_17:04:29.960000      1159793.48       -4.46148600e-01       -6.70789765e-08  63.9436  63.1911
0202-02-26_17:04:30.220000      1159793.73       -4.46089200e-01       -7.07357165e-08  63.9813  63.2405
0202-02-26_17:04:30.445000      1159793.96       -4.45790900e-01       -7.55700365e-08  63.9813  63.2405
0202-02-26_17:04:30.637000      1159794.15       -4.45901000e-01        1.26110874e-07  63.9813  63.2405
0202-02-26_17:04:30.844000      1159794.36       -3.69639800e-02        1.43836744e-07  63.9813  63.2405
0202-02-26_17:04:30.965000      1159794.48        2.17413800e-03        1.45820055e-07  63.9813  63.2405
0202-02-26_17:04:31.040000      1159794.55        1.32629600e-01        1.51646045e-07  63.9556  63.2062
0202-02-26_17:04:31.234000      1159794.75        4.09045200e-01        1.60323045e-07  63.9556  63.2062
0202-02-26_17:04:31.375000      1159794.89        4.17218300e-01        1.49910645e-07  63.9556  63.2062
0202-02-26_17:04:31.434000      1159794.95        4.20569500e-01        1.50034605e-07  63.9556  63.2062
0202-02-26_17:04:31.625000      1159795.14        6.28033700e-01        1.54682995e-07  63.9556  63.2062
0202-02-26_17:04:31.766000      1159795.28        6.28373600e-01        1.49414815e-07  63.9556  63.2062
0202-02-26_17:04:31.820000      1159795.33        6.34544600e-01        1.50344495e-07  63.9556  63.2062
0202-02-26_17:04:32.055000      1159795.57        1.01743400e+00        1.55550695e-07  63.9556  63.2062
0202-02-26_17:04:32.168000      1159795.68        1.02502200e+00        1.47927335e-07  63.9497  63.2056
0202-02-26_17:04:32.258000      1159795.77        1.14764400e+00        1.46501825e-07  63.9497  63.2056
0202-02-26_17:04:32.460000      1159795.97        1.23076400e+00        1.50096585e-07  63.9497  63.2056
0202-02-26_17:04:32.574000      1159796.09        1.22979800e+00        1.52265825e-07  63.9497  63.2056
0202-02-26_17:04:32.652000      1159796.17        1.45403300e+00        1.53815295e-07  63.9497  63.2056
0202-02-26_17:04:32.860000      1159796.37        1.62346600e+00        1.78110885e-07  63.9497  63.2056
0202-02-26_17:04:32.965000      1159796.48        1.61731100e+00        1.79660355e-07  63.9497  63.2056
0202-02-26_17:04:33.066000      1159796.58        1.75736600e+00        2.13128775e-07  63.9497  63.2056
0202-02-26_17:04:33.290000      1159796.80        1.82421300e+00        5.71798705e-07  64.0155  63.2183
0202-02-26_17:04:33.360000      1159796.88        1.82512000e+00        6.63093135e-07  64.0155  63.2183
0202-02-26_17:04:33.480000      1159797.00        2.18228900e+00        9.26965295e-06  64.0155  63.2183
0202-02-26_17:04:33.684000      1159797.20        2.21972500e+00        3.26054768e-05  64.0155  63.2183
0202-02-26_17:04:33.754000      1159797.27        1.50678100e+00        2.34801911e-05  64.0155  63.2183
