# Ic =  nan A, n =  nan , Tavg = 20.18 K, f29-after800keVsetup-800keV-45nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-26_19:19:18.110000      2224.94        8.12802900e-02        2.32638330e-08  20.1790  19.8713
0202-02-26_19:19:18.516000      2225.35        4.68478800e-01        3.26226730e-08  20.2091  19.5909
0202-02-26_19:19:18.910000      2225.74        6.73453900e-01        2.92758030e-08  20.2091  19.5909
0202-02-26_19:19:19.316000      2226.15        1.06153400e+00        3.23127830e-08  20.1783  19.8004
0202-02-26_19:19:19.715000      2226.55        1.26483500e+00        3.31185030e-08  20.1783  19.8004
0202-02-26_19:19:20.125000      2226.95        1.65703300e+00        4.12377630e-08  20.1954  19.7461
0202-02-26_19:19:20.530000      2227.36        1.85552900e+00        3.59074130e-08  20.1954  19.7461
0202-02-26_19:19:20.934000      2227.76        2.24396300e+00        3.49156830e-08  20.1954  19.7461
0202-02-26_19:19:21.340000      2228.17        2.45391300e+00        2.71683030e-08  20.1828  19.6390
0202-02-26_19:19:21.750000      2228.58        2.84353100e+00        3.63412030e-08  20.1828  19.6390
0202-02-26_19:19:22.168000      2229.00        3.04876500e+00        4.50802430e-08  20.1812  19.8452
0202-02-26_19:19:22.580000      2229.41        3.43856500e+00        4.43984730e-08  20.1812  19.8452
0202-02-26_19:19:22.970000      2229.80        3.82616200e+00        4.62578530e-08  20.1812  19.8452
0202-02-26_19:19:23.367000      2230.20        4.03038000e+00        3.79526530e-08  20.1922  19.6208
0202-02-26_19:19:23.770000      2230.60        4.41792100e+00        3.77667230e-08  20.1922  19.6208
0202-02-26_19:19:24.188000      2231.02        4.62632000e+00        5.89635530e-08  20.1792  19.7767
0202-02-26_19:19:24.598000      2231.43        5.01550200e+00        7.29708230e-08  20.1792  19.7767
0202-02-26_19:19:25.016000      2231.85        5.21961500e+00        6.23724030e-08  20.1792  19.7767
0202-02-26_19:19:25.420000      2232.25        5.60755500e+00        1.02348883e-07  20.2230  19.7697
0202-02-26_19:19:25.830000      2232.66        5.79354800e+00        2.26121043e-07  20.2230  19.7697
0202-02-26_19:19:26.230000      2233.06        6.19869000e+00        8.49502483e-07  20.1983  19.6125
0202-02-26_19:19:26.637000      2233.47        6.38328900e+00        2.24371421e-06  20.1983  19.6125
0202-02-26_19:19:27.066000      2233.90        6.79366500e+00        8.76148448e-06  20.1983  19.6125
0202-02-26_19:19:27.480000      2234.31        7.18240400e+00        2.64419759e-05  20.1769  19.8725
