# Ic = 7.60 A, n = 29.00 , Tavg = 20.01 K, f29-after800keVsetup-800keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-26_19:29:31.370000      2838.20        8.65363700e-02       -8.06232700e-09  19.9842  19.8422
0202-02-26_19:29:31.770000      2838.60        4.73672600e-01       -2.11233700e-09  19.9842  19.8422
0202-02-26_19:29:32.180000      2839.01        6.76436500e-01       -1.69873070e-08  19.9940  19.8562
0202-02-26_19:29:32.590000      2839.42        1.06425000e+00       -1.74046700e-09  19.9940  19.8562
0202-02-26_19:29:33.027000      2839.86        1.26879800e+00       -1.51279370e-08  19.9940  19.8562
0202-02-26_19:29:33.450000      2840.28        1.65777500e+00       -9.54982700e-09  20.0062  19.6053
0202-02-26_19:29:33.850000      2840.68        1.86239900e+00       -8.93003700e-09  20.0062  19.6053
0202-02-26_19:29:34.270000      2841.10        2.24948700e+00       -1.30826270e-08  19.9887  19.8016
0202-02-26_19:29:34.668000      2841.50        2.45951400e+00       -1.27107570e-08  19.9887  19.8016
0202-02-26_19:29:35.082000      2841.91        2.84600900e+00       -6.26493700e-09  19.9887  19.8016
0202-02-26_19:29:35.492000      2842.32        3.04954100e+00       -3.59983700e-09  19.9957  19.7447
0202-02-26_19:29:35.895000      2842.72        3.43920700e+00       -1.07894070e-08  19.9957  19.7447
0202-02-26_19:29:36.312000      2843.14        3.82805100e+00       -1.36404370e-08  19.9935  19.6329
0202-02-26_19:29:36.715000      2843.55        4.03741800e+00       -1.04173870e-08  19.9935  19.6329
0202-02-26_19:29:37.130000      2843.96        4.42474400e+00       -9.30155700e-09  19.9935  19.6329
0202-02-26_19:29:37.530000      2844.36        4.62856800e+00       -1.10989570e-08  19.9870  19.8591
0202-02-26_19:29:37.934000      2844.76        5.01705800e+00       -1.19666570e-08  19.9870  19.8591
0202-02-26_19:29:38.336000      2845.17        5.22090100e+00       -1.21525970e-08  20.0045  19.6040
0202-02-26_19:29:38.742000      2845.57        5.61039400e+00       -4.03334700e-09  20.0045  19.6040
0202-02-26_19:29:39.164000      2845.99        5.79281800e+00       -1.46317570e-08  19.9889  19.7981
0202-02-26_19:29:39.566000      2846.40        6.20088800e+00       -1.17187470e-08  19.9889  19.7981
0202-02-26_19:29:39.965000      2846.80        6.38568900e+00       -6.45052700e-09  19.9889  19.7981
0202-02-26_19:29:40.370000      2847.20        6.79755100e+00        2.53643300e-09  20.0156  19.5906
0202-02-26_19:29:40.777000      2847.61        7.18503500e+00        4.09014430e-08  20.0156  19.5906
0202-02-26_19:29:41.188000      2848.02        7.38988300e+00        9.65585930e-08  20.0058  19.6346
0202-02-26_19:29:41.590000      2848.42        7.77843300e+00        3.49432973e-07  20.0058  19.6346
0202-02-26_19:29:41.996000      2848.83        7.96630400e+00        8.61875453e-07  20.0058  19.6346
0202-02-26_19:29:42.395000      2849.22        8.37372100e+00        3.64417532e-06  19.9865  19.8574
0202-02-26_19:29:42.785000      2849.62        8.55743100e+00        6.88394982e-06  19.9865  19.8574
0202-02-26_19:29:43.190000      2850.02        8.96774000e+00        2.20787953e-05  20.0134  19.6064
