# Ic = 3.36 A, n = 24.72 , Tavg = 20.18 K, f29-after800keVsetup-800keV-44A-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-26_20:21:23.760000      5950.59        7.41687400e-02        1.49249620e-08  20.2013  19.7176
0202-02-26_20:21:24.168000      5951.00        4.66603100e-01        1.37473620e-08  20.1923  19.6464
0202-02-26_20:21:24.570000      5951.40        6.73580200e-01        2.09989020e-08  20.1923  19.6464
0202-02-26_20:21:24.977000      5951.81        1.05739100e+00        3.43243820e-08  20.1923  19.6464
0202-02-26_20:21:25.367000      5952.20        1.26153800e+00        2.77546120e-08  20.1976  19.6732
0202-02-26_20:21:25.760000      5952.59        1.65048600e+00        3.37045920e-08  20.1976  19.6732
0202-02-26_20:21:26.156000      5952.99        1.85338300e+00        4.07702020e-08  20.1884  19.5887
0202-02-26_20:21:26.562000      5953.39        2.24552700e+00        3.59978120e-08  20.1884  19.5887
0202-02-26_20:21:26.960000      5953.79        2.45391800e+00        3.31467820e-08  20.1884  19.5887
0202-02-26_20:21:27.363000      5954.19        2.84373100e+00        5.60170220e-08  20.2022  19.8342
0202-02-26_20:21:27.770000      5954.60        3.04492900e+00        5.65128520e-08  20.2022  19.8342
0202-02-26_20:21:28.180000      5955.01        3.43268300e+00        3.79423282e-07  20.1982  19.6951
0202-02-26_20:21:28.594000      5955.43        3.82644600e+00        6.11595975e-06  20.1982  19.6951
0202-02-26_20:21:29.060000      5955.89        4.02856200e+00        1.57894596e-05  20.1982  19.6951
0202-02-26_20:21:29.473000      5956.30        4.41705800e+00        6.78194772e-05  20.1843  19.6748
