# Ic =  nan A, n =  nan , Tavg = 20.19 K, f29-after800keVsetup-800keV-45A-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-26_20:24:42.316000      6149.15        8.03154600e-02       -1.24909500e-08  20.1845  19.7815
0202-02-26_20:24:42.720000      6149.55        4.65942300e-01       -7.34670000e-09  20.1845  19.7815
0202-02-26_20:24:43.137000      6149.97        6.73044100e-01       -3.81389000e-09  20.2067  19.7623
0202-02-26_20:24:43.547000      6150.38        1.06095600e+00        7.96211000e-09  20.2067  19.7623
0202-02-26_20:24:43.940000      6150.77        1.26451600e+00       -1.26149100e-08  20.2067  19.7623
0202-02-26_20:24:44.344000      6151.17        1.65310700e+00        2.75588000e-09  20.1836  19.6155
0202-02-26_20:24:44.734000      6151.56        1.85667600e+00       -1.20571000e-08  20.1836  19.6155
0202-02-26_20:24:45.156000      6151.99        2.24791200e+00        8.34530000e-10  20.1845  19.8791
0202-02-26_20:24:45.570000      6152.40        2.45189500e+00       -8.58627000e-09  20.1845  19.8791
0202-02-26_20:24:45.973000      6152.80        2.83988800e+00        1.45532000e-09  20.1845  19.8791
0202-02-26_20:24:46.383000      6153.21        3.04461400e+00        6.82107400e-08  20.1874  19.6579
0202-02-26_20:24:46.785000      6153.62        3.43360600e+00        1.36840647e-06  20.1874  19.6579
0202-02-26_20:24:47.195000      6154.03        3.82582500e+00        1.17860867e-05  20.1855  19.8162
0202-02-26_20:24:47.610000      6154.44        4.02825600e+00        2.81082583e-05  20.1855  19.8162
