# Ic = 1.91 A, n = 2.65 , Tavg = 20.01 K, f29-2400keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-01_14:19:54.633000       76.41        4.00633900e-02       -3.06467100e-08  19.9963  19.7323
0202-03-01_14:19:54.840000       76.61        5.02950100e-02       -1.07686610e-07  19.9928  19.6635
0202-03-01_14:19:55.035000       76.81        9.86436200e-02       -1.69293610e-07  19.9928  19.6635
0202-03-01_14:19:55.230000       77.00        1.44301500e-01       -2.10261710e-07  19.9928  19.6635
0202-03-01_14:19:55.420000       77.19        1.97765900e-01       -2.44598110e-07  19.9928  19.6635
0202-03-01_14:19:55.617000       77.39        2.47515600e-01       -2.49742310e-07  19.9928  19.6635
0202-03-01_14:19:55.832000       77.60        2.96299000e-01       -2.35797110e-07  19.9883  19.8360
0202-03-01_14:19:56.047000       77.82        3.47011900e-01       -1.35143210e-07  19.9883  19.8360
0202-03-01_14:19:56.250000       78.02        3.95906300e-01       -1.54542610e-07  19.9883  19.8360
0202-03-01_14:19:56.445000       78.22        4.43475800e-01       -1.96812310e-07  19.9883  19.8360
0202-03-01_14:19:56.640000       78.41        4.94728800e-01       -1.03100110e-07  19.9883  19.8360
0202-03-01_14:19:56.848000       78.62        5.44713000e-01       -1.48654610e-07  20.0098  19.6364
0202-03-01_14:19:57.066000       78.84        5.93052700e-01       -4.89305100e-08  20.0098  19.6364
0202-03-01_14:19:57.270000       79.04        6.43496900e-01       -1.22251610e-07  20.0098  19.6364
0202-03-01_14:19:57.473000       79.24        6.91021800e-01       -1.27581810e-07  20.0098  19.6364
0202-03-01_14:19:57.670000       79.44        7.40952500e-01       -1.25474510e-07  20.0098  19.6364
0202-03-01_14:19:57.870000       79.64        7.92275500e-01       -1.71586910e-07  19.9730  19.7820
0202-03-01_14:19:58.080000       79.85        8.40040800e-01       -1.20578210e-07  19.9730  19.7820
0202-03-01_14:19:58.270000       80.04        8.89453600e-01       -1.23739110e-07  19.9730  19.7820
0202-03-01_14:19:58.460000       80.23        9.40760000e-01       -1.19834410e-07  19.9730  19.7820
0202-03-01_14:19:58.668000       80.44        9.90551200e-01       -8.95887100e-08  19.9730  19.7820
0202-03-01_14:19:58.875000       80.65        1.03818100e+00       -1.21569810e-07  20.0034  19.7588
0202-03-01_14:19:59.082000       80.85        1.08960800e+00       -7.49617100e-08  20.0034  19.7588
0202-03-01_14:19:59.273000       81.05        1.13741200e+00       -1.37560410e-07  20.0034  19.7588
0202-03-01_14:19:59.465000       81.24        1.18681200e+00       -2.01398710e-07  20.0034  19.7588
0202-03-01_14:19:59.668000       81.44        1.23804600e+00       -1.80883310e-07  20.0034  19.7588
0202-03-01_14:19:59.870000       81.64        1.28779400e+00       -9.21279100e-08  19.9839  19.6339
0202-03-01_14:20:00.082000       81.85        1.33539200e+00       -6.59097100e-08  19.9839  19.6339
0202-03-01_14:20:00.280000       82.05        1.38748800e+00       -1.68298110e-07  19.9839  19.6339
0202-03-01_14:20:00.473000       82.25        1.43676800e+00       -1.42267010e-07  19.9839  19.6339
0202-03-01_14:20:00.680000       82.45        1.48182200e+00       -2.70481100e-08  19.9839  19.6339
0202-03-01_14:20:00.887000       82.66        1.53615000e+00        4.98057900e-08  19.9900  19.8623
0202-03-01_14:20:01.098000       82.87        1.58582300e+00        5.58177900e-08  19.9900  19.8623
0202-03-01_14:20:01.290000       83.06        1.63277800e+00        1.14201990e-07  19.9900  19.8623
0202-03-01_14:20:01.480000       83.25        1.68455500e+00        1.87399190e-07  19.9900  19.8623
0202-03-01_14:20:01.684000       83.46        1.73412900e+00        2.45535390e-07  19.9900  19.8623
0202-03-01_14:20:01.887000       83.66        1.78171500e+00        2.21983390e-07  19.9945  19.6045
0202-03-01_14:20:02.094000       83.86        1.83368200e+00        1.10979090e-07  19.9945  19.6045
0202-03-01_14:20:02.285000       84.06        1.88319000e+00        1.54054490e-07  19.9945  19.6045
0202-03-01_14:20:02.490000       84.26        1.92858800e+00        1.79899690e-07  19.9945  19.6045
0202-03-01_14:20:02.690000       84.46        1.98219100e+00        1.03107790e-07  19.9945  19.6045
0202-03-01_14:20:02.900000       84.67        2.03259700e+00       -3.49194100e-08  19.9753  19.8141
0202-03-01_14:20:03.094000       84.87        2.07971100e+00       -4.85961000e-09  19.9753  19.8141
0202-03-01_14:20:03.290000       85.06        2.13119100e+00        4.62319000e-09  19.9753  19.8141
0202-03-01_14:20:03.480000       85.25        2.18104900e+00        7.68286900e-08  19.9753  19.8141
0202-03-01_14:20:03.688000       85.46        2.22968200e+00        2.43944900e-08  19.9753  19.8141
0202-03-01_14:20:03.890000       85.66        2.27906800e+00       -1.45903100e-08  19.9947  19.7274
0202-03-01_14:20:04.094000       85.87        2.32988300e+00       -5.46287100e-08  19.9947  19.7274
0202-03-01_14:20:04.293000       86.06        2.37802300e+00       -1.84330100e-08  19.9947  19.7274
0202-03-01_14:20:04.484000       86.26        2.42742900e+00        3.15839900e-08  19.9947  19.7274
0202-03-01_14:20:04.695000       86.47        2.47853300e+00        1.00132790e-07  19.9947  19.7274
0202-03-01_14:20:04.890000       86.66        2.52903600e+00        2.81731190e-07  19.9914  19.6671
0202-03-01_14:20:05.100000       86.87        2.57665000e+00        2.79747790e-07  19.9914  19.6671
0202-03-01_14:20:05.297000       87.07        2.62775800e+00        2.72558290e-07  19.9914  19.6671
0202-03-01_14:20:05.504000       87.28        2.67742300e+00        1.30068590e-07  19.9914  19.6671
0202-03-01_14:20:05.703000       87.48        2.72424700e+00        4.21853900e-08  19.9914  19.6671
0202-03-01_14:20:05.902000       87.68        2.77657100e+00       -6.47873100e-08  19.9892  19.8346
0202-03-01_14:20:06.110000       87.88        2.82520300e+00       -1.61222610e-07  19.9892  19.8346
0202-03-01_14:20:06.300000       88.07        2.87431000e+00       -1.97294310e-07  19.9892  19.8346
