# Ic =  nan A, n =  nan , Tavg = 20.00 K, f29-2400keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-01_16:46:22.656000      8864.43        4.92134800e-02       -1.28296950e-09  19.9775  19.8372
0202-03-01_16:46:22.870000      8864.64        4.84031400e-02        1.50609050e-09  20.0076  19.6461
0202-03-01_16:46:23.066000      8864.84        9.91413300e-02       -4.38190950e-09  20.0076  19.6461
0202-03-01_16:46:23.270000      8865.04        1.48526000e-01       -3.51420950e-09  20.0076  19.6461
0202-03-01_16:46:23.470000      8865.24        1.96239500e-01        3.28490500e-10  20.0076  19.6461
0202-03-01_16:46:23.680000      8865.45        2.48590900e-01        3.73733050e-09  20.0076  19.6461
0202-03-01_16:46:23.895000      8865.67        2.97278000e-01        2.99358050e-09  19.9702  19.7557
0202-03-01_16:46:24.110000      8865.88        3.45242400e-01       -1.92568695e-08  19.9702  19.7557
0202-03-01_16:46:24.320000      8866.09        3.95916600e-01       -2.25417495e-08  19.9702  19.7557
0202-03-01_16:46:24.535000      8866.31        4.44388500e-01       -3.33260895e-08  19.9702  19.7557
0202-03-01_16:46:24.746000      8866.52        4.94877400e-01       -2.11782195e-08  19.9702  19.7557
0202-03-01_16:46:24.938000      8866.71        5.42884800e-01       -2.02485295e-08  20.0055  19.7870
0202-03-01_16:46:25.152000      8866.92        5.94486700e-01       -1.32449095e-08  20.0055  19.7870
0202-03-01_16:46:25.350000      8867.12        6.44177100e-01       -2.17360295e-08  20.0055  19.7870
0202-03-01_16:46:25.547000      8867.32        6.89406200e-01       -1.60959395e-08  20.0055  19.7870
0202-03-01_16:46:25.805000      8867.58        7.42574000e-01       -1.97526995e-08  20.0055  19.7870
0202-03-01_16:46:26.030000      8867.80        7.92930600e-01       -1.44225095e-08  19.9848  19.6135
0202-03-01_16:46:26.227000      8868.00        8.41665200e-01       -1.77693695e-08  19.9848  19.6135
0202-03-01_16:46:26.430000      8868.20        8.87004200e-01       -1.75214595e-08  19.9848  19.6135
0202-03-01_16:46:26.640000      8868.41        9.40606800e-01       -1.47323995e-08  19.9848  19.6135
0202-03-01_16:46:26.848000      8868.62        9.90929500e-01       -1.90708695e-08  19.9944  19.8635
0202-03-01_16:46:27.055000      8868.83        1.03833700e+00       -1.71494095e-08  19.9944  19.8635
0202-03-01_16:46:27.260000      8869.03        1.09042000e+00       -1.59717295e-08  19.9944  19.8635
0202-03-01_16:46:27.465000      8869.24        1.13615900e+00       -1.38024395e-08  19.9944  19.8635
0202-03-01_16:46:27.668000      8869.44        1.19031800e+00       -2.96690495e-08  19.9944  19.8635
0202-03-01_16:46:27.875000      8869.65        1.23896700e+00       -3.47513295e-08  19.9988  19.6142
0202-03-01_16:46:28.098000      8869.87        1.28708000e+00       -5.01840995e-08  19.9988  19.6142
0202-03-01_16:46:28.297000      8870.07        1.33778800e+00       -3.86560095e-08  19.9988  19.6142
0202-03-01_16:46:28.490000      8870.26        1.38296800e+00       -4.82627495e-08  19.9988  19.6142
0202-03-01_16:46:28.695000      8870.47        1.43439800e+00       -2.69419795e-08  19.9988  19.6142
0202-03-01_16:46:28.895000      8870.67        1.48661900e+00       -2.99169695e-08  19.9801  19.7859
0202-03-01_16:46:29.100000      8870.88        1.53407700e+00       -9.15400950e-09  19.9801  19.7859
0202-03-01_16:46:29.297000      8871.07        1.58570000e+00       -2.07440795e-08  19.9801  19.7859
0202-03-01_16:46:29.500000      8871.27        1.63544800e+00       -1.54758695e-08  19.9801  19.7859
0202-03-01_16:46:29.690000      8871.47        1.68233100e+00       -2.44628195e-08  19.9801  19.7859
0202-03-01_16:46:29.900000      8871.67        1.73484400e+00       -5.18735950e-09  19.9920  19.7541
0202-03-01_16:46:30.105000      8871.88        1.78460600e+00       -1.18810895e-08  19.9920  19.7541
0202-03-01_16:46:30.310000      8872.08        1.83334600e+00       -5.99308950e-09  19.9920  19.7541
0202-03-01_16:46:30.508000      8872.28        1.88376800e+00       -2.20456395e-08  19.9920  19.7541
0202-03-01_16:46:30.700000      8872.47        1.93316600e+00       -1.81409695e-08  19.9920  19.7541
0202-03-01_16:46:30.902000      8872.68        1.97904500e+00       -2.21695995e-08  19.9814  19.6442
0202-03-01_16:46:31.098000      8872.87        2.03229200e+00       -1.54758695e-08  19.9814  19.6442
0202-03-01_16:46:31.290000      8873.06        2.08179500e+00       -2.44008395e-08  19.9814  19.6442
0202-03-01_16:46:31.484000      8873.26        2.12970200e+00       -2.57643795e-08  19.9814  19.6442
0202-03-01_16:46:31.690000      8873.46        2.18020100e+00       -3.08466595e-08  19.9814  19.6442
0202-03-01_16:46:31.890000      8873.66        2.23136400e+00       -2.41529295e-08  19.9860  19.8298
0202-03-01_16:46:32.094000      8873.87        2.27907900e+00       -3.02268695e-08  19.9860  19.8298
0202-03-01_16:46:32.285000      8874.06        2.32879300e+00       -2.91112395e-08  19.9860  19.8298
0202-03-01_16:46:32.480000      8874.25        2.37973000e+00       -3.66726795e-08  19.9860  19.8298
0202-03-01_16:46:32.670000      8874.44        2.42783600e+00       -3.09086295e-08  19.9860  19.8298
0202-03-01_16:46:32.883000      8874.65        2.47780900e+00       -3.09090895e-08  19.9980  19.6355
0202-03-01_16:46:33.080000      8874.85        2.52900000e+00       -2.68188095e-08  19.9980  19.6355
0202-03-01_16:46:33.280000      8875.05        2.57836100e+00       -3.46284995e-08  19.9980  19.6355
0202-03-01_16:46:33.477000      8875.25        2.62586400e+00       -4.46071095e-08  19.9980  19.6355
0202-03-01_16:46:33.670000      8875.44        2.67813300e+00       -5.62591595e-08  19.9980  19.6355
0202-03-01_16:46:33.883000      8875.66        2.72733100e+00       -4.77060595e-08  19.9742  19.7546
0202-03-01_16:46:34.082000      8875.85        2.77582400e+00       -4.96893895e-08  19.9742  19.7546
0202-03-01_16:46:34.285000      8876.06        2.82631400e+00       -4.66524195e-08  19.9742  19.7546
0202-03-01_16:46:34.484000      8876.26        2.87417500e+00       -5.26023995e-08  19.9742  19.7546
0202-03-01_16:46:34.688000      8876.46        2.92407300e+00       -4.16940995e-08  19.9742  19.7546
