# Ic = 0.54 A, n = 1.27 , Tavg = 19.79 K, f29-anneal_200k_1h-0keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-04_11:02:21.297000      247423.07        1.69527700e-01       -4.16915620e-07  19.7762  19.6045
0202-03-04_11:02:21.688000      247423.46        5.60391600e-01        1.14254418e-06  19.7762  19.6045
0202-03-04_11:02:22.086000      247423.86        7.60478200e-01       -9.30661620e-07  19.8021  19.4422
0202-03-04_11:02:22.490000      247424.26        1.15125700e+00        3.17600380e-07  19.8021  19.4422
0202-03-04_11:02:22.895000      247424.67        1.35385700e+00        5.77541380e-07  19.7795  19.4944
0202-03-04_11:02:23.300000      247425.07        1.74615300e+00        1.84344980e-07  19.7795  19.4944
0202-03-04_11:02:23.690000      247425.46        1.94768500e+00        3.47970280e-07  19.7795  19.4944
0202-03-04_11:02:24.090000      247425.86        2.33580500e+00       -9.85962200e-08  19.8096  19.4097
0202-03-04_11:02:24.492000      247426.27        2.54279300e+00       -5.66235520e-07  19.8096  19.4097
0202-03-04_11:02:24.906000      247426.68        2.93493600e+00       -4.95703220e-07  19.7897  19.3817
0202-03-04_11:02:25.316000      247427.09        3.13647600e+00        7.51256380e-07  19.7897  19.3817
0202-03-04_11:02:25.710000      247427.48        3.52616700e+00       -1.66593620e-07  19.7897  19.3817
0202-03-04_11:02:26.110000      247427.88        3.91731400e+00       -7.22612200e-08  19.8001  19.5533
0202-03-04_11:02:26.510000      247428.29        4.12179100e+00       -1.75146720e-07  19.8001  19.5533
0202-03-04_11:02:26.918000      247428.69        4.50982100e+00       -1.07198582e-06  19.8164  19.4147
0202-03-04_11:02:27.312000      247429.09        4.71771900e+00        6.54878780e-07  19.8164  19.4147
0202-03-04_11:02:27.707000      247429.48        5.10711300e+00        3.61612118e-06  19.8164  19.4147
0202-03-04_11:02:28.100000      247429.87        5.31040600e+00        7.70426938e-06  19.7936  19.6292
0202-03-04_11:02:28.504000      247430.28        5.70038800e+00        3.26433352e-05  19.7936  19.6292
