# Ic =  nan A, n =  nan , Tavg = 19.96 K, f29-overnightAnneal300k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-05_11:52:26.016000      1074.02        5.19728600e-02       -1.75091300e-09  19.9494  19.7853
0202-03-05_11:52:26.210000      1074.22        4.84057400e-02        2.32427000e-10  19.9494  19.7853
0202-03-05_11:52:26.406000      1074.41        1.00031400e-01       -1.06914300e-09  19.9494  19.7853
0202-03-05_11:52:26.598000      1074.60        1.49885100e-01       -4.49353000e-10  19.9494  19.7853
0202-03-05_11:52:26.836000      1074.84        1.98532100e-01       -4.97382300e-09  19.9494  19.7853
0202-03-05_11:52:27.047000      1075.05        2.49430600e-01        5.37668700e-09  19.9723  19.6652
0202-03-05_11:52:27.240000      1075.24        2.98240900e-01        4.75689700e-09  19.9723  19.6652
0202-03-05_11:52:27.450000      1075.45        3.43670300e-01        2.15377700e-09  19.9723  19.6652
0202-03-05_11:52:27.645000      1075.65        3.97633700e-01       -6.34643000e-10  19.9723  19.6652
0202-03-05_11:52:27.848000      1075.85        4.47034700e-01        8.04308700e-09  19.9417  19.6587
0202-03-05_11:52:28.050000      1076.05        4.94286600e-01        1.32501870e-08  19.9417  19.6587
0202-03-05_11:52:28.246000      1076.25        5.45706000e-01        1.40559170e-08  19.9417  19.6587
0202-03-05_11:52:28.438000      1076.44        5.95179700e-01        1.18246670e-08  19.9417  19.6587
0202-03-05_11:52:28.640000      1076.64        6.40524500e-01        1.61012370e-08  19.9417  19.6587
0202-03-05_11:52:28.855000      1076.86        6.94330400e-01        1.39319570e-08  19.9528  19.8020
0202-03-05_11:52:29.074000      1077.08        7.43716500e-01        5.50279700e-09  19.9528  19.8020
0202-03-05_11:52:29.270000      1077.27        7.93214500e-01       -1.56283300e-09  19.9528  19.8020
0202-03-05_11:52:29.473000      1077.48        8.42878200e-01       -2.05866300e-09  19.9528  19.8020
0202-03-05_11:52:29.668000      1077.67        8.87429000e-01        4.32518700e-09  19.9528  19.8020
0202-03-05_11:52:29.870000      1077.88        9.42070500e-01        4.01529700e-09  19.9506  19.5699
0202-03-05_11:52:30.074000      1078.08        9.91238400e-01        4.94497700e-09  19.9506  19.5699
0202-03-05_11:52:30.266000      1078.27        1.03792900e+00        1.96997700e-09  19.9506  19.5699
0202-03-05_11:52:30.460000      1078.46        1.09045000e+00        7.42414700e-09  19.9506  19.5699
0202-03-05_11:52:30.656000      1078.66        1.14014200e+00        2.58977700e-09  19.9506  19.5699
0202-03-05_11:52:30.880000      1078.88        1.18733800e+00       -7.57103000e-10  19.9440  19.8171
0202-03-05_11:52:31.074000      1079.08        1.23988500e+00       -5.46752300e-09  19.9440  19.8171
0202-03-05_11:52:31.277000      1079.28        1.28897000e+00        1.96997700e-09  19.9440  19.8171
0202-03-05_11:52:31.477000      1079.48        1.33603300e+00        2.71372700e-09  19.9440  19.8171
0202-03-05_11:52:31.670000      1079.67        1.38784500e+00        3.33352700e-09  19.9440  19.8171
0202-03-05_11:52:31.895000      1079.90        1.43801600e+00       -4.47585300e-09  19.9605  19.6318
0202-03-05_11:52:32.100000      1080.11        1.48736600e+00       -1.33530000e-11  19.9605  19.6318
0202-03-05_11:52:32.305000      1080.31        1.53704300e+00       -5.65345300e-09  19.9605  19.6318
0202-03-05_11:52:32.508000      1080.51        1.58386900e+00        2.52779700e-09  19.9605  19.6318
0202-03-05_11:52:32.710000      1080.71        1.63609800e+00        5.13091700e-09  19.9605  19.6318
0202-03-05_11:52:32.914000      1080.92        1.68604900e+00        9.71737700e-09  19.9518  19.6892
0202-03-05_11:52:33.113000      1081.12        1.73337200e+00        7.73404700e-09  19.9518  19.6892
0202-03-05_11:52:33.310000      1081.31        1.78507800e+00        3.64341700e-09  19.9518  19.6892
0202-03-05_11:52:33.500000      1081.50        1.83458300e+00        1.00891370e-08  19.9518  19.6892
0202-03-05_11:52:33.703000      1081.71        1.88246900e+00        1.14523370e-08  19.9518  19.6892
0202-03-05_11:52:33.918000      1081.92        1.93253000e+00        8.78677700e-09  19.9609  19.7647
0202-03-05_11:52:34.110000      1082.11        1.98357100e+00        3.95217700e-09  19.9609  19.7647
0202-03-05_11:52:34.312000      1082.32        2.03165000e+00        4.63394700e-09  19.9609  19.7647
0202-03-05_11:52:34.504000      1082.51        2.08111600e+00        8.91050700e-09  19.9609  19.7647
0202-03-05_11:52:34.700000      1082.70        2.13235300e+00        1.70297770e-08  19.9609  19.7647
0202-03-05_11:52:34.906000      1082.91        2.18042000e+00        1.62860270e-08  19.9685  19.5936
0202-03-05_11:52:35.100000      1083.10        2.23059200e+00        2.00047770e-08  19.9685  19.5936
0202-03-05_11:52:35.293000      1083.29        2.28117800e+00        1.53563370e-08  19.9685  19.5936
0202-03-05_11:52:35.496000      1083.50        2.32907500e+00        1.05839470e-08  19.9685  19.5936
0202-03-05_11:52:35.695000      1083.70        2.37842100e+00        1.35589470e-08  19.9685  19.5936
0202-03-05_11:52:35.895000      1083.90        2.43054600e+00        6.98914700e-09  19.9319  19.7839
