# Ic = 5.82 A, n = 26.91 , Tavg = 19.95 K, f29-overnightAnneal300k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-05_11:53:58.902000      1166.90       -2.62644800e-03       -8.92190100e-09  19.9901  19.7797
0202-03-05_11:53:59.310000      1167.31        3.86548200e-01       -1.42242100e-09  19.9901  19.7797
0202-03-05_11:53:59.710000      1167.71        5.90148800e-01        1.89039000e-10  19.9901  19.7797
0202-03-05_11:54:00.105000      1168.11        9.82748800e-01        4.83746900e-09  19.9474  19.5655
0202-03-05_11:54:00.500000      1168.50        1.18610500e+00        8.12236900e-09  19.9474  19.5655
0202-03-05_11:54:00.914000      1168.92        1.57277700e+00        1.11593490e-08  19.9613  19.8198
0202-03-05_11:54:01.320000      1169.32        1.78134100e+00        3.10210900e-09  19.9613  19.8198
0202-03-05_11:54:01.723000      1169.73        2.16744500e+00        8.37072900e-09  19.9613  19.8198
0202-03-05_11:54:02.117000      1170.12        2.37308900e+00        4.90000900e-09  19.9622  19.6061
0202-03-05_11:54:02.523000      1170.52        2.76316400e+00        9.05260900e-09  19.9622  19.6061
0202-03-05_11:54:02.930000      1170.93        2.96691200e+00        2.66875900e-09  19.9498  19.7121
0202-03-05_11:54:03.324000      1171.33        3.35590400e+00        7.19323900e-09  19.9498  19.7121
0202-03-05_11:54:03.715000      1171.72        3.74790700e+00        1.93411490e-08  19.9498  19.7121
0202-03-05_11:54:04.110000      1172.11        3.95387400e+00        4.77604900e-09  19.9775  19.7484
0202-03-05_11:54:04.500000      1172.50        4.33993900e+00        5.14791900e-09  19.9775  19.7484
0202-03-05_11:54:04.920000      1172.92        4.54594000e+00        1.79156290e-08  19.9790  19.5947
0202-03-05_11:54:05.320000      1173.32        4.93787900e+00        2.45473990e-08  19.9790  19.5947
0202-03-05_11:54:05.730000      1173.73        5.14320700e+00        1.59942790e-08  19.9790  19.5947
0202-03-05_11:54:06.137000      1174.14        5.52984900e+00        6.10531290e-08  19.9640  19.7894
0202-03-05_11:54:06.540000      1174.54        5.71617800e+00        1.39642709e-07  19.9640  19.7894
0202-03-05_11:54:06.940000      1174.95        6.12314300e+00        6.42789579e-07  19.9894  19.6316
0202-03-05_11:54:07.344000      1175.35        6.30992000e+00        2.29825249e-06  19.9894  19.6316
0202-03-05_11:54:07.785000      1175.79        6.71982500e+00        1.10000613e-05  19.9894  19.6316
0202-03-05_11:54:08.203000      1176.20        7.11003300e+00        3.90063898e-05  19.9456  19.6851
