# Tc = 0.00 K, f29-100Kanneal
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-10_22:54:34.760000      3967.32        3.01802100e-03       -3.03698000e-09  64.9808  64.1217
0202-02-10_22:54:35.840000      3968.40        2.97535100e-03        7.74740000e-09  64.9957  64.1147
0202-02-10_22:54:36.910000      3969.47        2.90248000e-03       -1.28610750e-08  64.9930  64.1178
0202-02-10_22:54:38.004000      3970.56        2.93179100e-03       -1.44721450e-08  64.9997  64.1344
0202-02-10_22:54:39.098000      3971.66        2.68779900e-03        9.60677500e-09  65.0312  64.1460
0202-02-10_22:54:40.180000      3972.74        2.83242800e-03        1.45031300e-08  65.0345  64.1325
0202-02-10_22:54:41.246000      3973.81        2.69588700e-03       -6.25990000e-09  65.0812  64.1593
0202-02-10_22:54:42.330000      3974.89        2.85194400e-03        9.04896500e-09  65.0405  64.1533
0202-02-10_22:54:43.410000      3975.97        2.80452500e-03        5.39219000e-09  65.0994  64.1669
0202-02-10_22:54:44.477000      3977.04        3.25013700e-03       -5.88800000e-10  65.0645  64.1732
0202-02-10_22:54:45.570000      3978.13        2.95932000e-03       -9.54479500e-09  65.1214  64.1840
0202-02-10_22:54:46.650000      3979.21        3.05927600e-03       -2.01432500e-09  65.0998  64.1844
0202-02-10_22:54:47.715000      3980.28        2.99056000e-03        3.62578000e-09  65.0921  64.1951
0202-02-10_22:54:48.780000      3981.34        2.87554000e-03       -1.40390750e-08  65.1031  64.1968
0202-02-10_22:54:49.850000      3982.41        3.08851300e-03       -3.68776500e-09  65.1263  64.2037
0202-02-10_22:54:50.930000      3983.49        2.86151500e-03        1.10323000e-08  65.0947  64.1963
0202-02-10_22:54:52.030000      3984.59        3.08458000e-03       -3.90469000e-09  65.1498  64.2082
0202-02-10_22:54:53.120000      3985.68        2.84808300e-03       -1.80979300e-08  65.2116  64.2397
0202-02-10_22:54:54.188000      3986.75        3.18795000e-03        5.76399000e-09  65.2110  64.2442
0202-02-10_22:54:55.266000      3987.83        3.10283600e-03        1.83458500e-08  65.2117  64.2507
0202-02-10_22:54:56.336000      3988.90        3.02699600e-03       -6.94167500e-09  65.1859  64.2475
0202-02-10_22:54:57.410000      3989.97        3.01883300e-03       -1.79429850e-08  65.1896  64.2522
0202-02-10_22:54:58.477000      3991.04        2.81112900e-03        1.42862100e-08  65.1587  64.2423
0202-02-10_22:54:59.562000      3992.12        2.86619000e-03        2.97500500e-09  65.2016  64.2609
0202-02-10_22:55:00.645000      3993.20        3.00421600e-03       -6.25907000e-09  65.2372  64.2675
0202-02-10_22:55:01.715000      3994.28        2.88904700e-03       -2.57213500e-09  65.2577  64.2880
0202-02-10_22:55:02.793000      3995.35        2.87880700e-03        1.04125000e-08  65.2537  64.2910
0202-02-10_22:55:03.860000      3996.42        2.85187000e-03       -7.22057000e-09  65.3103  64.3140
0202-02-10_22:55:04.953000      3997.51        3.02262000e-03       -8.39818000e-09  65.2865  64.3184
