# Ic = 67.60 A, n = 27.97 , Tavg = 25.22 K, pristine20K
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  8283.51        3.09514700e-02       -3.08223250e-08  25.1671  19.8104
    1  8283.77        7.67623100e-01       -2.84661250e-08  25.1671  19.8104
    2  8284.03        1.42911400e+00       -8.90802250e-08  25.1671  19.8104
    3  8284.27        2.09270000e+00        2.11778750e-08  25.1671  19.8104
    4  8284.59        2.82741000e+00       -1.18705425e-07  25.1278  19.8780
    5  8284.87        3.52380500e+00       -1.54590425e-07  25.1278  19.8780
    6  8285.11        4.19859700e+00        1.97523750e-08  25.1278  19.8780
    7  8285.37        4.90270300e+00       -8.83984250e-08  25.1278  19.8780
    8  8285.67        5.64220700e+00       -7.79862250e-08  25.2758  20.2390
    9  8285.94        6.35577300e+00       -1.14843250e-08  25.2758  20.2390
   10  8286.19        7.00787000e+00       -1.15110725e-07  25.2758  20.2390
   11  8286.44        7.74263800e+00       -1.27754225e-07  25.2758  20.2390
   12  8286.72        8.45388500e+00       -1.02033525e-07  25.2900  19.7266
   13  8286.96        9.23740200e+00       -2.16072225e-07  25.2900  19.7266
   14  8287.21        9.86136900e+00       -2.92676425e-07  25.2900  19.7266
   15  8287.52        1.05840500e+01       -3.40585125e-07  25.2900  19.7266
   16  8287.79        1.12933300e+01       -2.89205725e-07  25.1605  19.9923
   17  8288.05        1.19622500e+01       -2.16072225e-07  25.1605  19.9923
   18  8288.29        1.26876600e+01       -1.87500525e-07  25.1605  19.9923
   19  8288.59        1.33844200e+01       -1.45293825e-07  25.1649  19.8006
   20  8288.90        1.40705300e+01       -4.85469250e-08  25.1649  19.8006
   21  8289.14        1.47372400e+01       -1.07487325e-07  25.1649  19.8006
   22  8289.40        1.54271100e+01       -2.03366425e-07  25.1649  19.8006
   23  8289.65        1.61553800e+01       -2.69310425e-07  25.1688  19.8598
   24  8289.90        1.68521000e+01       -3.12756625e-07  25.1688  19.8598
   25  8290.15        1.75143100e+01       -1.59238325e-07  25.1688  19.8598
   26  8290.39        1.82113900e+01       -2.00019525e-07  25.1688  19.8598
   27  8290.72        1.89490700e+01       -3.38477325e-07  25.2822  20.2575
   28  8290.98        1.96500300e+01       -2.92118125e-07  25.2822  20.2575
   29  8291.23        2.03454400e+01       -2.72533225e-07  25.2822  20.2575
   30  8291.59        2.10586400e+01       -3.84960525e-07  25.2822  20.2575
   31  8291.90        2.17839100e+01       -4.54065525e-07  25.2597  19.6984
   32  8292.15        2.24800700e+01       -3.91220225e-07  25.2597  19.6984
   33  8292.46        2.31487600e+01       -3.80002325e-07  25.2597  19.6984
   34  8292.76        2.38818500e+01       -3.60789225e-07  25.1349  20.0106
   35  8293.01        2.45087000e+01       -3.54219625e-07  25.1349  20.0106
   36  8293.27        2.52566800e+01       -3.56946625e-07  25.1349  20.0106
   37  8293.52        2.59782800e+01       -3.58620025e-07  25.3124  19.9661
   38  8293.80        2.66776500e+01       -3.76345625e-07  25.3124  19.9661
   39  8294.04        2.73599300e+01       -5.12758225e-07  25.3124  19.9661
   40  8294.28        2.80406000e+01       -4.52144125e-07  25.3124  19.9661
   41  8294.57        2.87769100e+01       -3.90042625e-07  25.2508  19.9660
   42  8294.84        2.94785100e+01       -3.32775425e-07  25.2508  19.9660
   43  8295.09        3.01378300e+01       -3.06257025e-07  25.2508  19.9660
   44  8295.35        3.08335800e+01       -4.35858425e-07  25.2508  19.9660
   45  8295.63        3.15949800e+01       -3.65019625e-07  25.1930  20.1456
   46  8295.91        3.22908800e+01       -2.25570225e-07  25.1930  20.1456
   47  8296.16        3.29511900e+01       -2.72053425e-07  25.1930  20.1456
   48  8296.41        3.36451900e+01       -2.27615525e-07  25.1930  20.1456
   49  8296.70        3.43864200e+01       -1.90305025e-07  25.2593  19.7109
   50  8296.96        3.51071400e+01       -2.18628725e-07  25.2593  19.7109
   51  8297.21        3.57476200e+01       -1.23431325e-07  25.2593  19.7109
   52  8297.48        3.64676900e+01       -1.69480625e-07  25.2593  19.7109
   53  8297.81        3.72173000e+01       -2.22657325e-07  25.1653  20.0014
   54  8298.07        3.78743800e+01       -1.68117125e-07  25.1653  20.0014
   55  8298.32        3.85459200e+01       -1.78839225e-07  25.1653  20.0014
   56  8298.57        3.92982200e+01       -2.91700225e-07  25.1437  19.8226
   57  8298.88        3.99961000e+01       -2.28235225e-07  25.1437  19.8226
   58  8299.12        4.06702000e+01       -2.48130025e-07  25.1437  19.8226
